     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     7.093     0.010    0.450E+00    0.413E+00    0.444E+01    0.284E+00    0.305E+00    0.160E+00    0.160E+00    0.706E-01    0.706E-01    0.000E+00    0.000E+00
     7.093     0.020    0.457E+00    0.411E+00    0.337E+01    0.233E+00    0.251E+00    0.129E+00    0.129E+00    0.543E-01    0.543E-01    0.000E+00    0.000E+00
     7.093     0.030    0.474E+00    0.413E+00    0.279E+01    0.202E+00    0.217E+00    0.111E+00    0.111E+00    0.449E-01    0.449E-01    0.000E+00    0.000E+00
     7.093     0.040    0.493E+00    0.414E+00    0.246E+01    0.181E+00    0.194E+00    0.984E-01    0.984E-01    0.389E-01    0.389E-01    0.000E+00    0.000E+00
     7.093     0.050    0.510E+00    0.414E+00    0.219E+01    0.163E+00    0.176E+00    0.882E-01    0.882E-01    0.339E-01    0.339E-01    0.000E+00    0.000E+00
     7.093     0.060    0.526E+00    0.413E+00    0.198E+01    0.147E+00    0.162E+00    0.799E-01    0.799E-01    0.300E-01    0.300E-01    0.000E+00    0.000E+00
     7.093     0.070    0.541E+00    0.412E+00    0.180E+01    0.133E+00    0.150E+00    0.727E-01    0.727E-01    0.267E-01    0.267E-01    0.000E+00    0.000E+00
     7.093     0.080    0.554E+00    0.409E+00    0.165E+01    0.121E+00    0.140E+00    0.664E-01    0.664E-01    0.238E-01    0.238E-01    0.000E+00    0.000E+00
     7.093     0.090    0.566E+00    0.406E+00    0.151E+01    0.109E+00    0.131E+00    0.609E-01    0.609E-01    0.214E-01    0.214E-01    0.000E+00    0.000E+00
     7.093     0.100    0.577E+00    0.403E+00    0.139E+01    0.990E-01    0.123E+00    0.560E-01    0.560E-01    0.192E-01    0.192E-01    0.000E+00    0.000E+00
     7.093     0.110    0.586E+00    0.398E+00    0.128E+01    0.900E-01    0.116E+00    0.515E-01    0.515E-01    0.173E-01    0.173E-01    0.000E+00    0.000E+00
     7.093     0.120    0.595E+00    0.393E+00    0.119E+01    0.820E-01    0.109E+00    0.475E-01    0.475E-01    0.156E-01    0.156E-01    0.000E+00    0.000E+00
     7.093     0.130    0.602E+00    0.388E+00    0.110E+01    0.750E-01    0.102E+00    0.438E-01    0.438E-01    0.140E-01    0.140E-01    0.000E+00    0.000E+00
     7.093     0.140    0.609E+00    0.382E+00    0.101E+01    0.688E-01    0.953E-01    0.404E-01    0.404E-01    0.127E-01    0.127E-01    0.000E+00    0.000E+00
     7.093     0.150    0.614E+00    0.375E+00    0.936E+00    0.633E-01    0.891E-01    0.373E-01    0.373E-01    0.114E-01    0.114E-01    0.000E+00    0.000E+00
     7.093     0.160    0.618E+00    0.368E+00    0.865E+00    0.585E-01    0.832E-01    0.345E-01    0.345E-01    0.103E-01    0.103E-01    0.000E+00    0.000E+00
     7.093     0.170    0.621E+00    0.361E+00    0.799E+00    0.542E-01    0.775E-01    0.319E-01    0.319E-01    0.931E-02    0.931E-02    0.000E+00    0.000E+00
     7.093     0.180    0.623E+00    0.353E+00    0.738E+00    0.503E-01    0.721E-01    0.295E-01    0.295E-01    0.839E-02    0.839E-02    0.000E+00    0.000E+00
     7.093     0.190    0.624E+00    0.346E+00    0.681E+00    0.468E-01    0.669E-01    0.273E-01    0.273E-01    0.757E-02    0.757E-02    0.000E+00    0.000E+00
     7.093     0.200    0.623E+00    0.337E+00    0.628E+00    0.437E-01    0.620E-01    0.252E-01    0.252E-01    0.682E-02    0.682E-02    0.000E+00    0.000E+00
     7.093     0.210    0.622E+00    0.329E+00    0.579E+00    0.408E-01    0.574E-01    0.233E-01    0.233E-01    0.614E-02    0.614E-02    0.000E+00    0.000E+00
     7.093     0.220    0.619E+00    0.321E+00    0.533E+00    0.382E-01    0.530E-01    0.216E-01    0.216E-01    0.553E-02    0.553E-02    0.000E+00    0.000E+00
     7.093     0.230    0.615E+00    0.312E+00    0.491E+00    0.358E-01    0.489E-01    0.199E-01    0.199E-01    0.497E-02    0.497E-02    0.000E+00    0.000E+00
     7.093     0.240    0.611E+00    0.304E+00    0.451E+00    0.336E-01    0.451E-01    0.184E-01    0.184E-01    0.446E-02    0.446E-02    0.000E+00    0.000E+00
     7.093     0.250    0.605E+00    0.295E+00    0.414E+00    0.315E-01    0.415E-01    0.170E-01    0.170E-01    0.400E-02    0.400E-02    0.000E+00    0.000E+00
     7.093     0.260    0.599E+00    0.286E+00    0.380E+00    0.296E-01    0.381E-01    0.157E-01    0.157E-01    0.359E-02    0.359E-02    0.000E+00    0.000E+00
     7.093     0.270    0.591E+00    0.277E+00    0.348E+00    0.278E-01    0.350E-01    0.145E-01    0.145E-01    0.321E-02    0.321E-02    0.000E+00    0.000E+00
     7.093     0.280    0.583E+00    0.268E+00    0.319E+00    0.260E-01    0.322E-01    0.134E-01    0.134E-01    0.287E-02    0.287E-02    0.000E+00    0.000E+00
     7.093     0.290    0.574E+00    0.259E+00    0.292E+00    0.244E-01    0.295E-01    0.123E-01    0.123E-01    0.257E-02    0.257E-02    0.000E+00    0.000E+00
     7.093     0.300    0.564E+00    0.250E+00    0.266E+00    0.228E-01    0.271E-01    0.113E-01    0.113E-01    0.229E-02    0.229E-02    0.000E+00    0.000E+00
     7.093     0.310    0.554E+00    0.240E+00    0.243E+00    0.213E-01    0.248E-01    0.104E-01    0.104E-01    0.204E-02    0.204E-02    0.000E+00    0.000E+00
     7.093     0.320    0.543E+00    0.231E+00    0.221E+00    0.199E-01    0.227E-01    0.961E-02    0.961E-02    0.182E-02    0.182E-02    0.000E+00    0.000E+00
     7.093     0.330    0.531E+00    0.222E+00    0.201E+00    0.185E-01    0.208E-01    0.883E-02    0.883E-02    0.161E-02    0.161E-02    0.000E+00    0.000E+00
     7.093     0.340    0.519E+00    0.213E+00    0.183E+00    0.172E-01    0.190E-01    0.811E-02    0.811E-02    0.143E-02    0.143E-02    0.000E+00    0.000E+00
     7.093     0.350    0.507E+00    0.204E+00    0.166E+00    0.160E-01    0.174E-01    0.744E-02    0.744E-02    0.127E-02    0.127E-02    0.000E+00    0.000E+00
     7.093     0.360    0.494E+00    0.195E+00    0.150E+00    0.148E-01    0.159E-01    0.682E-02    0.682E-02    0.112E-02    0.112E-02    0.000E+00    0.000E+00
     7.093     0.370    0.481E+00    0.186E+00    0.136E+00    0.137E-01    0.146E-01    0.625E-02    0.625E-02    0.989E-03    0.989E-03    0.000E+00    0.000E+00
     7.093     0.380    0.467E+00    0.177E+00    0.123E+00    0.127E-01    0.133E-01    0.572E-02    0.572E-02    0.871E-03    0.871E-03    0.000E+00    0.000E+00
     7.093     0.390    0.453E+00    0.169E+00    0.111E+00    0.117E-01    0.122E-01    0.522E-02    0.522E-02    0.766E-03    0.766E-03    0.000E+00    0.000E+00
     7.093     0.400    0.439E+00    0.160E+00    0.994E-01    0.107E-01    0.111E-01    0.477E-02    0.477E-02    0.673E-03    0.673E-03    0.000E+00    0.000E+00
     7.093     0.410    0.425E+00    0.152E+00    0.893E-01    0.984E-02    0.101E-01    0.435E-02    0.435E-02    0.589E-03    0.589E-03    0.000E+00    0.000E+00
     7.093     0.420    0.411E+00    0.144E+00    0.801E-01    0.901E-02    0.922E-02    0.396E-02    0.396E-02    0.515E-03    0.515E-03    0.000E+00    0.000E+00
     7.093     0.430    0.396E+00    0.135E+00    0.717E-01    0.824E-02    0.839E-02    0.360E-02    0.360E-02    0.450E-03    0.450E-03    0.000E+00    0.000E+00
     7.093     0.440    0.382E+00    0.128E+00    0.641E-01    0.752E-02    0.763E-02    0.326E-02    0.326E-02    0.391E-03    0.391E-03    0.000E+00    0.000E+00
     7.093     0.450    0.367E+00    0.120E+00    0.571E-01    0.685E-02    0.692E-02    0.296E-02    0.296E-02    0.340E-03    0.340E-03    0.000E+00    0.000E+00
     7.093     0.460    0.353E+00    0.112E+00    0.508E-01    0.622E-02    0.627E-02    0.268E-02    0.268E-02    0.295E-03    0.295E-03    0.000E+00    0.000E+00
     7.093     0.470    0.338E+00    0.105E+00    0.452E-01    0.564E-02    0.568E-02    0.242E-02    0.242E-02    0.255E-03    0.255E-03    0.000E+00    0.000E+00
     7.093     0.480    0.324E+00    0.983E-01    0.400E-01    0.510E-02    0.513E-02    0.218E-02    0.218E-02    0.220E-03    0.220E-03    0.000E+00    0.000E+00
     7.093     0.490    0.309E+00    0.915E-01    0.354E-01    0.460E-02    0.462E-02    0.196E-02    0.196E-02    0.189E-03    0.189E-03    0.000E+00    0.000E+00
     7.093     0.500    0.295E+00    0.850E-01    0.312E-01    0.414E-02    0.416E-02    0.176E-02    0.176E-02    0.162E-03    0.162E-03    0.000E+00    0.000E+00
     7.093     0.510    0.281E+00    0.788E-01    0.275E-01    0.372E-02    0.373E-02    0.157E-02    0.157E-02    0.139E-03    0.139E-03    0.000E+00    0.000E+00
     7.093     0.520    0.268E+00    0.729E-01    0.241E-01    0.333E-02    0.334E-02    0.140E-02    0.140E-02    0.118E-03    0.118E-03    0.000E+00    0.000E+00
     7.093     0.530    0.254E+00    0.672E-01    0.211E-01    0.297E-02    0.298E-02    0.125E-02    0.125E-02    0.101E-03    0.101E-03    0.000E+00    0.000E+00
     7.093     0.540    0.241E+00    0.618E-01    0.185E-01    0.265E-02    0.265E-02    0.111E-02    0.111E-02    0.853E-04    0.853E-04    0.000E+00    0.000E+00
     7.093     0.550    0.228E+00    0.567E-01    0.161E-01    0.235E-02    0.235E-02    0.983E-03    0.983E-03    0.721E-04    0.721E-04    0.000E+00    0.000E+00
     7.093     0.560    0.215E+00    0.518E-01    0.140E-01    0.208E-02    0.208E-02    0.867E-03    0.867E-03    0.607E-04    0.607E-04    0.000E+00    0.000E+00
     7.093     0.570    0.203E+00    0.472E-01    0.121E-01    0.183E-02    0.183E-02    0.762E-03    0.762E-03    0.510E-04    0.510E-04    0.000E+00    0.000E+00
     7.093     0.580    0.191E+00    0.429E-01    0.105E-01    0.160E-02    0.160E-02    0.667E-03    0.667E-03    0.426E-04    0.426E-04    0.000E+00    0.000E+00
     7.093     0.590    0.179E+00    0.389E-01    0.904E-02    0.140E-02    0.140E-02    0.581E-03    0.581E-03    0.355E-04    0.355E-04    0.000E+00    0.000E+00
     7.093     0.600    0.167E+00    0.351E-01    0.776E-02    0.121E-02    0.122E-02    0.504E-03    0.504E-03    0.294E-04    0.294E-04    0.000E+00    0.000E+00
     7.093     0.610    0.156E+00    0.316E-01    0.665E-02    0.105E-02    0.105E-02    0.434E-03    0.434E-03    0.243E-04    0.243E-04    0.000E+00    0.000E+00
     7.093     0.620    0.146E+00    0.283E-01    0.567E-02    0.901E-03    0.901E-03    0.372E-03    0.372E-03    0.200E-04    0.200E-04    0.000E+00    0.000E+00
     7.093     0.630    0.135E+00    0.252E-01    0.482E-02    0.768E-03    0.769E-03    0.317E-03    0.317E-03    0.164E-04    0.164E-04    0.000E+00    0.000E+00
     7.093     0.640    0.125E+00    0.224E-01    0.408E-02    0.650E-03    0.650E-03    0.268E-03    0.268E-03    0.134E-04    0.134E-04    0.000E+00    0.000E+00
