1.080000 1.45651738e-10
1.082636 2.09571767e-10
1.085272 2.73916567e-10
1.087908 3.38682948e-10
1.090544 4.03468397e-10
1.093181 4.67127217e-10
1.095817 5.31184905e-10
1.098453 5.95638025e-10
1.101089 6.63164693e-10
1.103725 7.34919508e-10
1.106361 8.07099840e-10
1.108997 8.79701560e-10
1.111633 9.59634648e-10
1.114269 1.04428141e-09
1.116905 1.12940432e-09
1.119542 1.21499823e-09
1.122178 1.31462359e-09
1.124814 1.41765353e-09
1.127450 1.52123416e-09
1.130086 1.62611835e-09
1.132722 1.75413762e-09
1.135358 1.88281959e-09
1.137994 2.01215593e-09
1.140630 2.14987987e-09
1.143266 2.31298359e-09
1.145903 2.47689154e-09
1.148539 2.64159271e-09
1.151175 2.82644102e-09
1.153811 3.03631293e-09
1.156447 3.24716946e-09
1.159083 3.45899607e-09
1.161719 3.69772386e-09
1.164355 3.95139431e-09
1.166991 4.22874145e-09
1.169628 4.51462244e-09
1.172264 4.82790992e-09
1.174900 5.14684915e-09
1.177536 5.49525881e-09
1.180172 5.84781959e-09
1.182808 6.22474057e-09
1.185444 6.53491247e-09
1.188080 6.51251271e-09
1.190716 6.61027270e-09
1.193352 7.01650307e-09
1.195989 7.41722490e-09
1.198625 7.80774224e-09
1.201261 8.17995632e-09
1.203897 8.53197567e-09
1.206533 8.85449935e-09
1.209169 9.15587516e-09
1.211805 9.42140555e-09
1.214441 9.67985253e-09
1.217077 9.87071076e-09
1.219713 1.00496849e-08
1.222350 1.01283435e-08
1.224986 1.01945909e-08
1.227622 1.02508472e-08
1.230258 1.02972897e-08
1.232894 1.02911033e-08
1.235530 1.02867910e-08
1.238166 1.02926063e-08
1.240802 1.02958112e-08
1.243438 1.02950903e-08
1.246074 1.02923328e-08
1.248711 1.02875595e-08
1.251347 1.03303095e-08
1.253983 1.04176863e-08
1.256619 1.05020456e-08
1.259255 1.05834182e-08
1.261891 1.07835845e-08
1.264527 1.10274441e-08
1.267163 1.12668569e-08
1.269799 1.15018674e-08
1.272436 1.19332259e-08
1.275072 1.23748936e-08
1.277708 1.28103279e-08
1.280344 1.32828189e-08
1.282980 1.40355229e-08
1.285616 1.47789065e-08
1.288252 1.55130628e-08
1.290888 1.63740356e-08
1.293524 1.74907041e-08
1.296160 1.85942990e-08
1.298797 1.96849542e-08
1.301433 2.10185247e-08
1.304069 2.25503965e-08
1.306705 2.40648058e-08
1.309341 2.55619359e-08
1.311977 2.74848087e-08
1.314613 2.95327968e-08
1.317249 3.15577329e-08
1.319885 3.35598654e-08
1.322521 3.62049664e-08
1.325158 3.88505528e-08
1.327794 4.14665345e-08
1.330430 4.41855719e-08
1.333066 4.75497298e-08
1.335702 5.08763242e-08
1.338338 5.41657766e-08
1.340974 5.77273091e-08
1.343610 6.17729144e-08
1.346246 6.57733643e-08
1.348883 6.97291773e-08
1.351519 7.41022097e-08
1.354155 7.87639834e-08
1.356791 8.33737036e-08
1.359427 8.79319811e-08
1.362063 9.29371224e-08
1.364699 9.80237707e-08
1.367335 1.03053561e-07
1.369971 1.08027174e-07
1.372607 1.13316409e-07
1.375244 1.18550424e-07
1.377880 1.23725838e-07
1.380516 1.28841179e-07
1.383152 1.33890191e-07
1.385788 1.38882466e-07
1.388424 1.43818709e-07
1.391060 1.48558221e-07
1.393696 1.53035368e-07
