x	Quantity	Uncertainty
0.17	0.252099512908557	0.0102572901672571
0.18	0.268472605655368	0.0109237208756701
0.19	0.281783690706809	0.0114657257288066
0.2	0.292382808342455	0.0118968841605442
0.21	0.300571977388638	0.0122298313975164
0.22	0.306622861866526	0.012476016366885
0.23	0.310770844165684	0.012644804326959
0.24	0.31322928686784	0.0127453297913475
0.25	0.314183448147418	0.0127836697027029
0.26	0.31380643180887	0.0127684053791695
0.27	0.312246183823776	0.0127051504210007
0.28	0.309644102006227	0.0125991571692822
0.29	0.306126096568813	0.0124556903720676
0.3	0.301806154444594	0.0122800303007955
0.31	0.296792353800391	0.0120757343166785
0.32	0.291175549445346	0.0118477365957321
0.33	0.285052995628352	0.0115985437784443
0.34	0.278499696921928	0.0113315228014675
0.35	0.271599228989178	0.0110512126199023
0.36	0.264419046169297	0.0107591808621823
0.37	0.257033729393272	0.0104585081764573
0.38	0.249508531014308	0.0101523082549826
0.39	0.241909800306039	0.00984280018261396
0.4	0.234299981783429	0.00953360507296573
0.41	0.226748057844517	0.00922633674710445
0.42	0.219320184859808	0.00892389246786049
0.43	0.215134736555208	0.00792218206333438
0.44	0.208681437828555	0.00542891541638438
0.45	0.201101048149656	0.00620760472520048
0.46	0.192681137712587	0.00819148804852701
0.47	0.186107406964594	0.00634659307885187
0.48	0.179569287794039	0.0061946640595982
0.49	0.173890091337124	0.00520580479395387
0.5	0.169634892932483	0.0037719566108347
0.51	0.164680926323286	0.00363195218144975
0.52	0.157485744220775	0.00408229793436477
0.53	0.150594317721554	0.00315504752275861
0.54	0.142507839909527	0.00279556783152008
0.55	0.136091812355248	0.00270412277551853
0.56	0.132331830380012	0.00271122371461936
0.57	0.1324293872772	0.00276529270750466
0.58	0.137173911203682	0.00290505278241717
0.59	0.142198596810783	0.00306103862137225
0.6	0.138306125991203	0.00301093530402114
0.61	0.123586575423925	0.00281850776126015
0.62	0.106071399636187	0.002585587842286
0.63	0.0936315805321913	0.0024787087361668
0.64	0.0866999658018762	0.00243393535219962
0.65	0.0850869352205559	0.00244078389041117
0.66	0.0896524928442947	0.00263013686899327
0.67	0.0977657707071525	0.00285790388603071
0.68	0.105248578598008	0.00314087794921356
0.69	0.0961890804831535	0.00294423913208775
0.7	0.0784182320443187	0.00259630046373857
0.71	0.064921844739013	0.00239102373245459
0.72	0.0564446216953375	0.00217241265555134
0.73	0.0509011614465274	0.00209661632347976
0.74	0.0483153171720027	0.00211192345060667
0.75	0.0449084869090667	0.00204482706730199
0.76	0.0423386075012306	0.00193320720548347
0.77	0.0404853851681788	0.00192059117651408
0.78	0.0391969522729314	0.00196322368346587
0.79	0.0382980523308531	0.00192884747458305
0.8	0.0384997148512608	0.00201415316018541
0.81	0.0395037515913279	0.0021490559056533
0.82	0.0417892523113359	0.00229716634699673
0.83	0.0411598406125459	0.00231193020601176
0.84	0.0365083737964976	0.00218929193366286
0.85	0.0280736957368308	0.00182955027314269
0.86	0.0191811578963806	0.00148860151244415
0.87	0.0131557512852873	0.00113479403487163
0.88	0.00853338057792498	0.000937742950515112
0.89	0.00501003297815261	0.000715329247456849
0.9	0.00259575154909461	0.000537742300332949
