W	Quantity	Uncertainty
1.1	0.008769	0.00057
1.11	0.011478	0.000688
1.12	0.015332	0.00096
1.13	0.019696	0.001059
1.14	0.025212	0.00118
1.15	0.030152	0.001313
1.16	0.038588	0.001387
1.17	0.047861	0.001567
1.18	0.061516	0.001765
1.19	0.076329	0.002087
1.2	0.091212	0.002437
1.21	0.102811	0.00263
1.22	0.108335	0.002726
1.23	0.112507	0.002642
1.24	0.109016	0.002533
1.25	0.10451	0.002452
1.26	0.0983680000000001	0.002255
1.27	0.093583	0.002137
1.28	0.091472	0.002095
1.29	0.088551	0.00202
1.3	0.088069	0.00189
1.31	0.087321	0.001913
1.32	0.087141	0.001826
1.33	0.088194	0.001803
1.34	0.089356	0.001841
1.35	0.089356	0.001814
1.36	0.089157	0.001805
1.37	0.090243	0.001818
1.38	0.092249	0.001843
1.39	0.0960200000000001	0.001888
1.4	0.099356	0.001943
1.41	0.101875	0.001971
1.42	0.104851	0.002012
1.43	0.108467	0.002115
1.44	0.113867	0.002201
1.45	0.12078	0.00229
1.46	0.129716	0.00259
1.47	0.141714	0.00296399999999999
1.48	0.158795	0.00325399999999999
1.49	0.176563	0.00358299999999999
1.5	0.193844	0.004227
1.51	0.199251	0.004492
1.52	0.198698	0.004438
1.53	0.191597	0.00424099999999999
1.54	0.182054	0.004021
1.55	0.172545	0.003775
1.56	0.165386	0.003577
1.57	0.158867	0.003451
1.58	0.156955	0.003364
1.59	0.156019	0.003289
1.6	0.1579	0.00326
1.61	0.162006	0.00325
1.62	0.168577	0.00326
1.63	0.17785	0.003276
1.64	0.190355	0.003335
1.65	0.202359	0.003406
1.66	0.214546	0.003517
1.67	0.227973	0.003633
1.68	0.242433000000001	0.003733
1.69	0.254981	0.003826
1.7	0.26349	0.003889
1.71	0.270697	0.003946
1.72	0.270145	0.003901
1.73	0.26764	0.003823
1.74	0.260638	0.003728
1.75	0.252044	0.003614
1.76	0.24445	0.003505
1.77	0.237119	0.00342
1.78	0.230858	0.003342
1.79	0.229935	0.003313
1.8	0.229917	0.003294
1.81	0.232709	0.003269
1.82	0.235798	0.003244
1.83	0.238799	0.00323
1.84	0.241173	0.00323
1.85	0.243577	0.003229
1.86	0.247189	0.003239
1.87	0.251509	0.003264
1.88	0.255709	0.003286
1.89	0.260146	0.003296
1.9	0.264625	0.003303
1.91	0.268449	0.003302
1.92	0.270085	0.003318
1.93	0.271735	0.003338
1.94	0.273348	0.00333
1.95	0.274828	0.003288
1.96	0.276072	0.003247
1.97	0.277539	0.003218
1.98	0.279015	0.003174
1.99	0.280207	0.003131
2	0.281058	0.003094
2.01	0.282298	0.003065
2.02	0.284357	0.003035
2.03	0.286446	0.00301
2.04	0.28775	0.002969
2.05	0.288308	0.002928
2.06	0.289001	0.002875
2.07	0.289596	0.002831
2.08	0.290746	0.002791
2.09	0.29204	0.002748
2.1	0.293707	0.002698
2.11	0.295742	0.002641
2.12	0.297726	0.002585
2.13	0.299792	0.002535
2.14	0.301279	0.002476
2.15	0.302611	0.002416
2.16	0.304101	0.002359
2.17	0.305777	0.002305
2.18	0.307811	0.002256
2.19	0.309767	0.002206
2.2	0.311323	0.002165
