W	Quantity	Uncertainty
1.1	0.006677	0.002305
1.11	0.008972	0.002812
1.12	0.012165	0.002995
1.13	0.015572	0.003291
1.14	0.020024	0.003875
1.15	0.02458	0.004777
1.16	0.031584	0.005654
1.17	0.038891	0.006902
1.18	0.049482	0.009173
1.19	0.061386	0.010091
1.2	0.073004	0.009371
1.21	0.082074	0.008487
1.22	0.086685	0.007321
1.23	0.090493	0.006955
1.24	0.089054	0.007054
1.25	0.08613	0.007073
1.26	0.0816220000000001	0.00666300000000001
1.27	0.079005	0.006125
1.28	0.078173	0.005885
1.29	0.076356	0.005761
1.3	0.075367	0.005768
1.31	0.075262	0.005412
1.32	0.07573	0.005048
1.33	0.076084	0.004951
1.34	0.077096	0.00525899999999999
1.35	0.077686	0.005321
1.36	0.079084	0.00488300000000001
1.37	0.081176	0.004938
1.38	0.083306	0.005251
1.39	0.0874050000000001	0.005224
1.4	0.090522	0.005151
1.41	0.092247	0.00548
1.42	0.09473	0.005736
1.43	0.0989710000000001	0.00594300000000002
1.44	0.105063	0.006693
1.45	0.111537	0.007724
1.46	0.119958	0.009142
1.47	0.131118	0.011093
1.48	0.145926	0.013236
1.49	0.161459	0.01377
1.5	0.177944	0.012524
1.51	0.185853	0.011756
1.52	0.184884	0.012686
1.53	0.178263	0.013884
1.54	0.169732	0.013594
1.55	0.162786	0.012065
1.56	0.157065	0.010598
1.57	0.151093	0.00957200000000005
1.58	0.148737	0.00898900000000003
1.59	0.147905	0.00846800000000001
1.6	0.150672	0.008143
1.61	0.155028	0.008202
1.62	0.161196	0.00864399999999999
1.63	0.168988	0.009225
1.64	0.179267	0.010058
1.65	0.189836	0.011111
1.66	0.201308	0.012435
1.67	0.213941	0.013459
1.68	0.226917000000001	0.013454
1.69	0.238755	0.013202
1.7	0.247105	0.01341
1.71	0.252636	0.013938
1.72	0.25252	0.014862
1.73	0.250231	0.015926
1.74	0.245255	0.016533
1.75	0.239819	0.016596
1.76	0.234315	0.015905
1.77	0.229021	0.014658
1.78	0.224943	0.01367
1.79	0.224196	0.013257
1.8	0.225254	0.013072
1.81	0.228493	0.013199
1.82	0.232031	0.013471
1.83	0.235682	0.013693
1.84	0.23918	0.013935
1.85	0.242756	0.014278
1.86	0.247411	0.014831
1.87	0.252794	0.015427
1.88	0.258098	0.01588
1.89	0.263252	0.016323
1.9	0.268138	0.016817
1.91	0.272678	0.01747
1.92	0.276103	0.018197
1.93	0.279622	0.018777
1.94	0.283036	0.019146
1.95	0.28614	0.019426
1.96	0.289097	0.019906
1.97	0.292326	0.020584
1.98	0.29587	0.021272
1.99	0.298991	0.021805
2	0.301823	0.022143
2.01	0.302832	0.022495
2.02	0.30646	0.022897
2.03	0.310225	0.023418
2.04	0.31364	0.023953
2.05	0.316633	0.024512
2.06	0.319875	0.025066
2.07	0.323083	0.025643
2.08	0.326658	0.026261
2.09	0.330577	0.026805
2.1	0.334923	0.027378
2.11	0.339604	0.028068
2.12	0.343609	0.028983
2.13	0.347506	0.02993
2.14	0.351249	0.030728
2.15	0.355501	0.031544
2.16	0.359902	0.032373
2.17	0.364338	0.033442
2.18	0.36872	0.034963
2.19	0.36923	0.036329
2.2	0.372813	0.037044
