W	Quantity	Uncertainty
1.1	0.004882	0.001058
1.11	0.006666	0.001831
1.12	0.009121	0.002213
1.13	0.01179	0.002623
1.14	0.015261	0.003
1.15	0.018945	0.003629
1.16	0.024372	0.004556
1.17	0.030154	0.005997
1.18	0.038224	0.007223
1.19	0.0472	0.008316
1.2	0.055978	0.008185
1.21	0.06286	0.006796
1.22	0.066447	0.005496
1.23	0.069224	0.005607
1.24	0.068347	0.005685
1.25	0.066404	0.005456
1.26	0.0633230000000001	0.005241
1.27	0.06164	0.005012
1.28	0.061327	0.004902
1.29	0.060411	0.004744
1.3	0.05992	0.004694
1.31	0.060183	0.004635
1.32	0.060914	0.004303
1.33	0.061476	0.004025
1.34	0.062628	0.00424699999999999
1.35	0.063372	0.004657
1.36	0.064773	0.004586
1.37	0.066758	0.004488
1.38	0.068697	0.004567
1.39	0.0720710000000001	0.004504
1.4	0.074564	0.004473
1.41	0.075937	0.004763
1.42	0.078315	0.005088
1.43	0.0821090000000001	0.00552300000000001
1.44	0.0872579999999999	0.00611899999999999
1.45	0.0927429999999998	0.00699299999999996
1.46	0.099869	0.008248
1.47	0.109197	0.00985799999999996
1.48	0.121172	0.011664
1.49	0.13369	0.012554
1.5	0.146457	0.011319
1.51	0.152646	0.010189
1.52	0.151626	0.011027
1.53	0.146237	0.012108
1.54	0.139632	0.011534
1.55	0.134248	0.010124
1.56	0.129852	0.00919
1.57	0.125512	0.00859700000000001
1.58	0.124186	0.008169
1.59	0.124068	0.00774700000000001
1.6	0.126734	0.007432
1.61	0.130165	0.007509
1.62	0.135372	0.007985
1.63	0.141807	0.008613
1.64	0.150153	0.00941200000000002
1.65	0.159074	0.010468
1.66	0.168953	0.011602
1.67	0.179954	0.012455
1.68	0.191184	0.012845
1.69	0.201321	0.012945
1.7	0.208242	0.012978
1.71	0.21234	0.013281
1.72	0.212034	0.013981
1.73	0.209796	0.014761
1.74	0.206073	0.015332
1.75	0.202098	0.015581
1.76	0.198155	0.014881
1.77	0.194508	0.013824
1.78	0.191829	0.013105
1.79	0.191254	0.01281
1.8	0.192552	0.012737
1.81	0.195236	0.012876
1.82	0.198146	0.013156
1.83	0.201273	0.013677
1.84	0.204512	0.014077
1.85	0.207836	0.014461
1.86	0.211956	0.014963
1.87	0.216643	0.015571
1.88	0.221258	0.016028
1.89	0.225692	0.016356
1.9	0.229843	0.016841
1.91	0.233843	0.017528
1.92	0.237177	0.018329
1.93	0.240608	0.018758
1.94	0.243884	0.019005
1.95	0.246852	0.019325
1.96	0.249672	0.019955
1.97	0.252693	0.020739
1.98	0.256054	0.021384
1.99	0.259017	0.021887
2	0.261728	0.02232
2.01	0.262411	0.022706
2.02	0.265731	0.023051
2.03	0.269212	0.023369
2.04	0.272548	0.023877
2.05	0.275609	0.024484
2.06	0.27891	0.025152
2.07	0.282205	0.026197
2.08	0.285703	0.027364
2.09	0.289538	0.028607
2.1	0.293724	0.0289
2.11	0.29816	0.028774
2.12	0.301949	0.0283
2.13	0.305616	0.028393
2.14	0.309188	0.028838
2.15	0.31331	0.029708
2.16	0.317592	0.030615
2.17	0.321917	0.031559
2.18	0.326141	0.032523
2.19	0.326313	0.033413
2.2	0.329682	0.033951
