W	Quantity	Uncertainty
1.1	0.002963	0.000601
1.11	0.004444	0.000707
1.12	0.006257	0.000885
1.13	0.008492	0.000969
1.14	0.011289	0.001059
1.15	0.014262	0.001177
1.16	0.018118	0.001316
1.17	0.022332	0.00153
1.18	0.028008	0.001813
1.19	0.034549	0.001998
1.2	0.040652	0.002244
1.21	0.045169	0.002437
1.22	0.047875	0.002498
1.23	0.049741	0.002508
1.24	0.049043	0.002476
1.25	0.047771	0.002409
1.26	0.045768	0.00224
1.27	0.044614	0.002136
1.28	0.044548	0.002153
1.29	0.04414	0.002174
1.3	0.044038	0.00215
1.31	0.044705	0.002057
1.32	0.045165	0.002048
1.33	0.045869	0.00218
1.34	0.047103	0.002229
1.35	0.047891	0.00217
1.36	0.048939	0.002168
1.37	0.050541	0.002199
1.38	0.051999	0.002207
1.39	0.054352	0.002208
1.4	0.05619	0.002201
1.41	0.05727	0.00222
1.42	0.0596739999999999	0.002265
1.43	0.0630890000000002	0.002305
1.44	0.0673769999999999	0.00235
1.45	0.0720499999999998	0.002413
1.46	0.078051	0.002443
1.47	0.085957	0.002519
1.48	0.0957350000000002	0.002704
1.49	0.105493	0.002903
1.5	0.114073	0.003046
1.51	0.11848	0.003111
1.52	0.117632	0.003038
1.53	0.112988	0.002898
1.54	0.107348	0.002762
1.55	0.10296	0.002648
1.56	0.099597	0.002565
1.57	0.0964870000000001	0.002507
1.58	0.095073	0.002454
1.59	0.094499	0.002402
1.6	0.096241	0.002397
1.61	0.098391	0.002438
1.62	0.102056	0.002484
1.63	0.106729	0.002533
1.64	0.112746	0.002602
1.65	0.119551	0.002678
1.66	0.127196	0.00275
1.67	0.135916	0.002829
1.68	0.144584	0.00291
1.69	0.151737	0.002971
1.7	0.156284	0.00301
1.71	0.159111	0.003045
1.72	0.159742	0.003064
1.73	0.158361	0.003043
1.74	0.155706	0.002994
1.75	0.152434	0.002914
1.76	0.149762	0.002828
1.77	0.147676	0.00276
1.78	0.145933	0.002716
1.79	0.145502	0.002691
1.8	0.146604	0.002683
1.81	0.148023	0.002679
1.82	0.149471	0.002674
1.83	0.151358	0.002684
1.84	0.1538	0.002701
1.85	0.156326	0.002717
1.86	0.159317	0.002729
1.87	0.16259	0.002738
1.88	0.165695	0.002735
1.89	0.168444	0.002725
1.9	0.170963	0.002715
1.91	0.173613	0.00271
1.92	0.176121	0.002706
1.93	0.178797	0.002704
1.94	0.181172	0.002708
1.95	0.183243	0.002726
1.96	0.184789	0.002744
1.97	0.186205	0.002856
1.98	0.187847	0.003051
1.99	0.189259	0.003322
2	0.190396	0.003429
2.01	0.191773	0.003491
2.02	0.193721	0.00353
2.03	0.195864	0.003562
2.04	0.198046	0.003541
2.05	0.199955	0.003493
2.06	0.202014	0.003506
2.07	0.203902	0.003553
2.08	0.205721	0.003739
2.09	0.207709	0.004635
2.1	0.210006	0.005821
2.11	0.212529	0.007062
2.12	0.215183	0.007107
2.13	0.217804	0.00686
2.14	0.219767	0.006342
2.15	0.221723	0.006161
2.16	0.223984	0.00599699999999999
2.17	0.226611	0.005841
2.18	0.229611	0.006178
2.19	0.231842	0.007196
2.2	0.233822	0.008037
