W	Quantity	Uncertainty
1.1	0.012478	0.000544
1.11	0.015739	0.000676
1.12	0.020706	0.000893
1.13	0.026138	0.001074
1.14	0.0330390000000001	0.001337
1.15	0.038752	0.001407
1.16	0.0497839999999998	0.001635
1.17	0.061957	0.001658
1.18	0.080368	0.001877
1.19	0.099873	0.00205
1.2	0.119956	0.002154
1.21	0.135861	0.002439
1.22	0.142809	0.002338
1.23	0.148185	0.002284
1.24	0.142676	0.002219
1.25	0.13599	0.002186
1.26	0.127213	0.002111
1.27	0.119934	0.002
1.28	0.116254	0.001899
1.29	0.111543	0.001781
1.3	0.110886	0.001939
1.31	0.108897	0.002207
1.32	0.108186	0.002217
1.33	0.109421	0.002214
1.34	0.110254	0.002239
1.35	0.109509	0.002106
1.36	0.108114	0.00207
1.37	0.108397	0.002079
1.38	0.110489	0.00207
1.39	0.114735	0.002102
1.4	0.1188	0.002121
1.41	0.122284	0.002139
1.42	0.125119	0.002157
1.43	0.127993	0.001892
1.44	0.133127	0.001733
1.45	0.140626	0.001767
1.46	0.150359	0.001804
1.47	0.163542	0.001861
1.48	0.18382	0.001966
1.49	0.205329	0.002092
1.5	0.22706	0.002224
1.51	0.231827	0.00222
1.52	0.231538	0.002181
1.53	0.223717	0.002093
1.54	0.212688	0.002
1.55	0.200398	0.001902
1.56	0.191271	0.001901
1.57	0.183103	0.001932
1.58	0.181368	0.002098
1.59	0.180495	0.00225199999999999
1.6	0.182091	0.002465
1.61	0.187268	0.00258
1.62	0.195194	0.00249
1.63	0.206881	0.00302
1.64	0.222905	0.004078
1.65	0.237213	0.00431899999999999
1.66	0.25097	0.004057
1.67	0.265783	0.004117
1.68	0.282491000000001	0.00443700000000001
1.69	0.297377	0.004684
1.7	0.307786	0.004712
1.71	0.317615	0.00472
1.72	0.315909	0.004577
1.73	0.312961	0.004431
1.74	0.303434	0.004232
1.75	0.291825	0.004035
1.76	0.281386	0.003854
1.77	0.270803	0.003681
1.78	0.261793	0.003534
1.79	0.260915	0.003471
1.8	0.259933	0.003408
1.81	0.263658	0.003386
1.82	0.267899	0.003365
1.83	0.271494	0.003337
1.84	0.273341	0.003297
1.85	0.275149	0.003257
1.86	0.278602	0.003236
1.87	0.283007	0.003223
1.88	0.287387	0.003211
1.89	0.292596	0.003204
1.9	0.298137	0.003201
1.91	0.302348	0.003188
1.92	0.302791	0.003155
1.93	0.303065	0.003122
1.94	0.303614	0.003092
1.95	0.304271	0.003062
1.96	0.305101	0.003031
1.97	0.306478	0.00301
1.98	0.30761	0.002989
1.99	0.3085	0.002968
2	0.309093	0.002942
2.01	0.31011	0.002917
2.02	0.311952	0.002895
2.03	0.313628	0.002873
2.04	0.313856	0.002843
2.05	0.313062	0.002807
2.06	0.312346	0.002772
2.07	0.311653	0.002734
2.08	0.312042	0.002703
2.09	0.312504	0.002672
2.1	0.313283	0.002646
2.11	0.31447	0.002629
2.12	0.315418	0.002609
2.13	0.316553	0.002589
2.14	0.317407	0.002566
2.15	0.317998	0.002545
2.16	0.318528	0.002527
2.17	0.318975	0.002509
2.18	0.319642	0.002483
2.19	0.321049	0.002461
2.2	0.322033	0.00244
