W	Quantity	Uncertainty
1.1	0.002378	0.000515
1.11	0.003678	0.00059
1.12	0.005237	0.000732
1.13	0.007185	0.000862
1.14	0.00962	0.000979
1.15	0.012274	0.001076
1.16	0.015586	0.001284
1.17	0.019208	0.00149
1.18	0.023995	0.001631
1.19	0.029555	0.001896
1.2	0.034672	0.002171
1.21	0.03842	0.002198
1.22	0.040749	0.002285
1.23	0.042314	0.002388
1.24	0.04184	0.002302
1.25	0.040865	0.00221
1.26	0.039281	0.002139
1.27	0.038449	0.002071
1.28	0.038523	0.001988
1.29	0.038323	0.00194
1.3	0.038276	0.001919
1.31	0.039001	0.00196
1.32	0.039495	0.001968
1.33	0.040153	0.00193
1.34	0.041324	0.001895
1.35	0.042131	0.001919
1.36	0.043205	0.001993
1.37	0.04474	0.002038
1.38	0.046077	0.002092
1.39	0.04818	0.002114
1.4	0.04981	0.002086
1.41	0.050756	0.002095
1.42	0.052977	0.002117
1.43	0.0561530000000001	0.002164
1.44	0.060086	0.002275
1.45	0.064321	0.002383
1.46	0.069757	0.002446
1.47	0.076894	0.002565
1.48	0.0855690000000002	0.002733
1.49	0.0941770000000002	0.002904
1.5	0.101604	0.003048
1.51	0.10559	0.00316
1.52	0.104731	0.003112
1.53	0.100546	0.00295
1.54	0.095552	0.002785
1.55	0.091803	0.002675
1.56	0.088936	0.002615
1.57	0.0863010000000001	0.002525
1.58	0.085061	0.002439
1.59	0.084597	0.002411
1.6	0.086232	0.002426
1.61	0.08814	0.002458
1.62	0.091387	0.002477
1.63	0.095466	0.002478
1.64	0.100673	0.002518
1.65	0.106699	0.002593
1.66	0.113555	0.002679
1.67	0.121395	0.00279
1.68	0.129117	0.002887
1.69	0.135449	0.00296
1.7	0.139439	0.003031
1.71	0.141782	0.003072
1.72	0.142432	0.003071
1.73	0.141233	0.00302
1.74	0.13908	0.002952
1.75	0.136439	0.002887
1.76	0.134338	0.002827
1.77	0.132805	0.002777
1.78	0.131551	0.002738
1.79	0.131259	0.002714
1.8	0.132412	0.002711
1.81	0.133707	0.002717
1.82	0.135015	0.002712
1.83	0.13676	0.002699
1.84	0.139088	0.002709
1.85	0.141498	0.002766
1.86	0.144287	0.002848
1.87	0.147308	0.002938
1.88	0.150173	0.003093
1.89	0.152676	0.00346600000000001
1.9	0.15495	0.003847
1.91	0.157391	0.00409
1.92	0.159828	0.003888
1.93	0.162427	0.003713
1.94	0.164734	0.00363
1.95	0.166753	0.003649
1.96	0.168274	0.003698
1.97	0.169654	0.003773
1.98	0.171254	0.004053
1.99	0.172648	0.004514
2	0.173795	0.005179
2.01	0.175152	0.005564
2.02	0.177017	0.005856
2.03	0.179071	0.006147
2.04	0.181212	0.00635300000000001
2.05	0.183136	0.006446
2.06	0.185197	0.006345
2.07	0.1871	0.006348
2.08	0.188903	0.00681499999999998
2.09	0.190863	0.007575
2.1	0.193103	0.008336
2.11	0.195541	0.006497
2.12	0.198109	0.006543
2.13	0.200643	0.006319
2.14	0.202572	0.005846
2.15	0.204505	0.005682
2.16	0.206727	0.005535
2.17	0.209295	0.005395
2.18	0.212204	0.005709
2.19	0.214369	0.006654
2.2	0.216317	0.007435
