W	Quantity	Uncertainty
1.1	0.006419	0.000436
1.11	0.00871	0.000524
1.12	0.011803	0.000658
1.13	0.015403	0.000789
1.14	0.019938	0.000879
1.15	0.024245	0.000955
1.16	0.03094	0.001089
1.17	0.038277	0.001264
1.18	0.048818	0.001438
1.19	0.060484	0.001682
1.2	0.071951	0.001997
1.21	0.080758	0.002187
1.22	0.085269	0.002287
1.23	0.088599	0.002376
1.24	0.086317	0.002406
1.25	0.083159	0.002625
1.26	0.0786880000000001	0.002762
1.27	0.075431	0.002639
1.28	0.074236	0.002556
1.29	0.072394	0.00249
1.3	0.072044	0.002507
1.31	0.071982	0.002738
1.32	0.072102	0.0029
1.33	0.073028	0.002933
1.34	0.074315	0.002942
1.35	0.074714	0.002873
1.36	0.075155	0.0029
1.37	0.07661	0.002977
1.38	0.078483	0.002937
1.39	0.0818260000000001	0.002937
1.4	0.084632	0.002999
1.41	0.086554	0.003056
1.42	0.0894689999999999	0.003044
1.43	0.0932980000000001	0.003034
1.44	0.098577	0.003089
1.45	0.104869	0.003169
1.46	0.112982	0.003317
1.47	0.123805	0.003449
1.48	0.138426	0.00356800000000001
1.49	0.153418	0.00382200000000001
1.5	0.167551	0.004107
1.51	0.172985	0.004186
1.52	0.172288	0.004077
1.53	0.165895	0.003902
1.54	0.157591	0.00377
1.55	0.149989	0.003659
1.56	0.144212	0.003534
1.57	0.138893	0.003433
1.58	0.137016	0.0034
1.59	0.136127	0.003366
1.6	0.138079	0.003348
1.61	0.141453	0.003388
1.62	0.147017	0.003485
1.63	0.154605	0.003516
1.64	0.164697	0.003564
1.65	0.17494	0.003699
1.66	0.185738	0.003831
1.67	0.197807	0.003934
1.68	0.210414	0.00404100000000001
1.69	0.221153	0.004135
1.7	0.228272	0.004188
1.71	0.233765	0.004199
1.72	0.233826	0.00406
1.73	0.231684	0.003911
1.74	0.226356	0.003783
1.75	0.219786	0.003657
1.76	0.214082	0.003531
1.77	0.20884	0.003414
1.78	0.204361	0.00336
1.79	0.203516	0.003322
1.8	0.204035	0.003297
1.81	0.206253	0.0033
1.82	0.208643	0.003299
1.83	0.211232	0.003289
1.84	0.213798	0.00328
1.85	0.216425	0.003236
1.86	0.219973	0.00319
1.87	0.224067	0.003155
1.88	0.228	0.003132
1.89	0.231857	0.003097
1.9	0.235607	0.00306
1.91	0.239078	0.003019
1.92	0.241282	0.002977
1.93	0.24359	0.002926
1.94	0.245706	0.002874
1.95	0.247575	0.002825
1.96	0.249016	0.002787
1.97	0.250505	0.002755
1.98	0.252127	0.002724
1.99	0.253464	0.002683
2	0.254455	0.002633
2.01	0.255797	0.002583
2.02	0.257908	0.002554
2.03	0.260147	0.002538
2.04	0.261979	0.002526
2.05	0.263249	0.002507
2.06	0.264676	0.002482
2.07	0.265951	0.002454
2.08	0.267484	0.002423
2.09	0.26919	0.002393
2.1	0.271276	0.002364
2.11	0.273689	0.002337
2.12	0.27615	0.002314
2.13	0.278635	0.002291
2.14	0.280425	0.002272
2.15	0.282125	0.002251
2.16	0.284085	0.002229
2.17	0.286356	0.002207
2.18	0.289034	0.002187
2.19	0.291227	0.00217
2.2	0.293055	0.002193
