W	Quantity	Uncertainty
1.1	0.004848	0.00076
1.11	0.006811	0.000892
1.12	0.009355	0.001032
1.13	0.012384	0.001264
1.14	0.01619	0.001466
1.15	0.019973	0.001593
1.16	0.025434	0.001741
1.17	0.031408	0.00203
1.18	0.039796	0.002426
1.19	0.049234	0.002698
1.2	0.058333	0.003017
1.21	0.065228	0.003867
1.22	0.068982	0.004419
1.23	0.071693	0.004198
1.24	0.070171	0.003715
1.25	0.06789	0.003512
1.26	0.0645390000000001	0.003327
1.27	0.062268	0.003212
1.28	0.061631	0.003159
1.29	0.060473	0.003096
1.3	0.060224	0.003039
1.31	0.060551	0.002908
1.32	0.060847	0.002925
1.33	0.061679	0.002985
1.34	0.06299	0.003002
1.35	0.063608	0.002926
1.36	0.064393	0.002871
1.37	0.065996	0.00296
1.38	0.067726	0.00307
1.39	0.0706930000000001	0.003017
1.4	0.073097	0.002923
1.41	0.074629	0.003
1.42	0.077399	0.00301
1.43	0.0811880000000001	0.002954
1.44	0.086184	0.003012
1.45	0.091886	0.003074
1.46	0.099223	0.003178
1.47	0.108965	0.00335
1.48	0.121637	0.00354100000000001
1.49	0.134485	0.00385299999999999
1.5	0.146284	0.004161
1.51	0.151471	0.004272
1.52	0.150692	0.004171
1.53	0.144948	0.00391399999999999
1.54	0.137682	0.00369700000000001
1.55	0.131458	0.003524
1.56	0.1267	0.003384
1.57	0.122294	0.00325300000000001
1.58	0.120542	0.00315
1.59	0.119746	0.003075
1.6	0.121667	0.003061
1.61	0.124515	0.003075
1.62	0.129301	0.003101
1.63	0.135655	0.003135
1.64	0.144001	0.003142
1.65	0.152856	0.003132
1.66	0.162449	0.003183
1.67	0.173274	0.003261
1.68	0.184339	0.00332
1.69	0.193638	0.003382
1.7	0.199696	0.003449
1.71	0.204008	0.003476
1.72	0.204396	0.003398
1.73	0.202553	0.003288
1.74	0.198397	0.0032
1.75	0.19326	0.003112
1.76	0.188883	0.003014
1.77	0.185059	0.00292
1.78	0.1818	0.002844
1.79	0.181081	0.002801
1.8	0.181908	0.002769
1.81	0.183753	0.002751
1.82	0.185698	0.002752
1.83	0.187987	0.002752
1.84	0.19058	0.002745
1.85	0.19325	0.00274
1.86	0.19664	0.002741
1.87	0.200461	0.002747
1.88	0.204106	0.002747
1.89	0.207512	0.002741
1.9	0.210736	0.002731
1.91	0.213896	0.002706
1.92	0.216347	0.002675
1.93	0.218946	0.002655
1.94	0.221278	0.002636
1.95	0.223315	0.002613
1.96	0.224842	0.002584
1.97	0.226319	0.002562
1.98	0.22799	0.002542
1.99	0.229389	0.002526
2	0.23046	0.00252
2.01	0.231841	0.002515
2.02	0.233928	0.002509
2.03	0.236187	0.002499
2.04	0.238267	0.00249
2.05	0.239911	0.002482
2.06	0.241718	0.002475
2.07	0.24335	0.002468
2.08	0.24507	0.002462
2.09	0.246971	0.00245
2.1	0.249237	0.002439
2.11	0.251792	0.002429
2.12	0.254444	0.00243
2.13	0.25709	0.002433
2.14	0.259015	0.002429
2.15	0.26089	0.00242
2.16	0.263068	0.002407
2.17	0.265607	0.002547
2.18	0.26856	0.002956
2.19	0.270834	0.003289
2.2	0.272783	0.00353399999999999
