W	Quantity	Uncertainty
1.1	0.009324	0.002059
1.11	0.012346	0.002425
1.12	0.016601	0.003021
1.13	0.021055	0.003391
1.14	0.026904	0.003864
1.15	0.032663	0.004808
1.16	0.041923	0.005877
1.17	0.051376	0.007311
1.18	0.06561	0.009392
1.19	0.081774	0.011265
1.2	0.097512	0.012454
1.21	0.10975	0.011284
1.22	0.11582	0.010107
1.23	0.121155	0.010432
1.24	0.118845	0.011431
1.25	0.114431	0.010621
1.26	0.107775	0.00913100000000003
1.27	0.103732	0.008581
1.28	0.102071	0.008442
1.29	0.098833	0.008231
1.3	0.097071	0.008109
1.31	0.096355	0.007085
1.32	0.096355	0.005672
1.33	0.096346	0.005125
1.34	0.097063	0.005249
1.35	0.097367	0.005206
1.36	0.098677	0.005022
1.37	0.100822	0.005108
1.38	0.103147	0.005079
1.39	0.108229	0.00516000000000001
1.4	0.11223	0.005462
1.41	0.11447	0.005854
1.42	0.116978	0.00613599999999999
1.43	0.121714	0.00653300000000002
1.44	0.129033	0.00748
1.45	0.136798	0.008815
1.46	0.146909	0.010887
1.47	0.160506	0.013073
1.48	0.179241	0.014994
1.49	0.19896	0.01511
1.5	0.220762	0.013822
1.51	0.231094	0.012319
1.52	0.230269	0.0135050000000001
1.53	0.22197	0.01577
1.54	0.210692	0.015351
1.55	0.201529	0.013887
1.56	0.193926	0.011901
1.57	0.185566	0.010403
1.58	0.181609	0.009982
1.59	0.17962	0.00944300000000001
1.6	0.182394	0.00865500000000004
1.61	0.188087	0.00850500000000001
1.62	0.195523	0.009151
1.63	0.20516	0.009867
1.64	0.218118	0.010809
1.65	0.230854	0.012427
1.66	0.244336	0.014269
1.67	0.258966	0.014987
1.68	0.274113000000001	0.01484
1.69	0.288108	0.014589
1.7	0.298377	0.014508
1.71	0.306017	0.015011
1.72	0.306245	0.016284
1.73	0.304047	0.01755
1.74	0.297262	0.018286
1.75	0.289705	0.018431
1.76	0.281914	0.0168
1.77	0.274176	0.014794
1.78	0.268005	0.013852
1.79	0.267073	0.013464
1.8	0.267683	0.013275
1.81	0.271712	0.01348
1.82	0.276147	0.013743
1.83	0.280503	0.014165
1.84	0.284253	0.014628
1.85	0.288064	0.015029
1.86	0.293369	0.015508
1.87	0.299629	0.016006
1.88	0.305804	0.016433
1.89	0.311895	0.016763
1.9	0.317768	0.017076
1.91	0.322976	0.017494
1.92	0.326368	0.01794
1.93	0.329841	0.018527
1.94	0.333305	0.019028
1.95	0.336482	0.019538
1.96	0.339524	0.02024
1.97	0.342942	0.021171
1.98	0.346607	0.021983
1.99	0.34984	0.022314
2	0.352741	0.022366
2.01	0.354332	0.022411
2.02	0.358296	0.022721
2.03	0.362348	0.023194
2.04	0.365716	0.023704
2.05	0.368437	0.024113
2.06	0.371407	0.02443
2.07	0.374296	0.024808
2.08	0.377813	0.025289
2.09	0.38166	0.025841
2.1	0.386036	0.026387
2.11	0.39087	0.026944
2.12	0.395037	0.027628
2.13	0.399126	0.028315
2.14	0.402973	0.029089
2.15	0.407216	0.029915
2.16	0.411579	0.030755
2.17	0.415958	0.031573
2.18	0.420375	0.032372
2.19	0.421552	0.033158
2.2	0.425336	0.034437
