x	Quantity	Uncertainty
0.11	0.697388541807465	0.05118024919974
0.12	0.773615035229752	0.0567738085394349
0.13	0.817168553995214	0.0599708622405555
0.14	0.838109101383355	0.0615076530485168
0.15	0.843250291725858	0.0618845292833577
0.16	0.837333999968633	0.0614506189394011
0.17	0.823669958619153	0.0604471219944837
0.18	0.804600957316495	0.0590481088866374
0.19	0.78185988136531	0.0573788364828845
0.2	0.756674722798677	0.0555310444095251
0.21	0.729968296963598	0.053571117129033
0.22	0.702414471016171	0.0515492515409935
0.23	0.674517783221997	0.0495011714596277
0.24	0.646662534277879	0.0474573875229075
0.25	0.619133799834851	0.0454368172869404
0.26	0.592153353174337	0.0434566160062305
0.27	0.565888838768972	0.0415299275952656
0.28	0.540478225955503	0.0396652022931644
0.29	0.516036041574723	0.0378709076332527
0.3	0.492662064863549	0.0361556468782501
0.31	0.485515889422874	0.0311853367543367
0.32	0.469882152155818	0.0286539678725788
0.33	0.45378411848172	0.0262511624266404
0.34	0.439942923781351	0.0244684265194333
0.35	0.431477266809858	0.0234173281354482
0.36	0.418903105678861	0.022475194842685
0.37	0.407900061695815	0.0204488572058384
0.38	0.39770038705534	0.0192363381439061
0.39	0.385653648093176	0.0175237102992462
0.4	0.36418292441601	0.0161826469066636
0.41	0.346450786778614	0.014560647852265
0.42	0.333295788030914	0.0137428635812942
0.43	0.325099603067314	0.014025288395784
0.44	0.343755429522937	0.0178246936954828
0.45	0.371361796698137	0.0193526225944092
0.46	0.379829411266852	0.0155364394815627
0.47	0.354576540917816	0.0138032951945892
0.48	0.314478571927727	0.0140716091550892
0.49	0.277906715502801	0.0113072467225311
0.5	0.245249957865566	0.00908043427816843
0.51	0.226531040366802	0.00888203156701218
0.52	0.227572494555926	0.0105255038912482
0.53	0.246416530688581	0.0137895113792493
0.54	0.269051738218142	0.0194168048113135
0.55	0.294225824103081	0.0175659677809215
0.56	0.283938551519907	0.0165638643329642
0.57	0.234759476209727	0.0187502170285053
0.58	0.193843406287043	0.0158187191947284
0.59	0.170177204784617	0.0120282370457056
0.6	0.154336695291314	0.0102774670558592
0.61	0.146970370329856	0.00907536348569687
0.62	0.141671001129952	0.00880206221174508
0.63	0.132112952401072	0.00826342330466272
0.64	0.127805605330299	0.00734948555724916
0.65	0.125595379365025	0.00712181239550059
0.66	0.125734110029713	0.00699786341593372
0.67	0.126311311551794	0.00750231271496022
0.68	0.127956417487572	0.00871260278808606
0.69	0.131600897321162	0.00933349749730785
0.7	0.138385544456588	0.0101247890866431
0.71	0.144870220867374	0.0107843978723151
0.72	0.157194030794615	0.0116310315009007
0.73	0.165017367854291	0.0110301812406796
0.74	0.16168736545967	0.0104027843907052
0.75	0.151018150471457	0.0123240890261891
0.76	0.127862208330424	0.0145759194406629
0.77	0.0999202903424781	0.0131096929370051
0.78	0.0742269122053126	0.00965279448515675
0.79	0.0573457303631493	0.00763444982698815
0.8	0.0432380536645285	0.00609104095656991
0.81	0.0342158869137684	0.00464715025009713
0.82	0.0260365074847626	0.00423246363591352
0.83	0.0192478511467813	0.00367312229239491
0.84	0.014073257389181	0.0031697775388535
