W	Quantity	Uncertainty
1.1	0.019955	0.003266
1.11	0.025755	0.003558
1.12	0.034118	0.004386
1.13	0.042543	0.004557
1.14	0.0537210000000002	0.00575300000000003
1.15	0.063838	0.007115
1.16	0.0817599999999996	0.00982099999999994
1.17	0.099248	0.011634
1.18	0.127701	0.015441
1.19	0.160633	0.017352
1.2	0.192547	0.01627
1.21	0.21717	0.014819
1.22	0.228801	0.012365
1.23	0.240296	0.013226
1.24	0.234257	0.013958
1.25	0.223617	0.013928
1.26	0.208088	0.013636
1.27	0.198058	0.013371
1.28	0.192701	0.012836
1.29	0.183241	0.011652
1.3	0.178157	0.011324
1.31	0.174599	0.010889
1.32	0.172257	0.009853
1.33	0.170476	0.008783
1.34	0.169508	0.00808200000000002
1.35	0.168325	0.008405
1.36	0.168822	0.00808300000000001
1.37	0.17058	0.007951
1.38	0.173211	0.00824699999999999
1.39	0.181737	0.00825200000000001
1.4	0.189078	0.008603
1.41	0.193375	0.009128
1.42	0.195252	0.009718
1.43	0.201035	0.010498
1.44	0.212365	0.011553
1.45	0.224362	0.013064
1.46	0.240027	0.014948
1.47	0.261918	0.017208
1.48	0.294997000000001	0.0202
1.49	0.330056000000001	0.021045
1.5	0.372275	0.020948
1.51	0.391701	0.022027
1.52	0.39185	0.023419
1.53	0.377576	0.025291
1.54	0.355806	0.024384
1.55	0.338227	0.02219
1.56	0.323475	0.020453
1.57	0.305622	0.018777
1.58	0.294773	0.017725
1.59	0.287564	0.017028
1.6	0.289548	0.01697
1.61	0.300468	0.016947
1.62	0.312148	0.016731
1.63	0.328322	0.018097
1.64	0.351061	0.021083
1.65	0.371004	0.022065
1.66	0.390648	0.021894
1.67	0.410986	0.020905
1.68	0.432554000000001	0.0176539999999999
1.69	0.453237	0.015347
1.7	0.470144	0.015623
1.71	0.48624	0.0164530000000001
1.72	0.488212	0.0194420000000001
1.73	0.487311	0.022341
1.74	0.473493	0.02262
1.75	0.457587	0.022643
1.76	0.440711	0.020604
1.77	0.423076	0.0174980000000001
1.78	0.408323	0.014947
1.79	0.407033	0.013973
1.8	0.405323	0.012999
1.81	0.412346	0.013189
1.82	0.420212	0.013576
1.83	0.427023	0.013917
1.84	0.431054	0.014139
1.85	0.435038	0.014362
1.86	0.442168	0.015209
1.87	0.451102	0.016444
1.88	0.459957	0.017618
1.89	0.469118	0.017701
1.9	0.478399	0.017552
1.91	0.485574	0.017468
1.92	0.487883	0.018053
1.93	0.490171	0.018666
1.94	0.49297	0.019157
1.95	0.495713	0.019418
1.96	0.498443	0.019679
1.97	0.501959	0.020184
1.98	0.505263	0.020973
1.99	0.508262	0.021763
2	0.510828	0.022391
2.01	0.515313	0.022702
2.02	0.519974	0.022994
2.03	0.524432	0.023288
2.04	0.526687	0.023567
2.05	0.527355	0.023827
2.06	0.528176	0.024086
2.07	0.528704	0.02435
2.08	0.53102	0.024734
2.09	0.533477	0.025118
2.1	0.536807	0.025554
2.11	0.541089	0.026083
2.12	0.545001	0.026594
2.13	0.549042	0.027104
2.14	0.552465	0.027588
2.15	0.555534	0.028105
2.16	0.558529	0.028637
2.17	0.561447	0.029169
2.18	0.56488	0.029783
2.19	0.56969	0.030441
2.2	0.573632	0.031105
