W	Quantity	Uncertainty
1.1	0.003627	0.001104
1.11	0.005041	0.001768
1.12	0.006964	0.002087
1.13	0.009095	0.002198
1.14	0.011854	0.002252
1.15	0.014883	0.002672
1.16	0.019171	0.003424
1.17	0.023832	0.004489
1.18	0.0301	0.005929
1.19	0.036996	0.006564
1.2	0.043755	0.006382
1.21	0.049074	0.005096
1.22	0.051918	0.004471
1.23	0.053976	0.004394
1.24	0.053471	0.004605
1.25	0.052191	0.004493
1.26	0.050086	0.00407500000000001
1.27	0.049031	0.00373
1.28	0.049046	0.003668
1.29	0.048712	0.003766
1.3	0.048549	0.003883
1.31	0.049033	0.003654
1.32	0.049904	0.003477
1.33	0.050582	0.003701
1.34	0.051785	0.00405299999999999
1.35	0.052605	0.004347
1.36	0.0539659999999999	0.00409700000000001
1.37	0.05582	0.003873
1.38	0.057581	0.003965
1.39	0.0604010000000001	0.004075
1.4	0.062437	0.004166
1.41	0.063562	0.004346
1.42	0.0657989999999999	0.00468299999999998
1.43	0.0691930000000002	0.00502900000000002
1.44	0.0735959999999999	0.00546499999999999
1.45	0.0783009999999998	0.00624699999999996
1.46	0.084405	0.00712
1.47	0.092312	0.008395
1.48	0.102173	0.010105
1.49	0.112444	0.010993
1.5	0.122524	0.010047
1.51	0.127451	0.009158
1.52	0.126432	0.00966300000000001
1.53	0.121976	0.010236
1.54	0.116768	0.009885
1.55	0.112522	0.00905
1.56	0.109091	0.008309
1.57	0.105902	0.00793000000000001
1.58	0.105253	0.007738
1.59	0.105581	0.00738200000000001
1.6	0.108099	0.007034
1.61	0.11087	0.00714
1.62	0.115326	0.007663
1.63	0.120731	0.008293
1.64	0.127632	0.00900800000000002
1.65	0.135261	0.00988600000000002
1.66	0.143848	0.010958
1.67	0.153491	0.011925
1.68	0.163285	0.012417
1.69	0.172048	0.012472
1.7	0.177869	0.012492
1.71	0.180963	0.01288
1.72	0.180559	0.013652
1.73	0.178443	0.014376
1.74	0.175619	0.014766
1.75	0.17268	0.014583
1.76	0.169839	0.013943
1.77	0.167337	0.013315
1.78	0.16562	0.012875
1.79	0.1652	0.012655
1.8	0.166618	0.012679
1.81	0.168896	0.012992
1.82	0.171351	0.013214
1.83	0.174077	0.013446
1.84	0.177066	0.013809
1.85	0.180142	0.014318
1.86	0.183814	0.014905
1.87	0.187935	0.015468
1.88	0.191992	0.015825
1.89	0.195857	0.016122
1.9	0.199442	0.016526
1.91	0.202998	0.017258
1.92	0.206179	0.01802
1.93	0.209455	0.018468
1.94	0.212554	0.018787
1.95	0.215358	0.019189
1.96	0.218021	0.019973
1.97	0.220834	0.020753
1.98	0.223989	0.021533
1.99	0.226776	0.022329
2	0.229347	0.022666
2.01	0.229853	0.022609
2.02	0.232898	0.022184
2.03	0.236109	0.022184
2.04	0.239304	0.022438
2.05	0.242322	0.022903
2.06	0.245566	0.02359
2.07	0.24882	0.024455
2.08	0.252175	0.025551
2.09	0.255847	0.027413
2.1	0.259813	0.029377
2.11	0.263968	0.031179
2.12	0.267521	0.03078
2.13	0.270951	0.029968
2.14	0.274324	0.028776
2.15	0.278249	0.028816
2.16	0.282334	0.029102
2.17	0.286465	0.029767
2.18	0.290474	0.031067
2.19	0.290499	0.032813
2.2	0.293657	0.03478
