     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.750     0.010    0.396E+00    0.363E+00    0.283E+01    0.245E+00    0.266E+00    0.116E+00    0.116E+00    0.224E-01    0.224E-01    0.000E+00    0.000E+00
     2.750     0.020    0.412E+00    0.374E+00    0.239E+01    0.205E+00    0.225E+00    0.973E-01    0.973E-01    0.187E-01    0.187E-01    0.000E+00    0.000E+00
     2.750     0.030    0.434E+00    0.383E+00    0.215E+01    0.182E+00    0.198E+00    0.859E-01    0.859E-01    0.164E-01    0.164E-01    0.000E+00    0.000E+00
     2.750     0.040    0.457E+00    0.390E+00    0.200E+01    0.166E+00    0.180E+00    0.780E-01    0.780E-01    0.147E-01    0.147E-01    0.000E+00    0.000E+00
     2.750     0.050    0.478E+00    0.395E+00    0.188E+01    0.152E+00    0.165E+00    0.713E-01    0.713E-01    0.133E-01    0.133E-01    0.000E+00    0.000E+00
     2.750     0.060    0.498E+00    0.399E+00    0.178E+01    0.139E+00    0.154E+00    0.657E-01    0.657E-01    0.121E-01    0.121E-01    0.000E+00    0.000E+00
     2.750     0.070    0.516E+00    0.402E+00    0.169E+01    0.127E+00    0.144E+00    0.608E-01    0.608E-01    0.111E-01    0.111E-01    0.000E+00    0.000E+00
     2.750     0.080    0.533E+00    0.404E+00    0.161E+01    0.115E+00    0.136E+00    0.564E-01    0.564E-01    0.101E-01    0.101E-01    0.000E+00    0.000E+00
     2.750     0.090    0.549E+00    0.405E+00    0.154E+01    0.105E+00    0.129E+00    0.525E-01    0.525E-01    0.926E-02    0.926E-02    0.000E+00    0.000E+00
     2.750     0.100    0.563E+00    0.405E+00    0.146E+01    0.961E-01    0.123E+00    0.488E-01    0.488E-01    0.847E-02    0.847E-02    0.000E+00    0.000E+00
     2.750     0.110    0.577E+00    0.404E+00    0.139E+01    0.879E-01    0.116E+00    0.455E-01    0.455E-01    0.775E-02    0.775E-02    0.000E+00    0.000E+00
     2.750     0.120    0.590E+00    0.402E+00    0.132E+01    0.806E-01    0.110E+00    0.425E-01    0.425E-01    0.708E-02    0.708E-02    0.000E+00    0.000E+00
     2.750     0.130    0.601E+00    0.399E+00    0.125E+01    0.742E-01    0.104E+00    0.396E-01    0.396E-01    0.647E-02    0.647E-02    0.000E+00    0.000E+00
     2.750     0.140    0.612E+00    0.396E+00    0.118E+01    0.686E-01    0.986E-01    0.370E-01    0.370E-01    0.590E-02    0.590E-02    0.000E+00    0.000E+00
     2.750     0.150    0.621E+00    0.392E+00    0.112E+01    0.636E-01    0.929E-01    0.345E-01    0.345E-01    0.537E-02    0.537E-02    0.000E+00    0.000E+00
     2.750     0.160    0.630E+00    0.387E+00    0.105E+01    0.592E-01    0.874E-01    0.322E-01    0.322E-01    0.489E-02    0.489E-02    0.000E+00    0.000E+00
     2.750     0.170    0.637E+00    0.382E+00    0.989E+00    0.553E-01    0.819E-01    0.301E-01    0.301E-01    0.444E-02    0.444E-02    0.000E+00    0.000E+00
     2.750     0.180    0.643E+00    0.376E+00    0.928E+00    0.518E-01    0.767E-01    0.281E-01    0.281E-01    0.403E-02    0.403E-02    0.000E+00    0.000E+00
     2.750     0.190    0.648E+00    0.370E+00    0.869E+00    0.486E-01    0.716E-01    0.262E-01    0.262E-01    0.365E-02    0.365E-02    0.000E+00    0.000E+00
     2.750     0.200    0.652E+00    0.364E+00    0.812E+00    0.458E-01    0.667E-01    0.245E-01    0.245E-01    0.330E-02    0.330E-02    0.000E+00    0.000E+00
     2.750     0.210    0.654E+00    0.357E+00    0.757E+00    0.432E-01    0.621E-01    0.228E-01    0.228E-01    0.298E-02    0.298E-02    0.000E+00    0.000E+00
     2.750     0.220    0.655E+00    0.350E+00    0.705E+00    0.408E-01    0.577E-01    0.213E-01    0.213E-01    0.268E-02    0.268E-02    0.000E+00    0.000E+00
     2.750     0.230    0.655E+00    0.343E+00    0.655E+00    0.386E-01    0.535E-01    0.199E-01    0.199E-01    0.241E-02    0.241E-02    0.000E+00    0.000E+00
     2.750     0.240    0.654E+00    0.336E+00    0.607E+00    0.365E-01    0.495E-01    0.185E-01    0.185E-01    0.217E-02    0.217E-02    0.000E+00    0.000E+00
     2.750     0.250    0.652E+00    0.328E+00    0.561E+00    0.346E-01    0.458E-01    0.172E-01    0.172E-01    0.194E-02    0.194E-02    0.000E+00    0.000E+00
     2.750     0.260    0.648E+00    0.320E+00    0.518E+00    0.327E-01    0.423E-01    0.161E-01    0.161E-01    0.174E-02    0.174E-02    0.000E+00    0.000E+00
     2.750     0.270    0.644E+00    0.312E+00    0.477E+00    0.309E-01    0.391E-01    0.149E-01    0.149E-01    0.155E-02    0.155E-02    0.000E+00    0.000E+00
     2.750     0.280    0.639E+00    0.303E+00    0.438E+00    0.292E-01    0.361E-01    0.139E-01    0.139E-01    0.138E-02    0.138E-02    0.000E+00    0.000E+00
     2.750     0.290    0.632E+00    0.295E+00    0.402E+00    0.276E-01    0.333E-01    0.129E-01    0.129E-01    0.123E-02    0.123E-02    0.000E+00    0.000E+00
     2.750     0.300    0.625E+00    0.286E+00    0.368E+00    0.260E-01    0.307E-01    0.120E-01    0.120E-01    0.109E-02    0.109E-02    0.000E+00    0.000E+00
     2.750     0.310    0.617E+00    0.277E+00    0.336E+00    0.245E-01    0.283E-01    0.111E-01    0.111E-01    0.970E-03    0.970E-03    0.000E+00    0.000E+00
     2.750     0.320    0.608E+00    0.268E+00    0.306E+00    0.230E-01    0.260E-01    0.103E-01    0.103E-01    0.858E-03    0.858E-03    0.000E+00    0.000E+00
     2.750     0.330    0.598E+00    0.259E+00    0.279E+00    0.216E-01    0.240E-01    0.956E-02    0.956E-02    0.758E-03    0.758E-03    0.000E+00    0.000E+00
     2.750     0.340    0.587E+00    0.250E+00    0.253E+00    0.202E-01    0.221E-01    0.885E-02    0.885E-02    0.667E-03    0.667E-03    0.000E+00    0.000E+00
     2.750     0.350    0.576E+00    0.241E+00    0.229E+00    0.188E-01    0.204E-01    0.819E-02    0.819E-02    0.587E-03    0.587E-03    0.000E+00    0.000E+00
     2.750     0.360    0.564E+00    0.232E+00    0.207E+00    0.176E-01    0.187E-01    0.757E-02    0.757E-02    0.514E-03    0.514E-03    0.000E+00    0.000E+00
     2.750     0.370    0.552E+00    0.223E+00    0.186E+00    0.164E-01    0.172E-01    0.699E-02    0.699E-02    0.450E-03    0.450E-03    0.000E+00    0.000E+00
     2.750     0.380    0.539E+00    0.213E+00    0.168E+00    0.152E-01    0.159E-01    0.645E-02    0.645E-02    0.393E-03    0.393E-03    0.000E+00    0.000E+00
     2.750     0.390    0.526E+00    0.204E+00    0.150E+00    0.141E-01    0.146E-01    0.594E-02    0.594E-02    0.342E-03    0.342E-03    0.000E+00    0.000E+00
     2.750     0.400    0.512E+00    0.195E+00    0.134E+00    0.130E-01    0.134E-01    0.547E-02    0.547E-02    0.297E-03    0.297E-03    0.000E+00    0.000E+00
     2.750     0.410    0.498E+00    0.186E+00    0.120E+00    0.120E-01    0.123E-01    0.502E-02    0.502E-02    0.258E-03    0.258E-03    0.000E+00    0.000E+00
     2.750     0.420    0.484E+00    0.176E+00    0.107E+00    0.111E-01    0.113E-01    0.461E-02    0.461E-02    0.223E-03    0.223E-03    0.000E+00    0.000E+00
     2.750     0.430    0.469E+00    0.167E+00    0.950E-01    0.102E-01    0.104E-01    0.423E-02    0.423E-02    0.192E-03    0.192E-03    0.000E+00    0.000E+00
     2.750     0.440    0.454E+00    0.159E+00    0.842E-01    0.937E-02    0.948E-02    0.387E-02    0.387E-02    0.165E-03    0.165E-03    0.000E+00    0.000E+00
     2.750     0.450    0.439E+00    0.150E+00    0.744E-01    0.859E-02    0.867E-02    0.354E-02    0.354E-02    0.141E-03    0.141E-03    0.000E+00    0.000E+00
     2.750     0.460    0.424E+00    0.141E+00    0.656E-01    0.786E-02    0.791E-02    0.323E-02    0.323E-02    0.121E-03    0.121E-03    0.000E+00    0.000E+00
     2.750     0.470    0.409E+00    0.133E+00    0.576E-01    0.718E-02    0.721E-02    0.294E-02    0.294E-02    0.103E-03    0.103E-03    0.000E+00    0.000E+00
     2.750     0.480    0.393E+00    0.125E+00    0.505E-01    0.654E-02    0.656E-02    0.267E-02    0.267E-02    0.876E-04    0.876E-04    0.000E+00    0.000E+00
