     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.750     0.010    0.378E+00    0.330E+00    0.286E+01    0.225E+00    0.245E+00    0.117E+00    0.117E+00    0.383E-01    0.383E-01    0.000E+00    0.000E+00
     2.750     0.020    0.425E+00    0.363E+00    0.289E+01    0.195E+00    0.216E+00    0.998E-01    0.998E-01    0.294E-01    0.294E-01    0.000E+00    0.000E+00
     2.750     0.030    0.469E+00    0.390E+00    0.278E+01    0.178E+00    0.197E+00    0.891E-01    0.891E-01    0.235E-01    0.235E-01    0.000E+00    0.000E+00
     2.750     0.040    0.508E+00    0.410E+00    0.261E+01    0.166E+00    0.184E+00    0.816E-01    0.816E-01    0.193E-01    0.193E-01    0.000E+00    0.000E+00
     2.750     0.050    0.541E+00    0.424E+00    0.242E+01    0.155E+00    0.174E+00    0.753E-01    0.753E-01    0.159E-01    0.159E-01    0.000E+00    0.000E+00
     2.750     0.060    0.569E+00    0.434E+00    0.222E+01    0.144E+00    0.165E+00    0.698E-01    0.698E-01    0.134E-01    0.134E-01    0.000E+00    0.000E+00
     2.750     0.070    0.593E+00    0.441E+00    0.203E+01    0.133E+00    0.158E+00    0.649E-01    0.649E-01    0.113E-01    0.113E-01    0.000E+00    0.000E+00
     2.750     0.080    0.614E+00    0.444E+00    0.185E+01    0.122E+00    0.152E+00    0.605E-01    0.605E-01    0.953E-02    0.953E-02    0.000E+00    0.000E+00
     2.750     0.090    0.632E+00    0.446E+00    0.168E+01    0.112E+00    0.146E+00    0.563E-01    0.563E-01    0.813E-02    0.813E-02    0.000E+00    0.000E+00
     2.750     0.100    0.647E+00    0.445E+00    0.152E+01    0.102E+00    0.139E+00    0.525E-01    0.525E-01    0.697E-02    0.697E-02    0.000E+00    0.000E+00
     2.750     0.110    0.661E+00    0.443E+00    0.137E+01    0.937E-01    0.133E+00    0.489E-01    0.489E-01    0.600E-02    0.600E-02    0.000E+00    0.000E+00
     2.750     0.120    0.672E+00    0.439E+00    0.124E+01    0.859E-01    0.126E+00    0.455E-01    0.455E-01    0.519E-02    0.519E-02    0.000E+00    0.000E+00
     2.750     0.130    0.682E+00    0.435E+00    0.113E+01    0.789E-01    0.119E+00    0.423E-01    0.423E-01    0.452E-02    0.452E-02    0.000E+00    0.000E+00
     2.750     0.140    0.691E+00    0.429E+00    0.102E+01    0.726E-01    0.112E+00    0.393E-01    0.393E-01    0.395E-02    0.395E-02    0.000E+00    0.000E+00
     2.750     0.150    0.698E+00    0.423E+00    0.924E+00    0.671E-01    0.105E+00    0.365E-01    0.365E-01    0.346E-02    0.346E-02    0.000E+00    0.000E+00
     2.750     0.160    0.703E+00    0.417E+00    0.839E+00    0.620E-01    0.978E-01    0.338E-01    0.338E-01    0.305E-02    0.305E-02    0.000E+00    0.000E+00
     2.750     0.170    0.707E+00    0.410E+00    0.763E+00    0.575E-01    0.908E-01    0.313E-01    0.313E-01    0.270E-02    0.270E-02    0.000E+00    0.000E+00
     2.750     0.180    0.709E+00    0.402E+00    0.695E+00    0.535E-01    0.839E-01    0.289E-01    0.289E-01    0.240E-02    0.240E-02    0.000E+00    0.000E+00
     2.750     0.190    0.710E+00    0.394E+00    0.635E+00    0.497E-01    0.772E-01    0.267E-01    0.267E-01    0.214E-02    0.214E-02    0.000E+00    0.000E+00
     2.750     0.200    0.710E+00    0.386E+00    0.581E+00    0.463E-01    0.707E-01    0.246E-01    0.246E-01    0.192E-02    0.192E-02    0.000E+00    0.000E+00
     2.750     0.210    0.708E+00    0.378E+00    0.533E+00    0.431E-01    0.646E-01    0.226E-01    0.226E-01    0.172E-02    0.172E-02    0.000E+00    0.000E+00
     2.750     0.220    0.705E+00    0.370E+00    0.490E+00    0.402E-01    0.588E-01    0.207E-01    0.207E-01    0.155E-02    0.155E-02    0.000E+00    0.000E+00
