     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.750     0.010    0.378E+00    0.331E+00    0.287E+01    0.226E+00    0.246E+00    0.117E+00    0.117E+00    0.383E-01    0.383E-01    0.000E+00    0.000E+00
     2.750     0.020    0.425E+00    0.363E+00    0.289E+01    0.195E+00    0.217E+00    0.100E+00    0.100E+00    0.294E-01    0.294E-01    0.000E+00    0.000E+00
     2.750     0.030    0.469E+00    0.390E+00    0.279E+01    0.178E+00    0.198E+00    0.894E-01    0.894E-01    0.235E-01    0.235E-01    0.000E+00    0.000E+00
     2.750     0.040    0.508E+00    0.410E+00    0.261E+01    0.166E+00    0.185E+00    0.819E-01    0.819E-01    0.193E-01    0.193E-01    0.000E+00    0.000E+00
     2.750     0.050    0.541E+00    0.425E+00    0.242E+01    0.155E+00    0.175E+00    0.755E-01    0.755E-01    0.159E-01    0.159E-01    0.000E+00    0.000E+00
     2.750     0.060    0.569E+00    0.435E+00    0.222E+01    0.143E+00    0.167E+00    0.700E-01    0.700E-01    0.133E-01    0.133E-01    0.000E+00    0.000E+00
     2.750     0.070    0.593E+00    0.442E+00    0.203E+01    0.132E+00    0.160E+00    0.651E-01    0.651E-01    0.112E-01    0.112E-01    0.000E+00    0.000E+00
     2.750     0.080    0.614E+00    0.446E+00    0.184E+01    0.121E+00    0.154E+00    0.607E-01    0.607E-01    0.950E-02    0.950E-02    0.000E+00    0.000E+00
     2.750     0.090    0.632E+00    0.448E+00    0.167E+01    0.111E+00    0.147E+00    0.565E-01    0.565E-01    0.809E-02    0.809E-02    0.000E+00    0.000E+00
     2.750     0.100    0.647E+00    0.447E+00    0.151E+01    0.101E+00    0.141E+00    0.527E-01    0.527E-01    0.693E-02    0.693E-02    0.000E+00    0.000E+00
     2.750     0.110    0.661E+00    0.445E+00    0.137E+01    0.928E-01    0.135E+00    0.491E-01    0.491E-01    0.596E-02    0.596E-02    0.000E+00    0.000E+00
     2.750     0.120    0.672E+00    0.442E+00    0.124E+01    0.850E-01    0.128E+00    0.457E-01    0.457E-01    0.516E-02    0.516E-02    0.000E+00    0.000E+00
     2.750     0.130    0.683E+00    0.437E+00    0.112E+01    0.780E-01    0.121E+00    0.425E-01    0.425E-01    0.448E-02    0.448E-02    0.000E+00    0.000E+00
     2.750     0.140    0.691E+00    0.432E+00    0.101E+01    0.719E-01    0.114E+00    0.395E-01    0.395E-01    0.391E-02    0.391E-02    0.000E+00    0.000E+00
     2.750     0.150    0.698E+00    0.426E+00    0.919E+00    0.663E-01    0.106E+00    0.366E-01    0.366E-01    0.344E-02    0.344E-02    0.000E+00    0.000E+00
     2.750     0.160    0.704E+00    0.419E+00    0.834E+00    0.614E-01    0.992E-01    0.339E-01    0.339E-01    0.303E-02    0.303E-02    0.000E+00    0.000E+00
     2.750     0.170    0.708E+00    0.412E+00    0.758E+00    0.570E-01    0.920E-01    0.314E-01    0.314E-01    0.268E-02    0.268E-02    0.000E+00    0.000E+00
     2.750     0.180    0.710E+00    0.404E+00    0.690E+00    0.530E-01    0.850E-01    0.290E-01    0.290E-01    0.238E-02    0.238E-02    0.000E+00    0.000E+00
     2.750     0.190    0.711E+00    0.397E+00    0.630E+00    0.493E-01    0.782E-01    0.268E-01    0.268E-01    0.212E-02    0.212E-02    0.000E+00    0.000E+00
     2.750     0.200    0.711E+00    0.388E+00    0.576E+00    0.460E-01    0.716E-01    0.247E-01    0.247E-01    0.190E-02    0.190E-02    0.000E+00    0.000E+00
     2.750     0.210    0.709E+00    0.380E+00    0.528E+00    0.428E-01    0.654E-01    0.227E-01    0.227E-01    0.170E-02    0.170E-02    0.000E+00    0.000E+00
     2.750     0.220    0.707E+00    0.371E+00    0.486E+00    0.399E-01    0.595E-01    0.208E-01    0.208E-01    0.153E-02    0.153E-02    0.000E+00    0.000E+00
     2.750     0.230    0.702E+00    0.363E+00    0.447E+00    0.372E-01    0.540E-01    0.191E-01    0.191E-01    0.138E-02    0.138E-02    0.000E+00    0.000E+00
     2.750     0.240    0.697E+00    0.354E+00    0.413E+00    0.346E-01    0.489E-01    0.174E-01    0.174E-01    0.124E-02    0.124E-02    0.000E+00    0.000E+00
     2.750     0.250    0.690E+00    0.344E+00    0.383E+00    0.322E-01    0.441E-01    0.159E-01    0.159E-01    0.112E-02    0.112E-02    0.000E+00    0.000E+00
     2.750     0.260    0.682E+00    0.335E+00    0.355E+00    0.298E-01    0.397E-01    0.145E-01    0.145E-01    0.102E-02    0.102E-02    0.000E+00    0.000E+00
     2.750     0.270    0.674E+00    0.325E+00    0.331E+00    0.276E-01    0.356E-01    0.132E-01    0.132E-01    0.919E-03    0.919E-03    0.000E+00    0.000E+00
     2.750     0.280    0.664E+00    0.316E+00    0.308E+00    0.255E-01    0.320E-01    0.120E-01    0.120E-01    0.832E-03    0.832E-03    0.000E+00    0.000E+00
