     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.750     0.010    0.397E+00    0.364E+00    0.286E+01    0.246E+00    0.268E+00    0.116E+00    0.116E+00    0.228E-01    0.228E-01    0.000E+00    0.000E+00
     2.750     0.020    0.413E+00    0.375E+00    0.244E+01    0.207E+00    0.226E+00    0.980E-01    0.980E-01    0.190E-01    0.190E-01    0.000E+00    0.000E+00
     2.750     0.030    0.434E+00    0.385E+00    0.220E+01    0.184E+00    0.199E+00    0.865E-01    0.865E-01    0.165E-01    0.165E-01    0.000E+00    0.000E+00
     2.750     0.040    0.457E+00    0.392E+00    0.204E+01    0.168E+00    0.180E+00    0.784E-01    0.784E-01    0.147E-01    0.147E-01    0.000E+00    0.000E+00
     2.750     0.050    0.479E+00    0.397E+00    0.190E+01    0.153E+00    0.165E+00    0.715E-01    0.715E-01    0.132E-01    0.132E-01    0.000E+00    0.000E+00
     2.750     0.060    0.498E+00    0.401E+00    0.179E+01    0.140E+00    0.153E+00    0.659E-01    0.659E-01    0.119E-01    0.119E-01    0.000E+00    0.000E+00
     2.750     0.070    0.517E+00    0.404E+00    0.169E+01    0.128E+00    0.144E+00    0.609E-01    0.609E-01    0.108E-01    0.108E-01    0.000E+00    0.000E+00
     2.750     0.080    0.534E+00    0.405E+00    0.159E+01    0.117E+00    0.136E+00    0.564E-01    0.564E-01    0.984E-02    0.984E-02    0.000E+00    0.000E+00
     2.750     0.090    0.549E+00    0.406E+00    0.150E+01    0.107E+00    0.129E+00    0.524E-01    0.524E-01    0.897E-02    0.897E-02    0.000E+00    0.000E+00
     2.750     0.100    0.564E+00    0.406E+00    0.142E+01    0.974E-01    0.122E+00    0.488E-01    0.488E-01    0.818E-02    0.818E-02    0.000E+00    0.000E+00
     2.750     0.110    0.577E+00    0.405E+00    0.134E+01    0.891E-01    0.116E+00    0.455E-01    0.455E-01    0.747E-02    0.747E-02    0.000E+00    0.000E+00
     2.750     0.120    0.590E+00    0.403E+00    0.127E+01    0.817E-01    0.110E+00    0.424E-01    0.424E-01    0.682E-02    0.682E-02    0.000E+00    0.000E+00
     2.750     0.130    0.601E+00    0.400E+00    0.120E+01    0.751E-01    0.104E+00    0.396E-01    0.396E-01    0.622E-02    0.622E-02    0.000E+00    0.000E+00
     2.750     0.140    0.612E+00    0.396E+00    0.113E+01    0.693E-01    0.984E-01    0.369E-01    0.369E-01    0.568E-02    0.568E-02    0.000E+00    0.000E+00
     2.750     0.150    0.621E+00    0.392E+00    0.106E+01    0.641E-01    0.928E-01    0.345E-01    0.345E-01    0.518E-02    0.518E-02    0.000E+00    0.000E+00
     2.750     0.160    0.630E+00    0.387E+00    0.100E+01    0.596E-01    0.874E-01    0.322E-01    0.322E-01    0.473E-02    0.473E-02    0.000E+00    0.000E+00
     2.750     0.170    0.637E+00    0.382E+00    0.941E+00    0.555E-01    0.821E-01    0.301E-01    0.301E-01    0.431E-02    0.431E-02    0.000E+00    0.000E+00
     2.750     0.180    0.643E+00    0.377E+00    0.884E+00    0.519E-01    0.769E-01    0.281E-01    0.281E-01    0.393E-02    0.393E-02    0.000E+00    0.000E+00
     2.750     0.190    0.647E+00    0.370E+00    0.829E+00    0.487E-01    0.719E-01    0.263E-01    0.263E-01    0.357E-02    0.357E-02    0.000E+00    0.000E+00
     2.750     0.200    0.651E+00    0.364E+00    0.776E+00    0.458E-01    0.672E-01    0.245E-01    0.245E-01    0.325E-02    0.325E-02    0.000E+00    0.000E+00
     2.750     0.210    0.653E+00    0.357E+00    0.726E+00    0.431E-01    0.626E-01    0.229E-01    0.229E-01    0.295E-02    0.295E-02    0.000E+00    0.000E+00
     2.750     0.220    0.655E+00    0.350E+00    0.679E+00    0.407E-01    0.582E-01    0.214E-01    0.214E-01    0.268E-02    0.268E-02    0.000E+00    0.000E+00
     2.750     0.230    0.655E+00    0.343E+00    0.633E+00    0.384E-01    0.540E-01    0.200E-01    0.200E-01    0.243E-02    0.243E-02    0.000E+00    0.000E+00
     2.750     0.240    0.654E+00    0.335E+00    0.590E+00    0.363E-01    0.501E-01    0.186E-01    0.186E-01    0.220E-02    0.220E-02    0.000E+00    0.000E+00
     2.750     0.250    0.651E+00    0.327E+00    0.549E+00    0.344E-01    0.464E-01    0.173E-01    0.173E-01    0.199E-02    0.199E-02    0.000E+00    0.000E+00
     2.750     0.260    0.648E+00    0.319E+00    0.510E+00    0.325E-01    0.429E-01    0.162E-01    0.162E-01    0.180E-02    0.180E-02    0.000E+00    0.000E+00
     2.750     0.270    0.644E+00    0.311E+00    0.473E+00    0.307E-01    0.396E-01    0.150E-01    0.150E-01    0.162E-02    0.162E-02    0.000E+00    0.000E+00
     2.750     0.280    0.638E+00    0.303E+00    0.438E+00    0.290E-01    0.366E-01    0.140E-01    0.140E-01    0.146E-02    0.146E-02    0.000E+00    0.000E+00
     2.750     0.290    0.632E+00    0.294E+00    0.405E+00    0.274E-01    0.337E-01    0.130E-01    0.130E-01    0.132E-02    0.132E-02    0.000E+00    0.000E+00
     2.750     0.300    0.625E+00    0.285E+00    0.374E+00    0.258E-01    0.311E-01    0.121E-01    0.121E-01    0.118E-02    0.118E-02    0.000E+00    0.000E+00
     2.750     0.310    0.616E+00    0.277E+00    0.345E+00    0.243E-01    0.287E-01    0.112E-01    0.112E-01    0.106E-02    0.106E-02    0.000E+00    0.000E+00
     2.750     0.320    0.607E+00    0.268E+00    0.317E+00    0.229E-01    0.264E-01    0.104E-01    0.104E-01    0.950E-03    0.950E-03    0.000E+00    0.000E+00
