   W [GeV]      <F1>       DF1      <F2>       DF2      <FL>       DFL      <g1>       Dg1      <g2>       Dg2    <H1/2>     DH1/2    <H3/2>     DH3/2      <A1>       DA1      <A2>       DA2<sigT> [muDsigT [mub<sigL> [muDsigL [mub<dXS> [nb]  dXS [nb]
      1.28    0.0097    0.0008    0.0108    0.0009    0.0017    0.0005   -0.0017    0.0006    0.0009    0.0006    0.0074    0.0000    0.0120    0.0014   -0.2370    0.0824   -0.0647    0.0515    2.8613    0.2346    0.3025    0.0921    0.0885    0.0072
      1.29    0.0093    0.0008    0.0105    0.0009    0.0018    0.0007   -0.0011    0.0006    0.0005    0.0007    0.0079    0.0012    0.0107    0.0017   -0.1527    0.0900   -0.0462    0.0645    2.6682    0.2321    0.3024    0.1075    0.0858    0.0075
      1.30    0.0091    0.0009    0.0104    0.0010    0.0018    0.0007   -0.0005    0.0006    0.0002    0.0007    0.0086    0.0015    0.0097    0.0005   -0.0643    0.0961   -0.0274    0.0790    2.5334    0.2391    0.3047    0.1212    0.0846    0.0082
      1.31    0.0091    0.0009    0.0104    0.0011    0.0019    0.0008    0.0002    0.0007   -0.0003    0.0008    0.0095    0.0005    0.0088    0.0005    0.0326    0.1010   -0.0058    0.0919    2.4538    0.2531    0.3158    0.1409    0.0852    0.0092
      1.32    0.0093    0.0011    0.0106    0.0013    0.0021    0.0010    0.0008    0.0008   -0.0007    0.0010    0.0105    0.0014    0.0080    0.0002    0.1287    0.1025    0.0140    0.1084    2.4138    0.2754    0.3296    0.1588    0.0869    0.0105
      1.33    0.0095    0.0012    0.0110    0.0014    0.0023    0.0012    0.0015    0.0010   -0.0011    0.0011    0.0117    0.0014    0.0074    0.0002    0.2196    0.1015    0.0350    0.1209    2.4102    0.2990    0.3506    0.1790    0.0901    0.0117
      1.34    0.0099    0.0013    0.0114    0.0017    0.0024    0.0013    0.0021    0.0011   -0.0015    0.0012    0.0129    0.0052    0.0068    0.0013    0.2987    0.1007    0.0493    0.1318    2.4154    0.3245    0.3657    0.1940    0.0934    0.0134
      1.35    0.0103    0.0014    0.0120    0.0018    0.0026    0.0014    0.0028    0.0012   -0.0019    0.0014    0.0142    0.0036    0.0063    0.0004    0.3738    0.0960    0.0633    0.1431    2.4502    0.3416    0.3924    0.2158    0.0981    0.0146
      1.36    0.0108    0.0016    0.0126    0.0020    0.0028    0.0015    0.0034    0.0013   -0.0024    0.0015    0.0156    0.0049    0.0059    0.0011    0.4387    0.0913    0.0731    0.1459    2.4956    0.3682    0.4098    0.2270    0.1030    0.0160
      1.37    0.0113    0.0017    0.0132    0.0022    0.0031    0.0017    0.0040    0.0015   -0.0028    0.0016    0.0169    0.0010    0.0056    0.0002    0.4911    0.0876    0.0797    0.1504    2.5368    0.3910    0.4336    0.2410    0.1081    0.0175
      1.38    0.0119    0.0018    0.0140    0.0022    0.0032    0.0017    0.0046    0.0015   -0.0034    0.0018    0.0185    0.0013    0.0053    0.0010    0.5431    0.0804    0.0797    0.1507    2.6133    0.3942    0.4499    0.2450    0.1144    0.0178
      1.39    0.0126    0.0019    0.0148    0.0023    0.0034    0.0018    0.0052    0.0016   -0.0039    0.0019    0.0201    0.0092    0.0051    0.0003    0.5866    0.0737    0.0765    0.1487    2.6871    0.3994    0.4664    0.2520    0.1208    0.0187
      1.40    0.0134    0.0020    0.0157    0.0024    0.0036    0.0019    0.0059    0.0017   -0.0046    0.0020    0.0219    0.0010    0.0050    0.0009    0.6248    0.0709    0.0709    0.1457    2.7935    0.4251    0.4856    0.2539    0.1287    0.0198
      1.41    0.0144    0.0021    0.0168    0.0025    0.0039    0.0020    0.0066    0.0018   -0.0053    0.0021    0.0240    0.0044    0.0049    0.0010    0.6575    0.0671    0.0650    0.1443    2.9168    0.4338    0.5082    0.2588    0.1377    0.0207
      1.42    0.0157    0.0024    0.0182    0.0027    0.0041    0.0020    0.0074    0.0019   -0.0063    0.0023    0.0266    0.0032    0.0048    0.0000    0.6894    0.0654    0.0503    0.1378    3.0992    0.4687    0.5280    0.2640    0.1493    0.0224
      1.43    0.0173    0.0026    0.0201    0.0030    0.0045    0.0022    0.0085    0.0021   -0.0075    0.0026    0.0299    0.0032    0.0048    0.0025    0.7198    0.0653    0.0407    0.1342    3.3387    0.5057    0.5644    0.2747    0.1644    0.0246
      1.44    0.0194    0.0030    0.0224    0.0034    0.0048    0.0023    0.0097    0.0023   -0.0090    0.0029    0.0340    0.0080    0.0048    0.0007    0.7477    0.0650    0.0266    0.1328    3.6513    0.5644    0.5987    0.2838    0.1831    0.0275
      1.45    0.0222    0.0035    0.0254    0.0039    0.0053    0.0025    0.0114    0.0027   -0.0110    0.0035    0.0395    0.0079    0.0050    0.0008    0.7739    0.0664    0.0124    0.1327    4.0793    0.6424    0.6399    0.3027    0.2079    0.0316
      1.46    0.0259    0.0042    0.0294    0.0045    0.0059    0.0028    0.0135    0.0032   -0.0136    0.0041    0.0466    0.0062    0.0053    0.0015    0.7956    0.0677   -0.0019    0.1312    4.6464    0.7530    0.6985    0.3303    0.2406    0.0371
      1.47    0.0307    0.0053    0.0347    0.0057    0.0067    0.0032    0.0163    0.0039   -0.0171    0.0052    0.0559    0.0093    0.0055    0.0013    0.8192    0.0678   -0.0174    0.1345    5.3836    0.9234    0.7840    0.3771    0.2835    0.0462
      1.48    0.0368    0.0065    0.0412    0.0069    0.0076    0.0037    0.0198    0.0048   -0.0216    0.0065    0.0677    0.0162    0.0059    0.0018    0.8393    0.0661   -0.0338    0.1387    6.3023    1.1106    0.8775    0.4225    0.3370    0.0561
      1.49    0.0447    0.0082    0.0497    0.0087    0.0088    0.0044    0.0244    0.0060   -0.0276    0.0083    0.0831    0.0143    0.0063    0.0031    0.8573    0.0663   -0.0501    0.1434    7.4890    1.3678    0.9956    0.4986    0.4064    0.0710
      1.50    0.0505    0.0094    0.0560    0.0100    0.0098    0.0049    0.0278    0.0069   -0.0319    0.0096    0.0943    0.0133    0.0067    0.0014    0.8660    0.0652   -0.0579    0.1469    8.2754    1.5406    1.0909    0.5503    0.4575    0.0814
      1.51    0.0545    0.0103    0.0602    0.0106    0.0104    0.0052    0.0303    0.0075   -0.0349    0.0105    0.1021    0.0070    0.0070    0.0113    0.8718    0.0647   -0.0594    0.1453    8.7402    1.6549    1.1370    0.5716    0.4918    0.0868
      1.52    0.0564    0.0107    0.0624    0.0112    0.0110    0.0054    0.0315    0.0079   -0.0365    0.0109    0.1058    0.0158    0.0070    0.0111    0.8752    0.0629   -0.0627    0.1483    8.8514    1.6718    1.1926    0.5863    0.5095    0.0913
      1.53    0.0559    0.0105    0.0621    0.0111    0.0113    0.0054    0.0313    0.0078   -0.0366    0.0110    0.1049    0.0073    0.0070    0.0001    0.8747    0.0626   -0.0666    0.1482    8.5932    1.6158    1.2019    0.5728    0.5059    0.0903
