   W [GeV]        F1        F2        FL        g1        g2      H1/2      H3/2        A1        A2sigT [mub]sigL [mub]  dXS [nb]
      1.48    0.0052    0.0075    0.0009    0.0038   -0.0040    0.0103    0.0001    0.9831   -0.0132    0.8893    0.0891    0.0056
      1.49    0.0064    0.0091    0.0010    0.0047   -0.0049    0.0126    0.0001    0.9855   -0.0182    1.0650    0.0974    0.0068
      1.50    0.0073    0.0104    0.0011    0.0054   -0.0057    0.0145    0.0001    0.9868   -0.0202    1.1957    0.1060    0.0078
      1.51    0.0079    0.0113    0.0012    0.0059   -0.0062    0.0158    0.0001    0.9873   -0.0213    1.2710    0.1151    0.0085
      1.52    0.0082    0.0117    0.0014    0.0061   -0.0064    0.0162    0.0001    0.9873   -0.0222    1.2814    0.1248    0.0088
      1.53    0.0080    0.0116    0.0015    0.0060   -0.0063    0.0159    0.0001    0.9867   -0.0231    1.2327    0.1352    0.0087
      1.54    0.0076    0.0111    0.0016    0.0057   -0.0060    0.0151    0.0001    0.9857   -0.0239    1.1440    0.1462    0.0084
      1.55    0.0070    0.0105    0.0018    0.0052   -0.0056    0.0140    0.0001    0.9841   -0.0246    1.0374    0.1582    0.0079
      1.56    0.0064    0.0099    0.0020    0.0048   -0.0051    0.0128    0.0001    0.9820   -0.0251    0.9299    0.1711    0.0074
      1.57    0.0059    0.0093    0.0022    0.0044   -0.0046    0.0116    0.0001    0.9794   -0.0253    0.8311    0.1849    0.0069
      1.58    0.0054    0.0088    0.0024    0.0040   -0.0042    0.0106    0.0001    0.9761   -0.0252    0.7453    0.1995    0.0065
      1.59    0.0049    0.0084    0.0026    0.0037   -0.0039    0.0098    0.0001    0.9722   -0.0247    0.6735    0.2148    0.0062
      1.60    0.0046    0.0081    0.0029    0.0034   -0.0036    0.0091    0.0001    0.9676   -0.0236    0.6153    0.2302    0.0059
      1.61    0.0043    0.0080    0.0031    0.0032   -0.0034    0.0085    0.0002    0.9623   -0.0219    0.5696    0.2454    0.0058
      1.62    0.0042    0.0079    0.0033    0.0031   -0.0032    0.0081    0.0002    0.9565   -0.0191    0.5355    0.2598    0.0057
      1.63    0.0041    0.0080    0.0036    0.0030   -0.0031    0.0079    0.0002    0.9504   -0.0154    0.5124    0.2730    0.0057
