x	Quantity	Uncertainty
0.39	0.228284117096801	0.00928865334622198
0.4	0.222215892349594	0.00904181175853926
0.41	0.215980628565498	0.00878816788247314
0.42	0.209604132410798	0.00852861076052048
0.43	0.203116706713317	0.00826431050664248
0.44	0.196543023845776	0.00799704324237876
0.45	0.189908007104533	0.00772705091219796
0.46	0.183236128744365	0.00745584359345232
0.47	0.176546273698969	0.00718366837324123
0.48	0.169864061652208	0.0069117433991013
0.49	0.163207395809942	0.00664055253104024
0.5	0.15659707539537	0.00637148958151924
0.51	0.150053450143447	0.00610574585442859
0.52	0.143594638074251	0.00584258208096303
0.53	0.137241251549615	0.00558382229665566
0.54	0.131013787013288	0.00533093368029492
0.55	0.124933335402127	0.00508318881091969
0.56	0.119022766047306	0.00484312141064269
0.57	0.112966191651785	0.00347704191083057
0.58	0.107160587779257	0.00294218891272357
0.59	0.101871204573305	0.00336929568641489
0.6	0.0966549759986708	0.00358725162156012
0.61	0.0918859494428427	0.00323222785159697
0.62	0.0873395439776173	0.00283040661563509
0.63	0.0835562177128926	0.003274373750949
0.64	0.0797494530816386	0.00335836381077192
0.65	0.0751975828922798	0.00317030842713986
0.66	0.0709140749166694	0.00360552436563741
0.67	0.0662739944464278	0.00333612571345689
0.68	0.062085229373108	0.00339839798777625
0.69	0.0590109595097287	0.00343160877991164
0.7	0.0575243296115194	0.00345449698089869
0.71	0.0578319300702263	0.00365485283582383
0.72	0.0574729307731601	0.00365645394131754
0.73	0.0513366312533811	0.00355987034352518
0.74	0.0431472830813374	0.00332658359673145
0.75	0.0380980074919332	0.0032541827961127
0.76	0.0355344632640482	0.00336257167124798
0.77	0.0360625714444717	0.00335392329799366
0.78	0.0394868598851605	0.00382878873240359
0.79	0.0413677942500074	0.00419017788381502
0.8	0.0336798066922852	0.00369312834273409
0.81	0.0260817656096701	0.0030786651234026
0.82	0.0216924351711174	0.00298069923918356
0.83	0.0195206920900259	0.00276424400959617
0.84	0.0175822592178558	0.00251272180597513
0.85	0.0158158863934179	0.00268764167920315
0.86	0.0144122146369124	0.0026237352911045
0.87	0.0134755106884521	0.00259495618791529
0.88	0.0131520405831892	0.00271502549215637
0.89	0.013622380617139	0.00299963649794687
0.9	0.0123276338877756	0.00194154046965286
0.91	0.00837389309335289	0.00108213515351012
0.92	0.00462008558423141	0.000590061148571468
0.93	0.00202512211567784	0.000473722197509507
0.94	0.00056713400811166	0.000123112543859432
