     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.000     0.010    0.348E+00    0.303E+00    0.222E+01    0.203E+00    0.222E+00    0.933E-01    0.933E-01    0.137E-01    0.137E-01    0.000E+00    0.000E+00
     2.000     0.020    0.400E+00    0.342E+00    0.248E+01    0.179E+00    0.200E+00    0.821E-01    0.821E-01    0.107E-01    0.107E-01    0.000E+00    0.000E+00
     2.000     0.030    0.447E+00    0.374E+00    0.252E+01    0.166E+00    0.186E+00    0.755E-01    0.755E-01    0.860E-02    0.860E-02    0.000E+00    0.000E+00
     2.000     0.040    0.490E+00    0.398E+00    0.244E+01    0.157E+00    0.176E+00    0.709E-01    0.709E-01    0.711E-02    0.711E-02    0.000E+00    0.000E+00
     2.000     0.050    0.526E+00    0.416E+00    0.231E+01    0.148E+00    0.168E+00    0.668E-01    0.668E-01    0.591E-02    0.591E-02    0.000E+00    0.000E+00
     2.000     0.060    0.557E+00    0.430E+00    0.216E+01    0.139E+00    0.162E+00    0.631E-01    0.631E-01    0.497E-02    0.497E-02    0.000E+00    0.000E+00
     2.000     0.070    0.583E+00    0.439E+00    0.200E+01    0.129E+00    0.157E+00    0.597E-01    0.597E-01    0.421E-02    0.421E-02    0.000E+00    0.000E+00
     2.000     0.080    0.606E+00    0.445E+00    0.184E+01    0.119E+00    0.152E+00    0.564E-01    0.564E-01    0.358E-02    0.358E-02    0.000E+00    0.000E+00
     2.000     0.090    0.626E+00    0.449E+00    0.169E+01    0.110E+00    0.147E+00    0.532E-01    0.532E-01    0.306E-02    0.306E-02    0.000E+00    0.000E+00
     2.000     0.100    0.643E+00    0.450E+00    0.154E+01    0.101E+00    0.142E+00    0.501E-01    0.501E-01    0.263E-02    0.263E-02    0.000E+00    0.000E+00
     2.000     0.110    0.659E+00    0.449E+00    0.141E+01    0.927E-01    0.136E+00    0.472E-01    0.472E-01    0.227E-02    0.227E-02    0.000E+00    0.000E+00
     2.000     0.120    0.673E+00    0.447E+00    0.128E+01    0.852E-01    0.130E+00    0.443E-01    0.443E-01    0.197E-02    0.197E-02    0.000E+00    0.000E+00
     2.000     0.130    0.685E+00    0.444E+00    0.116E+01    0.785E-01    0.124E+00    0.415E-01    0.415E-01    0.172E-02    0.172E-02    0.000E+00    0.000E+00
     2.000     0.140    0.695E+00    0.439E+00    0.106E+01    0.726E-01    0.117E+00    0.388E-01    0.388E-01    0.150E-02    0.150E-02    0.000E+00    0.000E+00
     2.000     0.150    0.704E+00    0.434E+00    0.964E+00    0.672E-01    0.110E+00    0.363E-01    0.363E-01    0.132E-02    0.132E-02    0.000E+00    0.000E+00
     2.000     0.160    0.711E+00    0.428E+00    0.879E+00    0.624E-01    0.103E+00    0.338E-01    0.338E-01    0.117E-02    0.117E-02    0.000E+00    0.000E+00
     2.000     0.170    0.717E+00    0.422E+00    0.801E+00    0.581E-01    0.959E-01    0.314E-01    0.314E-01    0.104E-02    0.104E-02    0.000E+00    0.000E+00
     2.000     0.180    0.721E+00    0.415E+00    0.732E+00    0.542E-01    0.889E-01    0.292E-01    0.292E-01    0.921E-03    0.921E-03    0.000E+00    0.000E+00
     2.000     0.190    0.724E+00    0.407E+00    0.670E+00    0.506E-01    0.821E-01    0.270E-01    0.270E-01    0.823E-03    0.823E-03    0.000E+00    0.000E+00
