# x  u(x)  d(x)  ubar(x)  dbar(x)
6.8103299632e-04 7.0453182295e+02 6.7437995939e+02 6.5647007084e+02 6.6303453533e+02
7.0209041734e-04 6.8027889803e+02 6.5063885996e+02 6.3280646735e+02 6.3931177073e+02
7.2379893014e-04 6.5686995527e+02 6.2773480881e+02 6.0997944919e+02 6.1642589804e+02
7.4617866635e-04 6.3428079181e+02 6.0564379796e+02 5.8796448886e+02 5.9435241002e+02
7.6925038009e-04 6.1248760044e+02 5.8434219829e+02 5.6673750867e+02 5.7306724622e+02
7.9303546718e-04 5.9146698129e+02 5.6380677252e+02 5.4627488800e+02 5.5254680053e+02
8.1755598499e-04 5.7119177237e+02 5.4401035272e+02 5.2655025906e+02 5.3276462665e+02
8.4283467293e-04 5.5162619041e+02 5.2491685385e+02 5.0753027674e+02 5.1368714936e+02
8.6889497347e-04 5.3274568846e+02 5.0650186015e+02 4.8918991542e+02 4.9528938673e+02
8.9576105394e-04 5.1452723357e+02 4.8874248806e+02 4.7150554978e+02 4.7754776919e+02
9.2345782892e-04 4.9694850778e+02 4.7161655762e+02 4.5445434728e+02 4.6043951385e+02
9.5201098333e-04 4.7998788854e+02 4.5510257378e+02 4.3801424256e+02 4.4394259951e+02
9.8144699627e-04 4.6362442958e+02 4.3917970810e+02 4.2216391272e+02 4.2803574225e+02
1.0117931656e-03 4.4783784216e+02 4.2382778079e+02 4.0688275327e+02 4.1269837189e+02
1.0430776331e-03 4.3260639001e+02 4.0902498399e+02 3.9214949971e+02 3.9790919018e+02
1.0753294110e-03 4.1790481528e+02 3.9474563866e+02 3.7794118282e+02 3.8364503228e+02
1.1085784081e-03 4.0371656215e+02 3.8097343002e+02 3.6424106572e+02 3.6988917682e+02
1.1428554584e-03 3.9002612657e+02 3.6769312715e+02 3.5103327953e+02 3.5662578768e+02
1.1781923491e-03 3.7681833048e+02 3.5488979929e+02 3.3830233230e+02 3.4383940252e+02
1.2146218503e-03 3.6407832288e+02 3.4254881881e+02 3.2603310605e+02 3.3151493009e+02
1.2521777453e-03 3.5179158026e+02 3.3065586347e+02 3.1421085350e+02 3.1963764718e+02
1.2908948620e-03 3.3994390649e+02 3.1919691808e+02 3.0282119441e+02 3.0819319515e+02
1.3308091051e-03 3.2852046326e+02 3.0815717885e+02 2.9184973820e+02 2.9716716413e+02
