# x  u(x)  d(x)  ubar(x)  dbar(x)
1.0000000000e-04 7.6775572547e+03 7.5940586107e+03 7.5660394712e+03 7.5783583357e+03
1.0309198249e-04 7.4047141506e+03 7.3223999731e+03 7.2945293212e+03 7.3067480844e+03
1.0627956855e-04 7.1414975940e+03 7.0603529782e+03 7.0326283760e+03 7.0447482134e+03
1.0956571420e-04 6.8876141309e+03 6.8076241250e+03 6.7800424708e+03 6.7920647941e+03
1.1295346690e-04 6.6427470484e+03 6.5638973360e+03 6.5364564596e+03 6.5483825470e+03
1.1644596833e-04 6.4065050590e+03 6.3287832872e+03 6.3014852258e+03 6.3133153586e+03
1.2004645728e-04 6.1785855885e+03 6.1019790936e+03 6.0748251552e+03 6.0865595985e+03
1.2375827272e-04 5.9587034820e+03 5.8831991648e+03 5.8561896323e+03 5.8678287167e+03
1.2758485685e-04 5.7465829952e+03 5.6721673838e+03 5.6453016380e+03 5.6568457507e+03
1.3152975829e-04 5.5419574975e+03 5.4686168051e+03 5.4418934376e+03 5.4533430149e+03
1.3559663539e-04 5.3445691840e+03 5.2722893627e+03 5.2457062806e+03 5.2570618005e+03
1.3978925962e-04 5.1541687961e+03 5.0829355859e+03 5.0564901077e+03 5.0677520834e+03
1.4411151906e-04 4.9705115563e+03 4.9003109553e+03 4.8740008380e+03 4.8851696498e+03
1.4856742200e-04 4.7933455802e+03 4.7241656174e+03 4.6979928334e+03 4.7090681306e+03
1.5316110068e-04 4.6224456363e+03 4.5542743489e+03 4.5282404250e+03 4.5392219996e+03
1.5789681510e-04 4.4575968563e+03 4.3904219971e+03 4.3645273859e+03 4.3754152796e+03
1.6277895698e-04 4.2985914272e+03 4.2324005107e+03 4.2066447169e+03 4.2174391936e+03
1.6781205383e-04 4.1452283722e+03 4.0800087159e+03 4.0543904143e+03 4.0650919342e+03
1.7300077316e-04 3.9973133370e+03 3.9330521004e+03 3.9075692439e+03 3.9181784398e+03
1.7834992678e-04 3.8546583834e+03 3.7913426032e+03 3.7659925227e+03 3.7765101780e+03
1.8386447530e-04 3.7170775907e+03 3.6546943400e+03 3.6294743942e+03 3.6399012928e+03
1.8954953268e-04 3.5843630404e+03 3.5229005027e+03 3.4978122495e+03 3.5081482164e+03
1.9541037105e-04 3.4563493172e+03 3.3957960547e+03 3.3708410532e+03 3.3810859483e+03
2.0145242552e-04 3.3328848287e+03 3.2732295297e+03 3.2484082652e+03 3.2585622328e+03
2.0768129925e-04 3.2138221120e+03 3.1550535884e+03 3.1303655990e+03 3.1404290357e+03
2.1410276866e-04 3.0990177562e+03 3.0411249415e+03 3.0165689351e+03 3.0265424603e+03
2.2072278879e-04 2.9883323253e+03 2.9313042722e+03 2.9068782343e+03 2.9167626629e+03
2.2754749878e-04 2.8816302798e+03 2.8254561586e+03 2.8011574516e+03 2.8109537685e+03
2.3458322761e-04 2.7787689374e+03 2.7234379094e+03 2.6992636229e+03 2.7089729145e+03
2.4183649994e-04 2.6794656510e+03 2.6249653608e+03 2.6009162403e+03 2.6105389520e+03
2.4931404218e-04 2.5836147307e+03 2.5299335235e+03 2.5060109044e+03 2.5155472908e+03
2.5702278872e-04 2.4911769121e+03 2.4383045326e+03 2.4145088834e+03 2.4239592639e+03
2.6496988835e-04 2.4021074759e+03 2.3500349183e+03 2.3263659434e+03 2.3357306946e+03
2.7316271092e-04 2.3163568223e+03 2.2650761917e+03 2.2415329264e+03 2.2508124750e+03
2.8160885412e-04 2.2338710071e+03 2.1833753905e+03 2.1599562885e+03 2.1691511049e+03
2.9031615059e-04 2.1545922416e+03 2.1048755897e+03 2.0815786037e+03 2.0906891959e+03
2.9929267514e-04 2.0784605303e+03 2.0295175618e+03 2.0063403243e+03 2.0153672063e+03
3.0854675226e-04 2.0054196964e+03 1.9572458250e+03 1.9341895830e+03 1.9431323718e+03
3.1808696383e-04 1.9352872462e+03 1.8878768237e+03 1.8649437119e+03 1.8738019642e+03
