# x  u(x)  d(x)  ubar(x)  dbar(x)
1.0000000000e-04 9.0875267322e+03 8.9992861209e+03 8.9661740540e+03 8.9798162361e+03
1.0309198249e-04 8.7614617791e+03 8.6744915822e+03 8.6415723266e+03 8.6551013953e+03
1.0627956855e-04 8.4470102937e+03 8.3612941964e+03 8.3285655780e+03 8.3419820886e+03
1.0956571420e-04 8.1438175868e+03 8.0593391947e+03 8.0267985924e+03 8.0401029979e+03
1.1295346690e-04 7.8515008033e+03 7.7682443687e+03 7.7358902340e+03 7.7490827565e+03
1.1644596833e-04 7.5695842567e+03 7.4875361147e+03 7.4553709504e+03 7.4684513917e+03
1.2004645728e-04 7.2976964244e+03 7.2168426203e+03 7.1848680068e+03 7.1978363233e+03
1.2375827272e-04 7.0354872905e+03 6.9558134460e+03 6.9240297705e+03 6.9368860963e+03
1.2758485685e-04 6.7826187735e+03 6.7041101499e+03 6.6725167469e+03 6.6852613742e+03
1.3152975829e-04 6.5387643292e+03 6.4614058855e+03 6.4300011665e+03 6.4426345272e+03
1.3559663539e-04 6.3036085669e+03 6.2273850142e+03 6.1961665870e+03 6.2086892363e+03
1.3978925962e-04 6.0768468782e+03 6.0017427287e+03 5.9707075078e+03 5.9831201085e+03
1.4411151906e-04 5.8581819428e+03 5.7841819660e+03 5.7533273470e+03 5.7656304493e+03
1.4856742200e-04 5.6473147646e+03 5.5744057212e+03 5.5437338778e+03 5.5559271305e+03
1.5316110068e-04 5.4439726577e+03 5.3721413734e+03 5.3416539050e+03 5.3537371269e+03
1.5789681510e-04 5.2478945628e+03 5.1771276439e+03 5.1468248606e+03 5.1587981759e+03
1.6277895698e-04 5.0588281410e+03 4.9891120140e+03 4.9589930877e+03 4.9708568924e+03
1.6781205383e-04 4.8765294952e+03 4.8078504433e+03 4.7779135477e+03 4.7896684781e+03
1.7300077316e-04 4.7007628999e+03 4.6331070968e+03 4.6033495363e+03 4.6149964401e+03
1.7834992678e-04 4.5313005392e+03 4.4646540799e+03 4.4350724084e+03 4.4466123184e+03
1.8386447530e-04 4.3679174609e+03 4.3022664798e+03 4.2728572132e+03 4.2842911853e+03
1.8954953268e-04 4.2103644842e+03 4.1456959799e+03 4.1164601751e+03 4.1277882566e+03
1.9541037105e-04 4.0584420566e+03 3.9947434782e+03 3.9656823064e+03 3.9769045529e+03
2.0145242552e-04 3.9119668429e+03 3.8492259060e+03 3.8203394892e+03 3.8314562276e+03
2.0768129925e-04 3.7707605818e+03 3.7089652510e+03 3.6802527868e+03 3.6912645844e+03
2.1410276866e-04 3.6346499860e+03 3.5737884588e+03 3.5452483357e+03 3.5561559718e+03
2.2072278879e-04 3.5034666425e+03 3.4435273353e+03 3.4151572382e+03 3.4259616781e+03
2.2754749878e-04 3.3770469136e+03 3.3180184470e+03 3.2898154554e+03 3.3005178261e+03
2.3458322761e-04 3.2552182727e+03 3.1970893200e+03 3.1690502523e+03 3.1796517857e+03
2.4183649994e-04 3.1376353121e+03 3.0803928361e+03 3.0525181333e+03 3.0630195673e+03
2.4931404218e-04 3.0241723209e+03 2.9678039184e+03 2.9400946534e+03 2.9504965035e+03
2.5702278872e-04 2.9147856940e+03 2.8592803764e+03 2.8317368178e+03 2.8420395701e+03
2.6496988835e-04 2.8094248762e+03 2.7547729180e+03 2.7273946259e+03 2.7375987406e+03
