# x  u(x)  d(x)  ubar(x)  dbar(x)
1.0000000000e-04 8.4522903235e+03 8.3660695462e+03 8.3351426103e+03 8.3482251540e+03
1.0309198249e-04 8.1503875413e+03 8.0653994813e+03 8.0346475726e+03 8.0476208535e+03
1.0627956855e-04 7.8591878455e+03 7.7754169580e+03 7.7448375373e+03 7.7577027028e+03
1.0956571420e-04 7.5783651814e+03 7.4957959211e+03 7.4653857670e+03 7.4781441762e+03
1.1295346690e-04 7.3075670591e+03 7.2261845409e+03 7.1959413967e+03 7.2085942859e+03
1.1644596833e-04 7.0463555954e+03 6.9661468516e+03 6.9360728027e+03 6.9486204960e+03
1.2004645728e-04 6.7943916094e+03 6.7153433384e+03 6.6854397049e+03 6.6978824981e+03
1.2375827272e-04 6.5513556032e+03 6.4734540512e+03 6.4437210833e+03 6.4560593187e+03
1.2758485685e-04 6.3169387742e+03 6.2401698002e+03 6.2106068055e+03 6.2228408663e+03
1.3152975829e-04 6.0908426694e+03 6.0151918059e+03 5.9857972671e+03 5.9979275714e+03
1.3559663539e-04 5.8727788517e+03 5.7982313600e+03 5.7690030434e+03 5.7810300395e+03
1.3978925962e-04 5.6624685745e+03 5.5890094966e+03 5.5599445519e+03 5.5718687134e+03
1.4411151906e-04 5.4596387442e+03 5.3872533784e+03 5.3583494368e+03 5.3701710889e+03
1.4856742200e-04 5.2640108235e+03 5.1926865261e+03 5.1639457159e+03 5.1756644313e+03
1.5316110068e-04 5.0753340272e+03 5.0050581802e+03 4.9764820916e+03 4.9880976317e+03
1.5789681510e-04 4.8933687993e+03 4.8241285151e+03 4.7957175297e+03 4.8072299541e+03
1.6277895698e-04 4.7178835003e+03 4.6496656663e+03 4.6214190987e+03 4.6328287326e+03
1.6781205383e-04 4.5486541584e+03 4.4814454780e+03 4.4533617077e+03 4.4646691113e+03
1.7300077316e-04 4.3854642280e+03 4.3192512587e+03 4.2913278511e+03 4.3025337911e+03
1.7834992678e-04 4.2281043560e+03 4.1628735442e+03 4.1351073621e+03 4.1462127861e+03
1.8386447530e-04 4.0763675473e+03 4.0121053648e+03 3.9844932573e+03 3.9954991300e+03
1.8954953268e-04 3.9300228866e+03 3.8667167692e+03 3.8392599943e+03 3.8501662561e+03
1.9541037105e-04 3.7888863901e+03 3.7265242168e+03 3.6992241038e+03 3.7100307177e+03
2.0145242552e-04 3.6527893572e+03 3.5913592378e+03 3.5642160578e+03 3.5749232766e+03
2.0768129925e-04 3.5215677113e+03 3.4610579727e+03 3.4340710642e+03 3.4446793979e+03
2.1410276866e-04 3.3950619118e+03 3.3354610855e+03 3.3086289700e+03 3.3191391553e+03
2.2072278879e-04 3.2731168655e+03 3.2144136762e+03 3.1877341651e+03 3.1981471376e+03
2.2754749878e-04 3.1555818388e+03 3.0977651932e+03 3.0712354857e+03 3.0815523540e+03
2.3458322761e-04 3.0422980019e+03 2.9853568457e+03 2.9589738757e+03 2.9691958594e+03
