     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.500     0.010    0.391E+00    0.358E+00    0.267E+01    0.242E+00    0.263E+00    0.112E+00    0.112E+00    0.182E-01    0.182E-01    0.000E+00    0.000E+00
     2.500     0.020    0.407E+00    0.371E+00    0.232E+01    0.204E+00    0.223E+00    0.945E-01    0.945E-01    0.153E-01    0.153E-01    0.000E+00    0.000E+00
     2.500     0.030    0.430E+00    0.381E+00    0.211E+01    0.181E+00    0.197E+00    0.836E-01    0.836E-01    0.133E-01    0.133E-01    0.000E+00    0.000E+00
     2.500     0.040    0.453E+00    0.389E+00    0.198E+01    0.166E+00    0.178E+00    0.759E-01    0.759E-01    0.120E-01    0.120E-01    0.000E+00    0.000E+00
     2.500     0.050    0.475E+00    0.395E+00    0.186E+01    0.152E+00    0.163E+00    0.695E-01    0.695E-01    0.108E-01    0.108E-01    0.000E+00    0.000E+00
     2.500     0.060    0.495E+00    0.399E+00    0.176E+01    0.139E+00    0.152E+00    0.641E-01    0.641E-01    0.976E-02    0.976E-02    0.000E+00    0.000E+00
     2.500     0.070    0.513E+00    0.402E+00    0.166E+01    0.127E+00    0.143E+00    0.593E-01    0.593E-01    0.887E-02    0.887E-02    0.000E+00    0.000E+00
     2.500     0.080    0.531E+00    0.405E+00    0.158E+01    0.116E+00    0.135E+00    0.551E-01    0.551E-01    0.809E-02    0.809E-02    0.000E+00    0.000E+00
     2.500     0.090    0.547E+00    0.406E+00    0.150E+01    0.106E+00    0.128E+00    0.512E-01    0.512E-01    0.738E-02    0.738E-02    0.000E+00    0.000E+00
     2.500     0.100    0.562E+00    0.406E+00    0.142E+01    0.970E-01    0.122E+00    0.478E-01    0.478E-01    0.674E-02    0.674E-02    0.000E+00    0.000E+00
     2.500     0.110    0.576E+00    0.405E+00    0.135E+01    0.888E-01    0.116E+00    0.446E-01    0.446E-01    0.617E-02    0.617E-02    0.000E+00    0.000E+00
     2.500     0.120    0.589E+00    0.404E+00    0.127E+01    0.815E-01    0.110E+00    0.416E-01    0.416E-01    0.564E-02    0.564E-02    0.000E+00    0.000E+00
     2.500     0.130    0.601E+00    0.401E+00    0.121E+01    0.749E-01    0.104E+00    0.389E-01    0.389E-01    0.515E-02    0.515E-02    0.000E+00    0.000E+00
     2.500     0.140    0.612E+00    0.398E+00    0.114E+01    0.692E-01    0.986E-01    0.364E-01    0.364E-01    0.471E-02    0.471E-02    0.000E+00    0.000E+00
     2.500     0.150    0.621E+00    0.394E+00    0.108E+01    0.641E-01    0.932E-01    0.340E-01    0.340E-01    0.430E-02    0.430E-02    0.000E+00    0.000E+00
     2.500     0.160    0.630E+00    0.390E+00    0.102E+01    0.596E-01    0.878E-01    0.318E-01    0.318E-01    0.393E-02    0.393E-02    0.000E+00    0.000E+00
     2.500     0.170    0.638E+00    0.385E+00    0.958E+00    0.556E-01    0.826E-01    0.298E-01    0.298E-01    0.359E-02    0.359E-02    0.000E+00    0.000E+00
     2.500     0.180    0.644E+00    0.379E+00    0.901E+00    0.520E-01    0.775E-01    0.279E-01    0.279E-01    0.327E-02    0.327E-02    0.000E+00    0.000E+00
     2.500     0.190    0.649E+00    0.374E+00    0.847E+00    0.488E-01    0.725E-01    0.261E-01    0.261E-01    0.298E-02    0.298E-02    0.000E+00    0.000E+00
     2.500     0.200    0.654E+00    0.367E+00    0.795E+00    0.459E-01    0.678E-01    0.244E-01    0.244E-01    0.271E-02    0.271E-02    0.000E+00    0.000E+00
     2.500     0.210    0.656E+00    0.361E+00    0.745E+00    0.433E-01    0.632E-01    0.228E-01    0.228E-01    0.247E-02    0.247E-02    0.000E+00    0.000E+00
     2.500     0.220    0.658E+00    0.354E+00    0.697E+00    0.409E-01    0.588E-01    0.213E-01    0.213E-01    0.224E-02    0.224E-02    0.000E+00    0.000E+00
     2.500     0.230    0.659E+00    0.347E+00    0.651E+00    0.387E-01    0.547E-01    0.199E-01    0.199E-01    0.204E-02    0.204E-02    0.000E+00    0.000E+00
     2.500     0.240    0.658E+00    0.339E+00    0.608E+00    0.366E-01    0.507E-01    0.186E-01    0.186E-01    0.185E-02    0.185E-02    0.000E+00    0.000E+00
     2.500     0.250    0.656E+00    0.332E+00    0.566E+00    0.347E-01    0.470E-01    0.173E-01    0.173E-01    0.167E-02    0.167E-02    0.000E+00    0.000E+00
     2.500     0.260    0.653E+00    0.324E+00    0.527E+00    0.328E-01    0.435E-01    0.162E-01    0.162E-01    0.151E-02    0.151E-02    0.000E+00    0.000E+00
     2.500     0.270    0.649E+00    0.315E+00    0.490E+00    0.311E-01    0.402E-01    0.151E-01    0.151E-01    0.136E-02    0.136E-02    0.000E+00    0.000E+00
     2.500     0.280    0.644E+00    0.307E+00    0.454E+00    0.294E-01    0.372E-01    0.140E-01    0.140E-01    0.123E-02    0.123E-02    0.000E+00    0.000E+00
     2.500     0.290    0.638E+00    0.299E+00    0.421E+00    0.278E-01    0.343E-01    0.131E-01    0.131E-01    0.111E-02    0.111E-02    0.000E+00    0.000E+00
     2.500     0.300    0.631E+00    0.290E+00    0.389E+00    0.262E-01    0.316E-01    0.122E-01    0.122E-01    0.997E-03    0.997E-03    0.000E+00    0.000E+00
