     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     2.500     0.010    0.371E+00    0.324E+00    0.279E+01    0.220E+00    0.240E+00    0.111E+00    0.111E+00    0.319E-01    0.319E-01    0.000E+00    0.000E+00
     2.500     0.020    0.419E+00    0.358E+00    0.287E+01    0.191E+00    0.212E+00    0.954E-01    0.954E-01    0.245E-01    0.245E-01    0.000E+00    0.000E+00
     2.500     0.030    0.464E+00    0.386E+00    0.279E+01    0.175E+00    0.195E+00    0.858E-01    0.858E-01    0.196E-01    0.196E-01    0.000E+00    0.000E+00
     2.500     0.040    0.504E+00    0.408E+00    0.264E+01    0.164E+00    0.183E+00    0.791E-01    0.791E-01    0.161E-01    0.161E-01    0.000E+00    0.000E+00
     2.500     0.050    0.537E+00    0.423E+00    0.247E+01    0.153E+00    0.173E+00    0.732E-01    0.732E-01    0.133E-01    0.133E-01    0.000E+00    0.000E+00
     2.500     0.060    0.566E+00    0.434E+00    0.228E+01    0.142E+00    0.166E+00    0.682E-01    0.682E-01    0.111E-01    0.111E-01    0.000E+00    0.000E+00
     2.500     0.070    0.591E+00    0.442E+00    0.209E+01    0.131E+00    0.159E+00    0.637E-01    0.637E-01    0.934E-02    0.934E-02    0.000E+00    0.000E+00
     2.500     0.080    0.612E+00    0.446E+00    0.191E+01    0.120E+00    0.153E+00    0.594E-01    0.594E-01    0.787E-02    0.787E-02    0.000E+00    0.000E+00
     2.500     0.090    0.630E+00    0.448E+00    0.174E+01    0.110E+00    0.147E+00    0.555E-01    0.555E-01    0.666E-02    0.666E-02    0.000E+00    0.000E+00
     2.500     0.100    0.646E+00    0.448E+00    0.157E+01    0.101E+00    0.141E+00    0.518E-01    0.518E-01    0.565E-02    0.565E-02    0.000E+00    0.000E+00
     2.500     0.110    0.660E+00    0.446E+00    0.142E+01    0.924E-01    0.135E+00    0.483E-01    0.483E-01    0.482E-02    0.482E-02    0.000E+00    0.000E+00
     2.500     0.120    0.672E+00    0.443E+00    0.128E+01    0.847E-01    0.128E+00    0.451E-01    0.451E-01    0.412E-02    0.412E-02    0.000E+00    0.000E+00
     2.500     0.130    0.683E+00    0.439E+00    0.116E+01    0.778E-01    0.121E+00    0.419E-01    0.419E-01    0.353E-02    0.353E-02    0.000E+00    0.000E+00
     2.500     0.140    0.692E+00    0.433E+00    0.104E+01    0.717E-01    0.114E+00    0.390E-01    0.390E-01    0.304E-02    0.304E-02    0.000E+00    0.000E+00
     2.500     0.150    0.699E+00    0.427E+00    0.935E+00    0.663E-01    0.107E+00    0.362E-01    0.362E-01    0.263E-02    0.263E-02    0.000E+00    0.000E+00
     2.500     0.160    0.705E+00    0.421E+00    0.840E+00    0.614E-01    0.997E-01    0.336E-01    0.336E-01    0.228E-02    0.228E-02    0.000E+00    0.000E+00
     2.500     0.170    0.710E+00    0.413E+00    0.754E+00    0.571E-01    0.925E-01    0.311E-01    0.311E-01    0.199E-02    0.199E-02    0.000E+00    0.000E+00
     2.500     0.180    0.713E+00    0.406E+00    0.677E+00    0.531E-01    0.855E-01    0.288E-01    0.288E-01    0.175E-02    0.175E-02    0.000E+00    0.000E+00
     2.500     0.190    0.715E+00    0.398E+00    0.609E+00    0.495E-01    0.786E-01    0.265E-01    0.265E-01    0.154E-02    0.154E-02    0.000E+00    0.000E+00
     2.500     0.200    0.715E+00    0.390E+00    0.548E+00    0.462E-01    0.721E-01    0.245E-01    0.245E-01    0.136E-02    0.136E-02    0.000E+00    0.000E+00
     2.500     0.210    0.713E+00    0.382E+00    0.494E+00    0.431E-01    0.658E-01    0.225E-01    0.225E-01    0.121E-02    0.121E-02    0.000E+00    0.000E+00
     2.500     0.220    0.711E+00    0.373E+00    0.445E+00    0.402E-01    0.599E-01    0.207E-01    0.207E-01    0.108E-02    0.108E-02    0.000E+00    0.000E+00
     2.500     0.230    0.707E+00    0.365E+00    0.403E+00    0.375E-01    0.544E-01    0.190E-01    0.190E-01    0.971E-03    0.971E-03    0.000E+00    0.000E+00
     2.500     0.240    0.702E+00    0.356E+00    0.365E+00    0.350E-01    0.492E-01    0.174E-01    0.174E-01    0.876E-03    0.876E-03    0.000E+00    0.000E+00
     2.500     0.250    0.696E+00    0.347E+00    0.332E+00    0.325E-01    0.444E-01    0.159E-01    0.159E-01    0.793E-03    0.793E-03    0.000E+00    0.000E+00
     2.500     0.260    0.688E+00    0.338E+00    0.303E+00    0.302E-01    0.400E-01    0.145E-01    0.145E-01    0.722E-03    0.722E-03    0.000E+00    0.000E+00
     2.500     0.270    0.680E+00    0.328E+00    0.278E+00    0.279E-01    0.360E-01    0.132E-01    0.132E-01    0.659E-03    0.659E-03    0.000E+00    0.000E+00
     2.500     0.280    0.670E+00    0.319E+00    0.255E+00    0.258E-01    0.323E-01    0.120E-01    0.120E-01    0.603E-03    0.603E-03    0.000E+00    0.000E+00
     2.500     0.290    0.660E+00    0.309E+00    0.236E+00    0.238E-01    0.289E-01    0.109E-01    0.109E-01    0.553E-03    0.553E-03    0.000E+00    0.000E+00
