W	Quantity	Uncertainty
1.13	0.0110060237379734	0.000986805798418381
1.14	0.0106669636341056	0.00106582033616913
1.15	0.0121742523092253	0.00112594119540962
1.16	0.0156188430172162	0.00126850421324792
1.17	0.0204557345134938	0.0014198873148029
1.18	0.0270102316951315	0.00169229065779034
1.19	0.0357210591796576	0.00201328522010832
1.2	0.0435564415622409	0.00226153713487206
1.21	0.0452354397617352	0.00239547853736898
1.22	0.0494508155665789	0.00251020697491915
1.23	0.0538862299365402	0.00257892128682257
1.24	0.0550081048513293	0.00260388921685014
1.25	0.0518681334830007	0.00246176167259083
1.26	0.0467696096459068	0.0022481603043294
1.27	0.0448059052792044	0.00223523584738825
1.28	0.0453812654246708	0.00224735167503978
1.29	0.0480923871687906	0.00227193684583403
1.3	0.0478843920751154	0.00221128249348162
1.31	0.0476184829799735	0.00217936429864418
1.32	0.0478364724691574	0.00221568133354653
1.33	0.0501488110136081	0.00230029799332139
1.34	0.0529563443104339	0.00237750454745103
1.35	0.0544112613639609	0.00229849012883681
1.36	0.0547647384144214	0.00227250814751967
1.37	0.0537452961527979	0.00231836812703937
1.38	0.0557109434164775	0.00233339718436131
1.39	0.05833037311433	0.00232837519469593
1.4	0.0576474355408652	0.00230964291735242
1.41	0.0586713320533752	0.00232147051257162
1.42	0.0629281144989877	0.00238052353628492
1.43	0.0661633403253551	0.00241305103812931
1.44	0.0687536111867865	0.00243110657348101
1.45	0.0740117291886075	0.00249327882523109
1.46	0.0799330850072067	0.00255456874048323
1.47	0.0896960274387511	0.00276742651817109
1.48	0.100420911474301	0.00298901307553507
1.49	0.11323711094094	0.00326177009229311
1.5	0.121894987159298	0.00342825691696984
1.51	0.124646916914156	0.00346665045580646
1.52	0.122669652810774	0.00337307564868129
1.53	0.11667873439797	0.0031732086403199
1.54	0.11125569334554	0.00302015311724448
1.55	0.106199034629399	0.00289149898550119
1.56	0.103896320287737	0.00281686663288933
1.57	0.102674754842676	0.00276389413576317
1.58	0.0996524852460277	0.00270243134355307
1.59	0.0960757978868525	0.00263636144609353
1.6	0.0971150297124125	0.00266947468767926
1.61	0.0994951533819759	0.00273078690283013
1.62	0.103797319747721	0.0027871302288684
1.63	0.108664978836211	0.00283606578821419
1.64	0.115466736640694	0.00293470420545031
1.65	0.12297338861181	0.00304517367673207
1.66	0.131384065545877	0.00316736849603409
1.67	0.140309347410064	0.00329062078386025
1.68	0.148412675323853	0.00341937988283284
1.69	0.155735920110423	0.00355791555431397
1.7	0.162641498314333	0.00370576785096685
1.71	0.168889105451521	0.00387552252318284
1.72	0.173915083402824	0.00401725108733245
1.73	0.173083698346776	0.0040151208732493
1.74	0.172084807444603	0.00400946151550742
1.75	0.165356931905022	0.00387120428346721
1.76	0.158229913513213	0.00372155013528919
1.77	0.155715826528221	0.0036449105812229
1.78	0.155689638346385	0.00360866011708272
1.79	0.156315555191013	0.00359684747328136
1.8	0.158245020384577	0.00363389764023057
1.81	0.160252035461309	0.00367179502737967
1.82	0.159719777825695	0.00369654099253203
1.83	0.159053843807513	0.0037208931609773
1.84	0.160939203059888	0.00377607731169716
1.85	0.16506734391773	0.00385775173571197
1.86	0.169175553699409	0.0039381377530953
1.87	0.17286450534202	0.00401004001363276
1.88	0.176520159947851	0.00408053046227488
1.89	0.179295595861987	0.0041324833715801
1.9	0.181332413792259	0.00416897674379436
1.91	0.183416604890628	0.00420586055246467
1.92	0.185167649246298	0.00423743974097395
1.93	0.186866704223408	0.00426812934856737
