# Q2	W	W1	W2
6.065000e+00	1.794192e+00	2.123017e-02	6.424136e-03
6.065000e+00	1.801250e+00	2.179545e-02	6.555531e-03
6.065000e+00	1.808308e+00	2.237014e-02	6.687889e-03
6.065000e+00	1.815366e+00	2.295429e-02	6.821191e-03
6.065000e+00	1.822424e+00	2.354796e-02	6.955416e-03
6.065000e+00	1.829482e+00	2.415119e-02	7.090545e-03
6.065000e+00	1.836540e+00	2.476405e-02	7.226559e-03
6.065000e+00	1.843598e+00	2.538658e-02	7.363439e-03
6.065000e+00	1.850657e+00	2.601883e-02	7.501166e-03
6.065000e+00	1.857715e+00	2.666086e-02	7.639722e-03
6.065000e+00	1.864773e+00	2.731272e-02	7.779087e-03
6.065000e+00	1.871831e+00	2.797445e-02	7.919243e-03
6.065000e+00	1.878889e+00	2.864609e-02	8.060162e-03
6.065000e+00	1.885947e+00	2.932763e-02	8.201815e-03
6.065000e+00	1.893005e+00	3.001908e-02	8.344175e-03
6.065000e+00	1.900063e+00	3.072047e-02	8.487212e-03
6.065000e+00	1.907121e+00	3.143180e-02	8.630898e-03
6.065000e+00	1.914179e+00	3.215309e-02	8.775207e-03
6.065000e+00	1.921237e+00	3.288433e-02	8.920110e-03
6.065000e+00	1.928295e+00	3.362555e-02	9.065580e-03
6.065000e+00	1.935353e+00	3.437676e-02	9.211591e-03
6.065000e+00	1.942412e+00	3.513797e-02	9.358117e-03
6.065000e+00	1.949470e+00	3.590918e-02	9.505129e-03
6.065000e+00	1.956528e+00	3.669042e-02	9.652604e-03
6.065000e+00	1.963586e+00	3.748168e-02	9.800515e-03
6.065000e+00	1.970644e+00	3.828299e-02	9.948837e-03
6.065000e+00	1.977702e+00	3.909435e-02	1.009754e-02
6.065000e+00	1.984760e+00	3.991577e-02	1.024661e-02
6.065000e+00	1.991818e+00	4.074728e-02	1.039602e-02
6.065000e+00	1.998876e+00	4.158887e-02	1.054573e-02
6.065000e+00	2.005934e+00	4.244055e-02	1.069574e-02
6.065000e+00	2.012992e+00	4.330235e-02	1.084601e-02
6.065000e+00	2.020050e+00	4.417427e-02	1.099652e-02
6.065000e+00	2.027109e+00	4.505632e-02	1.114724e-02
6.065000e+00	2.034167e+00	4.594851e-02	1.129817e-02
6.065000e+00	2.041225e+00	4.685086e-02	1.144926e-02
6.065000e+00	2.048283e+00	4.776335e-02	1.160050e-02
6.065000e+00	2.055341e+00	4.868598e-02	1.175187e-02
6.065000e+00	2.062399e+00	4.961874e-02	1.190334e-02
6.065000e+00	2.069457e+00	5.056161e-02	1.205488e-02
6.065000e+00	2.076515e+00	5.151459e-02	1.220648e-02
6.065000e+00	2.083573e+00	5.247765e-02	1.235811e-02
6.065000e+00	2.090631e+00	5.345080e-02	1.250975e-02
6.065000e+00	2.097689e+00	5.443400e-02	1.266137e-02
6.065000e+00	2.104747e+00	5.542727e-02	1.281296e-02
6.065000e+00	2.111806e+00	5.643057e-02	1.296449e-02
6.065000e+00	2.118864e+00	5.744391e-02	1.311595e-02
6.065000e+00	2.125922e+00	5.846726e-02	1.326730e-02
6.065000e+00	2.132980e+00	5.950062e-02	1.341853e-02
6.065000e+00	2.140038e+00	6.054398e-02	1.356961e-02
6.065000e+00	2.147096e+00	6.159732e-02	1.372054e-02
6.065000e+00	2.154154e+00	6.266062e-02	1.387128e-02
6.065000e+00	2.161212e+00	6.373389e-02	1.402182e-02
6.065000e+00	2.168270e+00	6.481711e-02	1.417214e-02
6.065000e+00	2.175328e+00	6.591026e-02	1.432222e-02
6.065000e+00	2.182386e+00	6.701333e-02	1.447203e-02
6.065000e+00	2.189444e+00	6.812631e-02	1.462156e-02
6.065000e+00	2.196503e+00	6.924920e-02	1.477080e-02
