# Q2	W	W1	W2
3.244000e+00	1.025436e+00	1.034705e-04	1.014171e-04
3.244000e+00	1.032846e+00	1.328522e-04	1.271586e-04
3.244000e+00	1.040256e+00	1.686521e-04	1.592205e-04
3.244000e+00	1.047666e+00	2.113311e-04	1.977728e-04
3.244000e+00	1.055076e+00	2.613501e-04	2.429812e-04
3.244000e+00	1.062485e+00	3.191701e-04	2.950071e-04
3.244000e+00	1.069895e+00	3.852519e-04	3.540079e-04
3.244000e+00	1.077305e+00	4.600565e-04	4.201367e-04
3.244000e+00	1.084715e+00	5.440448e-04	4.935428e-04
3.244000e+00	1.092125e+00	6.376778e-04	5.743711e-04
3.244000e+00	1.099535e+00	7.414163e-04	6.627629e-04
3.244000e+00	1.106945e+00	8.557214e-04	7.588553e-04
3.244000e+00	1.114354e+00	9.810539e-04	8.627816e-04
3.244000e+00	1.121764e+00	1.117875e-03	9.746713e-04
3.244000e+00	1.129174e+00	1.266645e-03	1.094650e-03
3.244000e+00	1.136584e+00	1.427825e-03	1.222840e-03
3.244000e+00	1.143994e+00	1.601877e-03	1.359359e-03
3.244000e+00	1.151404e+00	1.789261e-03	1.504322e-03
3.244000e+00	1.158814e+00	1.990437e-03	1.657839e-03
3.244000e+00	1.166224e+00	2.205868e-03	1.820019e-03
3.244000e+00	1.173633e+00	2.436013e-03	1.990965e-03
3.244000e+00	1.181043e+00	2.681335e-03	2.170777e-03
3.244000e+00	1.188453e+00	2.942293e-03	2.359553e-03
3.244000e+00	1.195863e+00	3.219348e-03	2.557387e-03
3.244000e+00	1.203273e+00	3.512962e-03	2.764368e-03
3.244000e+00	1.210683e+00	3.823591e-03	2.980576e-03
3.244000e+00	1.218093e+00	4.151630e-03	3.205995e-03
3.244000e+00	1.225503e+00	4.497441e-03	3.440555e-03
3.244000e+00	1.232912e+00	4.861388e-03	3.684184e-03
3.244000e+00	1.240322e+00	5.243832e-03	3.936811e-03
3.244000e+00	1.247732e+00	5.645134e-03	4.198364e-03
3.244000e+00	1.255142e+00	6.065656e-03	4.468772e-03
3.244000e+00	1.262552e+00	6.505761e-03	4.747964e-03
3.244000e+00	1.269962e+00	6.965810e-03	5.035866e-03
3.244000e+00	1.277372e+00	7.446164e-03	5.332407e-03
3.244000e+00	1.284781e+00	7.947186e-03	5.637514e-03
3.244000e+00	1.292191e+00	8.469237e-03	5.951116e-03
3.244000e+00	1.299601e+00	9.012680e-03	6.273141e-03
3.244000e+00	1.307011e+00	9.577868e-03	6.603507e-03
3.244000e+00	1.314421e+00	1.016511e-02	6.942079e-03
3.244000e+00	1.321831e+00	1.077468e-02	7.288702e-03
3.244000e+00	1.329241e+00	1.140688e-02	7.643223e-03
3.244000e+00	1.336651e+00	1.206199e-02	8.005491e-03
3.244000e+00	1.344060e+00	1.274030e-02	8.375355e-03
3.244000e+00	1.351470e+00	1.344208e-02	8.752667e-03
3.244000e+00	1.358880e+00	1.416764e-02	9.137281e-03
3.244000e+00	1.366290e+00	1.491726e-02	9.529051e-03
3.244000e+00	1.373700e+00	1.569121e-02	9.927834e-03
3.244000e+00	1.381110e+00	1.648980e-02	1.033349e-02
3.244000e+00	1.388520e+00	1.731330e-02	1.074587e-02
3.244000e+00	1.395930e+00	1.816200e-02	1.116485e-02
3.244000e+00	1.403339e+00	1.903619e-02	1.159028e-02
3.244000e+00	1.410749e+00	1.993600e-02	1.202195e-02
3.244000e+00	1.418159e+00	2.086136e-02	1.245951e-02
3.244000e+00	1.425569e+00	2.181218e-02	1.290263e-02
3.244000e+00	1.432979e+00	2.278835e-02	1.335097e-02
3.244000e+00	1.440389e+00	2.378979e-02	1.380420e-02
3.244000e+00	1.447799e+00	2.481640e-02	1.426199e-02
3.244000e+00	1.455208e+00	2.586808e-02	1.472403e-02
3.244000e+00	1.462618e+00	2.694475e-02	1.519000e-02
3.244000e+00	1.470028e+00	2.804630e-02	1.565959e-02
3.244000e+00	1.477438e+00	2.917265e-02	1.613249e-02
3.244000e+00	1.484848e+00	3.032369e-02	1.660842e-02
3.244000e+00	1.492258e+00	3.149934e-02	1.708708e-02
3.244000e+00	1.499668e+00	3.269950e-02	1.756817e-02
