# Q2	W	W1	W2
8.294000e+00	1.147741e+00	5.672795e-05	2.174747e-05
8.294000e+00	1.154536e+00	6.459799e-05	2.420030e-05
8.294000e+00	1.161331e+00	7.287988e-05	2.685586e-05
8.294000e+00	1.168126e+00	8.161613e-05	2.972389e-05
8.294000e+00	1.174922e+00	9.084926e-05	3.281404e-05
8.294000e+00	1.181717e+00	1.006218e-04	3.613590e-05
8.294000e+00	1.188512e+00	1.109761e-04	3.969896e-05
8.294000e+00	1.195308e+00	1.219549e-04	4.351262e-05
8.294000e+00	1.202103e+00	1.336005e-04	4.758621e-05
8.294000e+00	1.208898e+00	1.459556e-04	5.192897e-05
8.294000e+00	1.215693e+00	1.590625e-04	5.655004e-05
8.294000e+00	1.222489e+00	1.729639e-04	6.145851e-05
8.294000e+00	1.229284e+00	1.877021e-04	6.666335e-05
8.294000e+00	1.236079e+00	2.033198e-04	7.217345e-05
8.294000e+00	1.242874e+00	2.198594e-04	7.799765e-05
8.294000e+00	1.249670e+00	2.373635e-04	8.414466e-05
8.294000e+00	1.256465e+00	2.558744e-04	9.062312e-05
8.294000e+00	1.263260e+00	2.754348e-04	9.744160e-05
8.294000e+00	1.270056e+00	2.960872e-04	1.046086e-04
8.294000e+00	1.276851e+00	3.178740e-04	1.121324e-04
8.294000e+00	1.283646e+00	3.408377e-04	1.200214e-04
8.294000e+00	1.290441e+00	3.650209e-04	1.282838e-04
8.294000e+00	1.297237e+00	3.904661e-04	1.369277e-04
8.294000e+00	1.304032e+00	4.172158e-04	1.459612e-04
8.294000e+00	1.310827e+00	4.453124e-04	1.553922e-04
8.294000e+00	1.317622e+00	4.747985e-04	1.652286e-04
8.294000e+00	1.324418e+00	5.057166e-04	1.754781e-04
8.294000e+00	1.331213e+00	5.381092e-04	1.861485e-04
8.294000e+00	1.338008e+00	5.720188e-04	1.972474e-04
8.294000e+00	1.344804e+00	6.074879e-04	2.087824e-04
8.294000e+00	1.351599e+00	6.445590e-04	2.207607e-04
8.294000e+00	1.358394e+00	6.832746e-04	2.331899e-04
8.294000e+00	1.365189e+00	7.236773e-04	2.460772e-04
8.294000e+00	1.371985e+00	7.658094e-04	2.594298e-04
8.294000e+00	1.378780e+00	8.097136e-04	2.732548e-04
8.294000e+00	1.385575e+00	8.554324e-04	2.875591e-04
8.294000e+00	1.392370e+00	9.030082e-04	3.023498e-04
8.294000e+00	1.399166e+00	9.524835e-04	3.176337e-04
8.294000e+00	1.405961e+00	1.003901e-03	3.334175e-04
8.294000e+00	1.412756e+00	1.057303e-03	3.497080e-04
8.294000e+00	1.419552e+00	1.112732e-03	3.665117e-04
8.294000e+00	1.426347e+00	1.170230e-03	3.838351e-04
8.294000e+00	1.433142e+00	1.229841e-03	4.016847e-04
8.294000e+00	1.439937e+00	1.291606e-03	4.200668e-04
8.294000e+00	1.446733e+00	1.355569e-03	4.389877e-04
8.294000e+00	1.453528e+00	1.421771e-03	4.584536e-04
8.294000e+00	1.460323e+00	1.490255e-03	4.784705e-04
8.294000e+00	1.467118e+00	1.561063e-03	4.990444e-04
8.294000e+00	1.473914e+00	1.634239e-03	5.201814e-04
8.294000e+00	1.480709e+00	1.709824e-03	5.418873e-04
8.294000e+00	1.487504e+00	1.787862e-03	5.641677e-04
8.294000e+00	1.494300e+00	1.868394e-03	5.870285e-04
8.294000e+00	1.501095e+00	1.951463e-03	6.104752e-04
8.294000e+00	1.507890e+00	2.037112e-03	6.345134e-04
8.294000e+00	1.514685e+00	2.125383e-03	6.591485e-04
8.294000e+00	1.521481e+00	2.216318e-03	6.843858e-04
8.294000e+00	1.528276e+00	2.309961e-03	7.102307e-04
8.294000e+00	1.535071e+00	2.406354e-03	7.366883e-04
8.294000e+00	1.541866e+00	2.505542e-03	7.637623e-04
8.294000e+00	1.548662e+00	2.607572e-03	7.914554e-04
8.294000e+00	1.555457e+00	2.712492e-03	8.197702e-04
8.294000e+00	1.562252e+00	2.820349e-03	8.487091e-04
8.294000e+00	1.569048e+00	2.931191e-03	8.782747e-04
8.294000e+00	1.575843e+00	3.045066e-03	9.084692e-04
8.294000e+00	1.582638e+00	3.162020e-03	9.392950e-04
8.294000e+00	1.589433e+00	3.282101e-03	9.707544e-04
8.294000e+00	1.596229e+00	3.405357e-03	1.002850e-03
8.294000e+00	1.603024e+00	3.531835e-03	1.035583e-03
8.294000e+00	1.609819e+00	3.661582e-03	1.068956e-03
8.294000e+00	1.616614e+00	3.794647e-03	1.102972e-03
8.294000e+00	1.623410e+00	3.931075e-03	1.137631e-03
8.294000e+00	1.630205e+00	4.070916e-03	1.172937e-03
8.294000e+00	1.637000e+00	4.214216e-03	1.208891e-03
8.294000e+00	1.643796e+00	4.361022e-03	1.245494e-03
8.294000e+00	1.650591e+00	4.511383e-03	1.282750e-03
8.294000e+00	1.657386e+00	4.665345e-03	1.320658e-03
8.294000e+00	1.664181e+00	4.822956e-03	1.359222e-03
8.294000e+00	1.670977e+00	4.984264e-03	1.398443e-03
8.294000e+00	1.677772e+00	5.149316e-03	1.438322e-03
8.294000e+00	1.684567e+00	5.318159e-03	1.478860e-03
8.294000e+00	1.691362e+00	5.490841e-03	1.520060e-03
8.294000e+00	1.698158e+00	5.667409e-03	1.561923e-03
8.294000e+00	1.704953e+00	5.847911e-03	1.604450e-03
8.294000e+00	1.711748e+00	6.032395e-03	1.647643e-03
8.294000e+00	1.718544e+00	6.220907e-03	1.691503e-03
8.294000e+00	1.725339e+00	6.413494e-03	1.736030e-03
8.294000e+00	1.732134e+00	6.610198e-03	1.781222e-03
8.294000e+00	1.738929e+00	6.811061e-03	1.827077e-03
8.294000e+00	1.745725e+00	7.016125e-03	1.873592e-03
8.294000e+00	1.752520e+00	7.225429e-03	1.920763e-03
8.294000e+00	1.759315e+00	7.439016e-03	1.968588e-03
8.294000e+00	1.766110e+00	7.656926e-03	2.017064e-03
8.294000e+00	1.772906e+00	7.879202e-03	2.066187e-03
8.294000e+00	1.779701e+00	8.105883e-03	2.115956e-03
8.294000e+00	1.786496e+00	8.337012e-03	2.166366e-03
8.294000e+00	1.793292e+00	8.572629e-03	2.217415e-03
8.294000e+00	1.800087e+00	8.812776e-03	2.269101e-03
