# Q2	W	W1	W2
2.774000e+00	1.013303e+00	1.164687e-04	1.334991e-04
2.774000e+00	1.020773e+00	1.543399e-04	1.728681e-04
2.774000e+00	1.028244e+00	2.021227e-04	2.233596e-04
2.774000e+00	1.035715e+00	2.604946e-04	2.852161e-04
2.774000e+00	1.043186e+00	3.301332e-04	3.586726e-04
2.774000e+00	1.050657e+00	4.117160e-04	4.439569e-04
2.774000e+00	1.058128e+00	5.059205e-04	5.412891e-04
2.774000e+00	1.065599e+00	6.134243e-04	6.508822e-04
2.774000e+00	1.073069e+00	7.349050e-04	7.729422e-04
2.774000e+00	1.080540e+00	8.710400e-04	9.076680e-04
2.774000e+00	1.088011e+00	1.022507e-03	1.055251e-03
2.774000e+00	1.095482e+00	1.189983e-03	1.215878e-03
2.774000e+00	1.102953e+00	1.374147e-03	1.389726e-03
2.774000e+00	1.110424e+00	1.575674e-03	1.576967e-03
2.774000e+00	1.117894e+00	1.795244e-03	1.777767e-03
2.774000e+00	1.125365e+00	2.033534e-03	1.992286e-03
2.774000e+00	1.132836e+00	2.291220e-03	2.220675e-03
2.774000e+00	1.140307e+00	2.568982e-03	2.463082e-03
2.774000e+00	1.147778e+00	2.867495e-03	2.719647e-03
2.774000e+00	1.155249e+00	3.187438e-03	2.990505e-03
2.774000e+00	1.162719e+00	3.529489e-03	3.275786e-03
2.774000e+00	1.170190e+00	3.894324e-03	3.575612e-03
2.774000e+00	1.177661e+00	4.282605e-03	3.890067e-03
2.774000e+00	1.185132e+00	4.694911e-03	4.219065e-03
2.774000e+00	1.192603e+00	5.131798e-03	4.562470e-03
2.774000e+00	1.200074e+00	5.593822e-03	4.920147e-03
2.774000e+00	1.207545e+00	6.081540e-03	5.291961e-03
2.774000e+00	1.215015e+00	6.595507e-03	5.677777e-03
2.774000e+00	1.222486e+00	7.136281e-03	6.077460e-03
2.774000e+00	1.229957e+00	7.704416e-03	6.490876e-03
2.774000e+00	1.237428e+00	8.300469e-03	6.917889e-03
2.774000e+00	1.244899e+00	8.924996e-03	7.358365e-03
2.774000e+00	1.252370e+00	9.578553e-03	7.812170e-03
2.774000e+00	1.259840e+00	1.026167e-02	8.279151e-03
2.774000e+00	1.267311e+00	1.097463e-02	8.758941e-03
2.774000e+00	1.274782e+00	1.171753e-02	9.251051e-03
2.774000e+00	1.282253e+00	1.249049e-02	9.754999e-03
2.774000e+00	1.289724e+00	1.329362e-02	1.027031e-02
2.774000e+00	1.297195e+00	1.412703e-02	1.079651e-02
2.774000e+00	1.304665e+00	1.499083e-02	1.133315e-02
2.774000e+00	1.312136e+00	1.588513e-02	1.187978e-02
2.774000e+00	1.319607e+00	1.681005e-02	1.243595e-02
2.774000e+00	1.327078e+00	1.776570e-02	1.300122e-02
2.774000e+00	1.334549e+00	1.875218e-02	1.357517e-02
2.774000e+00	1.342020e+00	1.976961e-02	1.415738e-02
2.774000e+00	1.349490e+00	2.081811e-02	1.474745e-02
2.774000e+00	1.356961e+00	2.189794e-02	1.534506e-02
2.774000e+00	1.364432e+00	2.300942e-02	1.594997e-02
2.774000e+00	1.371903e+00	2.415286e-02	1.656191e-02
2.774000e+00	1.379374e+00	2.532857e-02	1.718064e-02
2.774000e+00	1.386845e+00	2.653688e-02	1.780591e-02
2.774000e+00	1.394316e+00	2.777810e-02	1.843747e-02
2.774000e+00	1.401786e+00	2.905254e-02	1.907509e-02
2.774000e+00	1.409257e+00	3.036051e-02	1.971853e-02
2.774000e+00	1.416728e+00	3.170235e-02	2.036756e-02
