# Q2	W	W1	W2
9.699000e+00	1.179515e+00	5.172931e-05	1.695842e-05
9.699000e+00	1.186151e+00	5.804643e-05	1.862105e-05
9.699000e+00	1.192786e+00	6.462576e-05	2.039960e-05
9.699000e+00	1.199422e+00	7.149482e-05	2.229960e-05
9.699000e+00	1.206058e+00	7.868115e-05	2.432656e-05
9.699000e+00	1.212693e+00	8.621226e-05	2.648592e-05
9.699000e+00	1.219329e+00	9.411568e-05	2.878310e-05
9.699000e+00	1.225964e+00	1.024189e-04	3.122346e-05
9.699000e+00	1.232600e+00	1.111495e-04	3.381234e-05
9.699000e+00	1.239236e+00	1.203350e-04	3.655504e-05
9.699000e+00	1.245871e+00	1.300029e-04	3.945678e-05
9.699000e+00	1.252507e+00	1.401807e-04	4.252279e-05
9.699000e+00	1.259142e+00	1.508959e-04	4.575824e-05
9.699000e+00	1.265778e+00	1.621762e-04	4.916823e-05
9.699000e+00	1.272414e+00	1.740489e-04	5.275786e-05
9.699000e+00	1.279049e+00	1.865416e-04	5.653217e-05
9.699000e+00	1.285685e+00	1.996819e-04	6.049615e-05
9.699000e+00	1.292320e+00	2.134973e-04	6.465476e-05
9.699000e+00	1.298956e+00	2.280152e-04	6.901292e-05
9.699000e+00	1.305592e+00	2.432632e-04	7.357550e-05
9.699000e+00	1.312227e+00	2.592689e-04	7.834734e-05
9.699000e+00	1.318863e+00	2.760598e-04	8.333321e-05
9.699000e+00	1.325498e+00	2.936633e-04	8.853787e-05
9.699000e+00	1.332134e+00	3.121071e-04	9.396601e-05
9.699000e+00	1.338770e+00	3.314186e-04	9.962231e-05
9.699000e+00	1.345405e+00	3.516253e-04	1.055114e-04
9.699000e+00	1.352041e+00	3.727548e-04	1.116378e-04
9.699000e+00	1.358676e+00	3.948347e-04	1.180061e-04
9.699000e+00	1.365312e+00	4.178923e-04	1.246208e-04
9.699000e+00	1.371948e+00	4.419553e-04	1.314863e-04
9.699000e+00	1.378583e+00	4.670512e-04	1.386070e-04
9.699000e+00	1.385219e+00	4.932075e-04	1.459873e-04
9.699000e+00	1.391854e+00	5.204517e-04	1.536316e-04
9.699000e+00	1.398490e+00	5.488113e-04	1.615440e-04
9.699000e+00	1.405126e+00	5.783140e-04	1.697289e-04
9.699000e+00	1.411761e+00	6.089871e-04	1.781904e-04
9.699000e+00	1.418397e+00	6.408582e-04	1.869327e-04
9.699000e+00	1.425032e+00	6.739549e-04	1.959599e-04
9.699000e+00	1.431668e+00	7.083046e-04	2.052760e-04
9.699000e+00	1.438304e+00	7.439350e-04	2.148852e-04
9.699000e+00	1.444939e+00	7.808734e-04	2.247913e-04
9.699000e+00	1.451575e+00	8.191475e-04	2.349983e-04
9.699000e+00	1.458210e+00	8.587847e-04	2.455101e-04
9.699000e+00	1.464846e+00	8.998126e-04	2.563306e-04
9.699000e+00	1.471482e+00	9.422588e-04	2.674636e-04
9.699000e+00	1.478117e+00	9.861506e-04	2.789128e-04
9.699000e+00	1.484753e+00	1.031516e-03	2.906821e-04
9.699000e+00	1.491388e+00	1.078382e-03	3.027750e-04
9.699000e+00	1.498024e+00	1.126776e-03	3.151952e-04
9.699000e+00	1.504660e+00	1.176726e-03	3.279463e-04
9.699000e+00	1.511295e+00	1.228259e-03	3.410320e-04
9.699000e+00	1.517931e+00	1.281403e-03	3.544557e-04
9.699000e+00	1.524566e+00	1.336186e-03	3.682208e-04
