     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     1.500     0.010    0.364E+00    0.333E+00    0.156E+01    0.224E+00    0.245E+00    0.904E-01    0.904E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.020    0.381E+00    0.348E+00    0.158E+01    0.189E+00    0.209E+00    0.768E-01    0.768E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.030    0.404E+00    0.361E+00    0.159E+01    0.170E+00    0.185E+00    0.684E-01    0.684E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.040    0.429E+00    0.372E+00    0.158E+01    0.156E+00    0.168E+00    0.626E-01    0.626E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.050    0.452E+00    0.381E+00    0.156E+01    0.144E+00    0.155E+00    0.577E-01    0.577E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.060    0.474E+00    0.387E+00    0.153E+01    0.133E+00    0.144E+00    0.536E-01    0.536E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.070    0.495E+00    0.393E+00    0.150E+01    0.123E+00    0.136E+00    0.500E-01    0.500E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.080    0.514E+00    0.398E+00    0.146E+01    0.113E+00    0.129E+00    0.467E-01    0.467E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.090    0.533E+00    0.401E+00    0.142E+01    0.104E+00    0.123E+00    0.438E-01    0.438E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.100    0.550E+00    0.403E+00    0.138E+01    0.954E-01    0.117E+00    0.411E-01    0.411E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.110    0.566E+00    0.405E+00    0.134E+01    0.876E-01    0.112E+00    0.387E-01    0.387E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.120    0.582E+00    0.405E+00    0.129E+01    0.806E-01    0.107E+00    0.364E-01    0.364E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.130    0.596E+00    0.405E+00    0.124E+01    0.744E-01    0.102E+00    0.343E-01    0.343E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.140    0.610E+00    0.404E+00    0.119E+01    0.689E-01    0.973E-01    0.323E-01    0.323E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.150    0.622E+00    0.402E+00    0.114E+01    0.639E-01    0.924E-01    0.304E-01    0.304E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.160    0.634E+00    0.399E+00    0.109E+01    0.596E-01    0.876E-01    0.286E-01    0.286E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.170    0.644E+00    0.396E+00    0.104E+01    0.557E-01    0.829E-01    0.270E-01    0.270E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.180    0.654E+00    0.392E+00    0.995E+00    0.522E-01    0.782E-01    0.254E-01    0.254E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.190    0.662E+00    0.388E+00    0.947E+00    0.492E-01    0.736E-01    0.239E-01    0.239E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.200    0.669E+00    0.383E+00    0.899E+00    0.464E-01    0.691E-01    0.225E-01    0.225E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.210    0.675E+00    0.378E+00    0.851E+00    0.439E-01    0.647E-01    0.212E-01    0.212E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.220    0.679E+00    0.372E+00    0.805E+00    0.416E-01    0.605E-01    0.200E-01    0.200E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.230    0.682E+00    0.366E+00    0.760E+00    0.394E-01    0.565E-01    0.188E-01    0.188E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.240    0.684E+00    0.360E+00    0.716E+00    0.375E-01    0.526E-01    0.176E-01    0.176E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.250    0.685E+00    0.353E+00    0.674E+00    0.356E-01    0.490E-01    0.166E-01    0.166E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.260    0.685E+00    0.346E+00    0.633E+00    0.338E-01    0.455E-01    0.156E-01    0.156E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.270    0.683E+00    0.339E+00    0.593E+00    0.322E-01    0.422E-01    0.146E-01    0.146E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.280    0.680E+00    0.331E+00    0.555E+00    0.305E-01    0.391E-01    0.137E-01    0.137E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.290    0.677E+00    0.323E+00    0.518E+00    0.290E-01    0.362E-01    0.128E-01    0.128E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.300    0.672E+00    0.315E+00    0.483E+00    0.275E-01    0.335E-01    0.120E-01    0.120E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.310    0.666E+00    0.307E+00    0.449E+00    0.260E-01    0.310E-01    0.112E-01    0.112E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.320    0.659E+00    0.298E+00    0.417E+00    0.245E-01    0.287E-01    0.105E-01    0.105E-01    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.330    0.651E+00    0.289E+00    0.387E+00    0.231E-01    0.265E-01    0.978E-02    0.978E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.340    0.642E+00    0.280E+00    0.358E+00    0.218E-01    0.245E-01    0.912E-02    0.912E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.350    0.633E+00    0.271E+00    0.330E+00    0.205E-01    0.226E-01    0.849E-02    0.849E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.360    0.622E+00    0.262E+00    0.305E+00    0.192E-01    0.209E-01    0.790E-02    0.790E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.370    0.611E+00    0.253E+00    0.280E+00    0.179E-01    0.192E-01    0.734E-02    0.734E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.380    0.600E+00    0.243E+00    0.257E+00    0.167E-01    0.177E-01    0.681E-02    0.681E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.390    0.587E+00    0.234E+00    0.236E+00    0.156E-01    0.163E-01    0.631E-02    0.631E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.400    0.574E+00    0.224E+00    0.215E+00    0.145E-01    0.151E-01    0.584E-02    0.584E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.410    0.561E+00    0.214E+00    0.197E+00    0.134E-01    0.139E-01    0.539E-02    0.539E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.420    0.547E+00    0.205E+00    0.179E+00    0.124E-01    0.127E-01    0.498E-02    0.498E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.430    0.532E+00    0.195E+00    0.162E+00    0.115E-01    0.117E-01    0.458E-02    0.458E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
     1.500     0.440    0.518E+00    0.186E+00    0.147E+00    0.105E-01    0.107E-01    0.421E-02    0.421E-02    0.000E+00    0.000E+00    0.000E+00    0.000E+00
