x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
4.146475e-01	3.893489e-01	3.196069e-01	3.087028e-01	2.350118e-01	2.269938e-01	3.006472e-01	2.493241e-01
4.175492e-01	3.852369e-01	3.155520e-01	3.051037e-01	2.329615e-01	2.252479e-01	2.957086e-01	2.469448e-01
4.200000e-01	3.817861e-01	3.121568e-01	3.020952e-01	2.312259e-01	2.237729e-01	2.916402e-01	2.449778e-01
4.204778e-01	3.811157e-01	3.114980e-01	3.015119e-01	2.308871e-01	2.234853e-01	2.908603e-01	2.446008e-01
4.234333e-01	3.769867e-01	3.074465e-01	2.979286e-01	2.287895e-01	2.217067e-01	2.861209e-01	2.423076e-01
4.264161e-01	3.728523e-01	3.033996e-01	2.943558e-01	2.266702e-01	2.199136e-01	2.814402e-01	2.400227e-01
4.294265e-01	3.687156e-01	2.993599e-01	2.907959e-01	2.245309e-01	2.181076e-01	2.767579e-01	2.376946e-01
4.300000e-01	3.679318e-01	2.985956e-01	2.901232e-01	2.241234e-01	2.177641e-01	2.758656e-01	2.372444e-01
4.324648e-01	3.645797e-01	2.953303e-01	2.872517e-01	2.223735e-01	2.162906e-01	2.720219e-01	2.352790e-01
4.355311e-01	3.604485e-01	2.913141e-01	2.837263e-01	2.202003e-01	2.144648e-01	2.672406e-01	2.327824e-01
4.386259e-01	3.563276e-01	2.873158e-01	2.802240e-01	2.180145e-01	2.126332e-01	2.624488e-01	2.302335e-01
4.400000e-01	3.545163e-01	2.855605e-01	2.786890e-01	2.170482e-01	2.118253e-01	2.603409e-01	2.291000e-01
4.417494e-01	3.522231e-01	2.833406e-01	2.767497e-01	2.158198e-01	2.107995e-01	2.576806e-01	2.276604e-01
4.449018e-01	3.481135e-01	2.793714e-01	2.732867e-01	2.136044e-01	2.089520e-01	2.529588e-01	2.250832e-01
4.480835e-01	3.439970e-01	2.754069e-01	2.698334e-01	2.113674e-01	2.070899e-01	2.482969e-01	2.225150e-01
4.500000e-01	3.415335e-01	2.730396e-01	2.677743e-01	2.100202e-01	2.059702e-01	2.455432e-01	2.209889e-01
4.512947e-01	3.398766e-01	2.714496e-01	2.663924e-01	2.091106e-01	2.052148e-01	2.437067e-01	2.199677e-01
4.545357e-01	3.357554e-01	2.675024e-01	2.629661e-01	2.068362e-01	2.033287e-01	2.391664e-01	2.174211e-01
4.578069e-01	3.316372e-01	2.635684e-01	2.595575e-01	2.045463e-01	2.014336e-01	2.346101e-01	2.148136e-01
4.600000e-01	3.289012e-01	2.609602e-01	2.573012e-01	2.030156e-01	2.001691e-01	2.315362e-01	2.130133e-01
4.611085e-01	3.275264e-01	2.596513e-01	2.561700e-01	2.022437e-01	1.995321e-01	2.299703e-01	2.120817e-01
4.644408e-01	3.234296e-01	2.557564e-01	2.528088e-01	1.999323e-01	1.976281e-01	2.252473e-01	2.092255e-01
4.678041e-01	3.193493e-01	2.518859e-01	2.494758e-01	1.976139e-01	1.957231e-01	2.205460e-01	2.063429e-01
4.700000e-01	3.167027e-01	2.493820e-01	2.473223e-01	1.961015e-01	1.944819e-01	2.175650e-01	2.045111e-01
4.711987e-01	3.152635e-01	2.480226e-01	2.461539e-01	1.952762e-01	1.938050e-01	2.159786e-01	2.035386e-01
4.746249e-01	3.111740e-01	2.441681e-01	2.428445e-01	1.929207e-01	1.918748e-01	2.115684e-01	2.008338e-01
4.780830e-01	3.070842e-01	2.403253e-01	2.395499e-01	1.905494e-01	1.899346e-01	2.072072e-01	1.981259e-01
4.800000e-01	3.048343e-01	2.382163e-01	2.377441e-01	1.892384e-01	1.888632e-01	2.047847e-01	1.965933e-01
4.815733e-01	3.029976e-01	2.364972e-01	2.362732e-01	1.881647e-01	1.879865e-01	2.027797e-01	1.953055e-01
4.850961e-01	2.989187e-01	2.326873e-01	2.330175e-01	1.857693e-01	1.860330e-01	1.982684e-01	1.923566e-01
4.886518e-01	2.948528e-01	2.289001e-01	2.297871e-01	1.833668e-01	1.840774e-01	1.937677e-01	1.893692e-01
4.900000e-01	2.933273e-01	2.274813e-01	2.285788e-01	1.824615e-01	1.833418e-01	1.920952e-01	1.882533e-01
4.922405e-01	2.908094e-01	2.251429e-01	2.265892e-01	1.809627e-01	1.821252e-01	1.893722e-01	1.864340e-01
4.958627e-01	2.867728e-01	2.214037e-01	2.234114e-01	1.785485e-01	1.801675e-01	1.851028e-01	1.835716e-01
4.995187e-01	2.827331e-01	2.176750e-01	2.202459e-01	1.761188e-01	1.781989e-01	1.809263e-01	1.807521e-01
5.000000e-01	2.822039e-01	2.171876e-01	2.198323e-01	1.757996e-01	1.779403e-01	1.803844e-01	1.803844e-01
5.032087e-01	2.786938e-01	2.139599e-01	2.170954e-01	1.736762e-01	1.762213e-01	1.768049e-01	1.779402e-01
5.069330e-01	2.746591e-01	2.102617e-01	2.139629e-01	1.712233e-01	1.742373e-01	1.726793e-01	1.750745e-01
5.100000e-01	2.713708e-01	2.072567e-01	2.114205e-01	1.692147e-01	1.726143e-01	1.692603e-01	1.726456e-01
5.106921e-01	2.706333e-01	2.065837e-01	2.108516e-01	1.687630e-01	1.722495e-01	1.684823e-01	1.720849e-01
5.144861e-01	2.666220e-01	2.029306e-01	2.077658e-01	1.662988e-01	1.702612e-01	1.641974e-01	1.689531e-01
5.183154e-01	2.626342e-01	1.993091e-01	2.047122e-01	1.638363e-01	1.682777e-01	1.599261e-01	1.657836e-01
5.200000e-01	2.608984e-01	1.977361e-01	2.033875e-01	1.627606e-01	1.674123e-01	1.580940e-01	1.644178e-01
5.221804e-01	2.586644e-01	1.957152e-01	2.016863e-01	1.613727e-01	1.662961e-01	1.557810e-01	1.626924e-01
5.260812e-01	2.546938e-01	1.921348e-01	1.986734e-01	1.588978e-01	1.643053e-01	1.517745e-01	1.596925e-01
5.300000e-01	2.507448e-01	1.885876e-01	1.956901e-01	1.564258e-01	1.623170e-01	1.478522e-01	1.567233e-01
5.300184e-01	2.507264e-01	1.885711e-01	1.956762e-01	1.564142e-01	1.623077e-01	1.478339e-01	1.567094e-01
5.339920e-01	2.467662e-01	1.850274e-01	1.926978e-01	1.539248e-01	1.603058e-01	1.438996e-01	1.536820e-01
5.380026e-01	2.428182e-01	1.815074e-01	1.897415e-01	1.514327e-01	1.583025e-01	1.399736e-01	1.506121e-01
5.400000e-01	2.408713e-01	1.797762e-01	1.882885e-01	1.502000e-01	1.573119e-01	1.380401e-01	1.490833e-01
5.420503e-01	2.388879e-01	1.780154e-01	1.868116e-01	1.489416e-01	1.563012e-01	1.360729e-01	1.475168e-01
5.461356e-01	2.349850e-01	1.745587e-01	1.839151e-01	1.464575e-01	1.543077e-01	1.322070e-01	1.444059e-01
5.500000e-01	2.313455e-01	1.713460e-01	1.812257e-01	1.441322e-01	1.524428e-01	1.286162e-01	1.414778e-01
5.502587e-01	2.311032e-01	1.711326e-01	1.810471e-01	1.439771e-01	1.523184e-01	1.283781e-01	1.412823e-01
5.544199e-01	2.272246e-01	1.677239e-01	1.781930e-01	1.414908e-01	1.503225e-01	1.245840e-01	1.381440e-01
5.586196e-01	2.233532e-01	1.643358e-01	1.753558e-01	1.390014e-01	1.483225e-01	1.208100e-01	1.349738e-01
5.600000e-01	2.220907e-01	1.632340e-01	1.744330e-01	1.381879e-01	1.476686e-01	1.195784e-01	1.339278e-01
5.628580e-01	2.194935e-01	1.609718e-01	1.725385e-01	1.365119e-01	1.463210e-01	1.170429e-01	1.317566e-01
5.671355e-01	2.156505e-01	1.576356e-01	1.697447e-01	1.340256e-01	1.443210e-01	1.133192e-01	1.285342e-01
5.700000e-01	2.131084e-01	1.554357e-01	1.679028e-01	1.323768e-01	1.429944e-01	1.109016e-01	1.264278e-01
5.714524e-01	2.118307e-01	1.543319e-01	1.669790e-01	1.315467e-01	1.423266e-01	1.097054e-01	1.253831e-01
5.758090e-01	2.080443e-01	1.510683e-01	1.642493e-01	1.290816e-01	1.403442e-01	1.062182e-01	1.223232e-01
5.800000e-01	2.044511e-01	1.479835e-01	1.616684e-01	1.267363e-01	1.384563e-01	1.029550e-01	1.194278e-01
5.802056e-01	2.042759e-01	1.478334e-01	1.615427e-01	1.266218e-01	1.383641e-01	1.027962e-01	1.192858e-01
5.846425e-01	2.005160e-01	1.446207e-01	1.588516e-01	1.241627e-01	1.363805e-01	9.938488e-02	1.162092e-01
5.891200e-01	1.967690e-01	1.414332e-01	1.561789e-01	1.217070e-01	1.343961e-01	9.597647e-02	1.130834e-01
5.900000e-01	1.960384e-01	1.408134e-01	1.556588e-01	1.212277e-01	1.340083e-01	9.531073e-02	1.124667e-01
5.936384e-01	1.930395e-01	1.382745e-01	1.535277e-01	1.192581e-01	1.324136e-01	9.257892e-02	1.099164e-01
5.981981e-01	1.893330e-01	1.351484e-01	1.509018e-01	1.168195e-01	1.304364e-01	8.924196e-02	1.067685e-01
6.000000e-01	1.878851e-01	1.339306e-01	1.498785e-01	1.158655e-01	1.296622e-01	8.796296e-02	1.055556e-01
6.027992e-01	1.856570e-01	1.320603e-01	1.483068e-01	1.143959e-01	1.284692e-01	8.602862e-02	1.037163e-01
6.074422e-01	1.820173e-01	1.290141e-01	1.457467e-01	1.119910e-01	1.265157e-01	8.292674e-02	1.007467e-01
6.100000e-01	1.800323e-01	1.273590e-01	1.443535e-01	1.106783e-01	1.254470e-01	8.125228e-02	9.912778e-02
