x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
1.000000e-02	1.539569e+02	1.377841e+02	1.167952e+02	5.616938e+01	4.937811e+01	1.428889e+01	2.857778e-01
2.000000e-02	3.644779e+01	3.261338e+01	2.788650e+01	1.276279e+01	1.117490e+01	6.988889e+00	2.795556e-01
3.000000e-02	1.435583e+01	1.288740e+01	1.115799e+01	4.783025e+00	4.185785e+00	4.716667e+00	2.830000e-01
4.000000e-02	7.103362e+00	6.416807e+00	5.644990e+00	2.231945e+00	1.960214e+00	3.637500e+00	2.910000e-01
5.000000e-02	4.059683e+00	3.698903e+00	3.313965e+00	1.196301e+00	1.059554e+00	2.977778e+00	2.977778e-01
6.000000e-02	2.591106e+00	2.383534e+00	2.175519e+00	7.175293e-01	6.440270e-01	2.547222e+00	3.056667e-01
7.000000e-02	1.815921e+00	1.685063e+00	1.563534e+00	4.786381e-01	4.367315e-01	2.230952e+00	3.123333e-01
8.000000e-02	1.380179e+00	1.288498e+00	1.210406e+00	3.541164e-01	3.283488e-01	1.993056e+00	3.188889e-01
9.000000e-02	1.123326e+00	1.051106e+00	9.945793e-01	2.879198e-01	2.702130e-01	1.807654e+00	3.253778e-01
1.000000e-01	9.658601e-01	9.022685e-01	8.557347e-01	2.528000e-01	2.387384e-01	1.657556e+00	3.315111e-01
1.100000e-01	8.657540e-01	8.046738e-01	7.618856e-01	2.346587e-01	2.217636e-01	1.534141e+00	3.375111e-01
1.200000e-01	7.996466e-01	7.375883e-01	6.951787e-01	2.258587e-01	2.127256e-01	1.429630e+00	3.431111e-01
1.300000e-01	7.540392e-01	6.890299e-01	6.452403e-01	2.221232e-01	2.079645e-01	1.340085e+00	3.484222e-01
1.400000e-01	7.208932e-01	6.518583e-01	6.058469e-01	2.210022e-01	2.053939e-01	1.264167e+00	3.539667e-01
1.500000e-01	6.953102e-01	6.217172e-01	5.731697e-01	2.210750e-01	2.038111e-01	1.197481e+00	3.592444e-01
1.600000e-01	6.742553e-01	5.959012e-01	5.448060e-01	2.215162e-01	2.025223e-01	1.139444e+00	3.646222e-01
1.653870e-01	6.640908e-01	5.831619e-01	5.307525e-01	2.217308e-01	2.018036e-01	1.110024e+00	3.671631e-01
1.669740e-01	6.612085e-01	5.795245e-01	5.267394e-01	2.217805e-01	2.015800e-01	1.101598e+00	3.678735e-01
1.685841e-01	6.583278e-01	5.758799e-01	5.227197e-01	2.218228e-01	2.013461e-01	1.093187e+00	3.685866e-01
1.700000e-01	6.558273e-01	5.727101e-01	5.192252e-01	2.218525e-01	2.011339e-01	1.085915e+00	3.692111e-01
1.702179e-01	6.554450e-01	5.722250e-01	5.186906e-01	2.218564e-01	2.011006e-01	1.084807e+00	3.693072e-01
1.718757e-01	6.525553e-01	5.685555e-01	5.146485e-01	2.218795e-01	2.008423e-01	1.076466e+00	3.700383e-01
1.735582e-01	6.496511e-01	5.648646e-01	5.105875e-01	2.218898e-01	2.005687e-01	1.068158e+00	3.707774e-01
1.752657e-01	6.467241e-01	5.611450e-01	5.065014e-01	2.218844e-01	2.002776e-01	1.059872e+00	3.715209e-01
1.769988e-01	6.438084e-01	5.574269e-01	5.024174e-01	2.218722e-01	1.999768e-01	1.051600e+00	3.722656e-01
1.787579e-01	6.409068e-01	5.537126e-01	4.983381e-01	2.218535e-01	1.996669e-01	1.043330e+00	3.730079e-01
1.800000e-01	6.388910e-01	5.511242e-01	4.954961e-01	2.218361e-01	1.994449e-01	1.037562e+00	3.735222e-01
1.805438e-01	6.380166e-01	5.499996e-01	4.942615e-01	2.218273e-01	1.993468e-01	1.035054e+00	3.737445e-01
1.823567e-01	6.351351e-01	5.462855e-01	4.901854e-01	2.217922e-01	1.990156e-01	1.026766e+00	3.744741e-01
1.841974e-01	6.322591e-01	5.425673e-01	4.861077e-01	2.217470e-01	1.986720e-01	1.018474e+00	3.751989e-01
1.860665e-01	6.293852e-01	5.388422e-01	4.820260e-01	2.216904e-01	1.983151e-01	1.010185e+00	3.759215e-01
1.879644e-01	6.265092e-01	5.351063e-01	4.779372e-01	2.216205e-01	1.979432e-01	1.001907e+00	3.766445e-01
1.898918e-01	6.236257e-01	5.313550e-01	4.738375e-01	2.215354e-01	1.975549e-01	9.936464e-01	3.773705e-01
1.900000e-01	6.234648e-01	5.311456e-01	4.736088e-01	2.215302e-01	1.975327e-01	9.931871e-01	3.774111e-01
1.918493e-01	6.207260e-01	5.275811e-01	4.697208e-01	2.214321e-01	1.971475e-01	9.854071e-01	3.781005e-01
1.938376e-01	6.178029e-01	5.237781e-01	4.655821e-01	2.213080e-01	1.967188e-01	9.771737e-01	3.788281e-01
1.958573e-01	6.148934e-01	5.199782e-01	4.614500e-01	2.211729e-01	1.962779e-01	9.689257e-01	3.795445e-01
1.979091e-01	6.119987e-01	5.161821e-01	4.573259e-01	2.210267e-01	1.958247e-01	9.606423e-01	3.802411e-01
1.999937e-01	6.091152e-01	5.123870e-01	4.532074e-01	2.208678e-01	1.953580e-01	9.523028e-01	3.809092e-01
2.000000e-01	6.091066e-01	5.123757e-01	4.531951e-01	2.208673e-01	1.953566e-01	9.522778e-01	3.809111e-01
2.021118e-01	6.062394e-01	5.085895e-01	4.490921e-01	2.206946e-01	1.948766e-01	9.438932e-01	3.815428e-01
2.042641e-01	6.033668e-01	5.047859e-01	4.449772e-01	2.205053e-01	1.943791e-01	9.354266e-01	3.821465e-01
2.064513e-01	6.004927e-01	5.009722e-01	4.408595e-01	2.202979e-01	1.938639e-01	9.269230e-01	3.827275e-01
2.086743e-01	5.976109e-01	4.971432e-01	4.367352e-01	2.200699e-01	1.933292e-01	9.184023e-01	3.832933e-01
2.100000e-01	5.959078e-01	4.948795e-01	4.343022e-01	2.199250e-01	1.930044e-01	9.133862e-01	3.836222e-01
2.109338e-01	5.947119e-01	4.932911e-01	4.325979e-01	2.198180e-01	1.927722e-01	9.098842e-01	3.838510e-01
2.132307e-01	5.917851e-01	4.894070e-01	4.284406e-01	2.195382e-01	1.921899e-01	9.013768e-01	3.844033e-01
2.155657e-01	5.888671e-01	4.855220e-01	4.242910e-01	2.192406e-01	1.915914e-01	8.928744e-01	3.849471e-01
2.179398e-01	5.859604e-01	4.816380e-01	4.201516e-01	2.189254e-01	1.909771e-01	8.843698e-01	3.854793e-01
2.200000e-01	5.834825e-01	4.783174e-01	4.166206e-01	2.186406e-01	1.904388e-01	8.770960e-01	3.859222e-01
2.203538e-01	5.830608e-01	4.777516e-01	4.160198e-01	2.185905e-01	1.903458e-01	8.758564e-01	3.859964e-01
2.228086e-01	5.801636e-01	4.738588e-01	4.118931e-01	2.182340e-01	1.896959e-01	8.673300e-01	3.864964e-01
2.253052e-01	5.772634e-01	4.699553e-01	4.077683e-01	2.178535e-01	1.890260e-01	8.587941e-01	3.869805e-01
2.278446e-01	5.743534e-01	4.660356e-01	4.036415e-01	2.174462e-01	1.883340e-01	8.502532e-01	3.874504e-01
2.300000e-01	5.719083e-01	4.627430e-01	4.001881e-01	2.170830e-01	1.877371e-01	8.431159e-01	3.878333e-01
2.304276e-01	5.714243e-01	4.620923e-01	3.995072e-01	2.170086e-01	1.876173e-01	8.417121e-01	3.879077e-01
2.330555e-01	5.684599e-01	4.581124e-01	3.953552e-01	2.165349e-01	1.868716e-01	8.331623e-01	3.883476e-01
2.357291e-01	5.654910e-01	4.541214e-01	3.912082e-01	2.160337e-01	1.861048e-01	8.245636e-01	3.887492e-01
2.384497e-01	5.625286e-01	4.501284e-01	3.870753e-01	2.155076e-01	1.853197e-01	8.158707e-01	3.890892e-01
2.400000e-01	5.608646e-01	4.478817e-01	3.847574e-01	2.152001e-01	1.848699e-01	8.109259e-01	3.892444e-01
2.412182e-01	5.595684e-01	4.461301e-01	3.829544e-01	2.149545e-01	1.845152e-01	8.070401e-01	3.893448e-01
2.440359e-01	5.566059e-01	4.421227e-01	3.788434e-01	2.143723e-01	1.836900e-01	7.980740e-01	3.895157e-01
2.469040e-01	5.536352e-01	4.381021e-01	3.747399e-01	2.137584e-01	1.828427e-01	7.890287e-01	3.896274e-01
2.498236e-01	5.506498e-01	4.340629e-01	3.706404e-01	2.131099e-01	1.819716e-01	7.799639e-01	3.897068e-01
2.500000e-01	5.504706e-01	4.338206e-01	3.703952e-01	2.130699e-01	1.819187e-01	7.794222e-01	3.897111e-01
2.527961e-01	5.476395e-01	4.299977e-01	3.665398e-01	2.124229e-01	1.810741e-01	7.709280e-01	3.897758e-01
2.558227e-01	5.445959e-01	4.259001e-01	3.624341e-01	2.116942e-01	1.801483e-01	7.619162e-01	3.898314e-01
2.589048e-01	5.415479e-01	4.217936e-01	3.583445e-01	2.109317e-01	1.792019e-01	7.529083e-01	3.898631e-01
2.600000e-01	5.404772e-01	4.203502e-01	3.569133e-01	2.106560e-01	1.788650e-01	7.497436e-01	3.898667e-01
2.620437e-01	5.384947e-01	4.176775e-01	3.542720e-01	2.101345e-01	1.782351e-01	7.438820e-01	3.898596e-01
2.652409e-01	5.354319e-01	4.135489e-01	3.502155e-01	2.093003e-01	1.772468e-01	7.347962e-01	3.897969e-01
2.684979e-01	5.323548e-01	4.094044e-01	3.461736e-01	2.084270e-01	1.762363e-01	7.255964e-01	3.896427e-01
2.700000e-01	5.309485e-01	4.075124e-01	3.443390e-01	2.080160e-01	1.757689e-01	7.213580e-01	3.895333e-01
2.718162e-01	5.292577e-01	4.052401e-01	3.421446e-01	2.075120e-01	1.752026e-01	7.162310e-01	3.893659e-01
2.751973e-01	5.261322e-01	4.010499e-01	3.381252e-01	2.065519e-01	1.741440e-01	7.067049e-01	3.889659e-01
2.786428e-01	5.229698e-01	3.968281e-01	3.341123e-01	2.055436e-01	1.730589e-01	6.970736e-01	3.884690e-01
2.800000e-01	5.217353e-01	3.951822e-01	3.325577e-01	2.051399e-01	1.726313e-01	6.933135e-01	3.882556e-01
2.821545e-01	5.197898e-01	3.925900e-01	3.301205e-01	2.044921e-01	1.719530e-01	6.873929e-01	3.879019e-01
2.857341e-01	5.165922e-01	3.883360e-01	3.261523e-01	2.033966e-01	1.708270e-01	6.776990e-01	3.872829e-01
2.893834e-01	5.133738e-01	3.840644e-01	3.222080e-01	2.022556e-01	1.696809e-01	6.680142e-01	3.866242e-01
2.900000e-01	5.128338e-01	3.833488e-01	3.215514e-01	2.020605e-01	1.694875e-01	6.663985e-01	3.865111e-01
2.931041e-01	5.101312e-01	3.797730e-01	3.182882e-01	2.010675e-01	1.685148e-01	6.583458e-01	3.859290e-01
2.968983e-01	5.068599e-01	3.754595e-01	3.143927e-01	1.998301e-01	1.673287e-01	6.486066e-01	3.851418e-01
3.000000e-01	5.042072e-01	3.719760e-01	3.112808e-01	1.987989e-01	1.663610e-01	6.406481e-01	3.843889e-01
3.007678e-01	5.035534e-01	3.711194e-01	3.105204e-01	1.985410e-01	1.661218e-01	6.386709e-01	3.841829e-01
3.047148e-01	5.002109e-01	3.667533e-01	3.066739e-01	1.971992e-01	1.648952e-01	6.284852e-01	3.830159e-01
3.087414e-01	4.968372e-01	3.623653e-01	3.028593e-01	1.958058e-01	1.636514e-01	6.181583e-01	3.817015e-01
3.100000e-01	4.957898e-01	3.610071e-01	3.016892e-01	1.953653e-01	1.632644e-01	6.149642e-01	3.812778e-01
3.128496e-01	4.934310e-01	3.579554e-01	2.990790e-01	1.943598e-01	1.623916e-01	6.078109e-01	3.803077e-01
3.170419e-01	4.899913e-01	3.535238e-01	2.953358e-01	1.928608e-01	1.611170e-01	5.974562e-01	3.788379e-01
3.200000e-01	4.875854e-01	3.504375e-01	2.927630e-01	1.917895e-01	1.602251e-01	5.902431e-01	3.777556e-01
3.213206e-01	4.865169e-01	3.490704e-01	2.916325e-01	1.913079e-01	1.598290e-01	5.870424e-01	3.772573e-01
