x	F1_NLO_TMC_only	F1_NLO_TMC_only_alternative	F1_NLO_TMC_HT_prelim	F2_NLO_TMC_only	F2_NLO_TMC_HT	F1_LO	F2_LO
3.758185e-01	4.850607e-01	3.960515e-01	3.741399e-01	2.684230e-01	2.535724e-01	3.860720e-01	2.901869e-01
3.787292e-01	4.805626e-01	3.914376e-01	3.700538e-01	2.664533e-01	2.518973e-01	3.803408e-01	2.880928e-01
3.800000e-01	4.786083e-01	3.894367e-01	3.682854e-01	2.655899e-01	2.511651e-01	3.778509e-01	2.871667e-01
3.816708e-01	4.760483e-01	3.868189e-01	3.659751e-01	2.644520e-01	2.502019e-01	3.745863e-01	2.859367e-01
3.846437e-01	4.715206e-01	3.821980e-01	3.619063e-01	2.624202e-01	2.484878e-01	3.688181e-01	2.837258e-01
3.876482e-01	4.669827e-01	3.775777e-01	3.578501e-01	2.603597e-01	2.467565e-01	3.630695e-01	2.814854e-01
3.900000e-01	4.634590e-01	3.739974e-01	3.547155e-01	2.587433e-01	2.454034e-01	3.586467e-01	2.797444e-01
3.906847e-01	4.624380e-01	3.729612e-01	3.538096e-01	2.582722e-01	2.450099e-01	3.573740e-01	2.792415e-01
3.937537e-01	4.578912e-01	3.683524e-01	3.497885e-01	2.561600e-01	2.432503e-01	3.517388e-01	2.769985e-01
3.968555e-01	4.533507e-01	3.637586e-01	3.457938e-01	2.540275e-01	2.414819e-01	3.461152e-01	2.747169e-01
3.999906e-01	4.488049e-01	3.591703e-01	3.418166e-01	2.518689e-01	2.396995e-01	3.404476e-01	2.723517e-01
4.000000e-01	4.487913e-01	3.591566e-01	3.418047e-01	2.518624e-01	2.396942e-01	3.404306e-01	2.723444e-01
4.031593e-01	4.442402e-01	3.545772e-01	3.378470e-01	2.496774e-01	2.378967e-01	3.347010e-01	2.698741e-01
4.063622e-01	4.396597e-01	3.499820e-01	3.338876e-01	2.474548e-01	2.360752e-01	3.289225e-01	2.673216e-01
4.095996e-01	4.350669e-01	3.453879e-01	3.299414e-01	2.452029e-01	2.342369e-01	3.231799e-01	2.647485e-01
4.100000e-01	4.345015e-01	3.448233e-01	3.294573e-01	2.449241e-01	2.340098e-01	3.224797e-01	2.644333e-01
4.128719e-01	4.304653e-01	3.407982e-01	3.260115e-01	2.429237e-01	2.323836e-01	3.175265e-01	2.621969e-01
4.161796e-01	4.258596e-01	3.362166e-01	3.221015e-01	2.406196e-01	2.305179e-01	3.119300e-01	2.596393e-01
4.195231e-01	4.212560e-01	3.316484e-01	3.182165e-01	2.382939e-01	2.286428e-01	3.063274e-01	2.570231e-01
4.200000e-01	4.206046e-01	3.310028e-01	3.176685e-01	2.379630e-01	2.283768e-01	3.055291e-01	2.566444e-01
4.229029e-01	4.166632e-01	3.271009e-01	3.143632e-01	2.359513e-01	2.267631e-01	3.006674e-01	2.543053e-01
4.263194e-01	4.120576e-01	3.225555e-01	3.105240e-01	2.335800e-01	2.248673e-01	2.949706e-01	2.515023e-01
4.297732e-01	4.074349e-01	3.180093e-01	3.066958e-01	2.311780e-01	2.229537e-01	2.892845e-01	2.486534e-01
4.300000e-01	4.071325e-01	3.177125e-01	3.064463e-01	2.310202e-01	2.228281e-01	2.889147e-01	2.484667e-01
4.332645e-01	4.027988e-01	3.134657e-01	3.028819e-01	2.287476e-01	2.210242e-01	2.836487e-01	2.457905e-01
4.367940e-01	3.981537e-01	3.089285e-01	2.990856e-01	2.262912e-01	2.190812e-01	2.780615e-01	2.429118e-01
4.400000e-01	3.939741e-01	3.048583e-01	2.956911e-01	2.240629e-01	2.173253e-01	2.730682e-01	2.403000e-01
4.403620e-01	3.935047e-01	3.044018e-01	2.953110e-01	2.238116e-01	2.171276e-01	2.725087e-01	2.400049e-01
4.439691e-01	3.888580e-01	2.998909e-01	2.915629e-01	2.213123e-01	2.151665e-01	2.669837e-01	2.370642e-01
4.476158e-01	3.842250e-01	2.954047e-01	2.878501e-01	2.187995e-01	2.132039e-01	2.615021e-01	2.341042e-01
4.500000e-01	3.812245e-01	2.925067e-01	2.854587e-01	2.171611e-01	2.119286e-01	2.579827e-01	2.321844e-01
4.513025e-01	3.795920e-01	2.909330e-01	2.841622e-01	2.162664e-01	2.112332e-01	2.560829e-01	2.311422e-01
4.550297e-01	3.749417e-01	2.864628e-01	2.804864e-01	2.137046e-01	2.092462e-01	2.507069e-01	2.281598e-01
4.587979e-01	3.702785e-01	2.819978e-01	2.768264e-01	2.111169e-01	2.072452e-01	2.452988e-01	2.250859e-01
4.600000e-01	3.687996e-01	2.805855e-01	2.756710e-01	2.102923e-01	2.066090e-01	2.435664e-01	2.240811e-01
4.626077e-01	3.656072e-01	2.775423e-01	2.731856e-01	2.085060e-01	2.052329e-01	2.397912e-01	2.218569e-01
4.664595e-01	3.609335e-01	2.731008e-01	2.695685e-01	2.058752e-01	2.032123e-01	2.342539e-01	2.185378e-01
4.700000e-01	3.566859e-01	2.690775e-01	2.663031e-01	2.034682e-01	2.013702e-01	2.293215e-01	2.155622e-01
4.703539e-01	3.562644e-01	2.686789e-01	2.659802e-01	2.032285e-01	2.011872e-01	2.288413e-01	2.152731e-01
4.742913e-01	3.516122e-01	2.642861e-01	2.624299e-01	2.005727e-01	1.991640e-01	2.236374e-01	2.121408e-01
4.782724e-01	3.469610e-01	2.599106e-01	2.589059e-01	1.979001e-01	1.971350e-01	2.185076e-01	2.090134e-01
4.800000e-01	3.449539e-01	2.580286e-01	2.573931e-01	1.967419e-01	1.962573e-01	2.162778e-01	2.076267e-01
4.822975e-01	3.422954e-01	2.555415e-01	2.553965e-01	1.952034e-01	1.950926e-01	2.132844e-01	2.057321e-01
4.863674e-01	3.376205e-01	2.511828e-01	2.519056e-01	1.924856e-01	1.930396e-01	2.079482e-01	2.022774e-01
4.900000e-01	3.334875e-01	2.473447e-01	2.488405e-01	1.900701e-01	1.912195e-01	2.032234e-01	1.991589e-01
4.904825e-01	3.329417e-01	2.468388e-01	2.484371e-01	1.897502e-01	1.909788e-01	2.026026e-01	1.987462e-01
4.946433e-01	3.282653e-01	2.425148e-01	2.449957e-01	1.870008e-01	1.889137e-01	1.973382e-01	1.952240e-01
4.988504e-01	3.235999e-01	2.382171e-01	2.415874e-01	1.842423e-01	1.868490e-01	1.921978e-01	1.917558e-01
5.000000e-01	3.223388e-01	2.370578e-01	2.406705e-01	1.834939e-01	1.862903e-01	1.908289e-01	1.908289e-01
5.031044e-01	3.189577e-01	2.339550e-01	2.382213e-01	1.814817e-01	1.847911e-01	1.872066e-01	1.883694e-01
5.074059e-01	3.143105e-01	2.297080e-01	2.348762e-01	1.787050e-01	1.827256e-01	1.823053e-01	1.850060e-01
5.100000e-01	3.115273e-01	2.271746e-01	2.328844e-01	1.770363e-01	1.814859e-01	1.793747e-01	1.829622e-01
5.117553e-01	3.096529e-01	2.254727e-01	2.315479e-01	1.759102e-01	1.806500e-01	1.773896e-01	1.815601e-01
5.161533e-01	3.049908e-01	2.212535e-01	2.282404e-01	1.731009e-01	1.785673e-01	1.724107e-01	1.779808e-01
5.200000e-01	3.009565e-01	2.176183e-01	2.253978e-01	1.706605e-01	1.767613e-01	1.680673e-01	1.747900e-01
5.206005e-01	3.003307e-01	2.170556e-01	2.249584e-01	1.702811e-01	1.764809e-01	1.673916e-01	1.742881e-01
5.250973e-01	2.956805e-01	2.128851e-01	2.217075e-01	1.674556e-01	1.743953e-01	1.623835e-01	1.705331e-01
5.296445e-01	2.910529e-01	2.087510e-01	2.184967e-01	1.646313e-01	1.723173e-01	1.574997e-01	1.668375e-01
5.300000e-01	2.906944e-01	2.084313e-01	2.182490e-01	1.644120e-01	1.721562e-01	1.571289e-01	1.665567e-01
5.342426e-01	2.864438e-01	2.046507e-01	2.153227e-01	1.618069e-01	1.702447e-01	1.528194e-01	1.632870e-01
5.388921e-01	2.818259e-01	2.005648e-01	2.121646e-01	1.589691e-01	1.681632e-01	1.481973e-01	1.597254e-01
5.400000e-01	2.807323e-01	1.996005e-01	2.114200e-01	1.582960e-01	1.676696e-01	1.470885e-01	1.588556e-01
5.435938e-01	2.772051e-01	1.964982e-01	2.090264e-01	1.561219e-01	1.660759e-01	1.434498e-01	1.559551e-01
5.483482e-01	2.725882e-01	1.924557e-01	2.059127e-01	1.532694e-01	1.639863e-01	1.386648e-01	1.520724e-01
5.500000e-01	2.709983e-01	1.910684e-01	2.048456e-01	1.522853e-01	1.632660e-01	1.370465e-01	1.507511e-01
5.531558e-01	2.679830e-01	1.884433e-01	2.028288e-01	1.504162e-01	1.618988e-01	1.340484e-01	1.483004e-01
5.580174e-01	2.634008e-01	1.844688e-01	1.997826e-01	1.475689e-01	1.598194e-01	1.296005e-01	1.446393e-01
5.600000e-01	2.615571e-01	1.828741e-01	1.985636e-01	1.464205e-01	1.589824e-01	1.278175e-01	1.431556e-01
5.629335e-01	2.588495e-01	1.805379e-01	1.967796e-01	1.447319e-01	1.577524e-01	1.251903e-01	1.409470e-01
5.679047e-01	2.542962e-01	1.766279e-01	1.937944e-01	1.418896e-01	1.556799e-01	1.207837e-01	1.371869e-01
5.700000e-01	2.523919e-01	1.749994e-01	1.925514e-01	1.406999e-01	1.548117e-01	1.189522e-01	1.356056e-01
