     Q2          W           W1         W2           x
 0.10000E+02 0.17300E+01 0.36332E-02 0.87254E-03 0.82562E+00
 0.10000E+02 0.17400E+01 0.38032E-02 0.90813E-03 0.82326E+00
 0.10000E+02 0.17500E+01 0.39788E-02 0.94463E-03 0.82090E+00
 0.10000E+02 0.17600E+01 0.41602E-02 0.98203E-03 0.81854E+00
 0.10000E+02 0.17700E+01 0.43476E-02 0.10204E-02 0.81619E+00
 0.10000E+02 0.17800E+01 0.45410E-02 0.10596E-02 0.81383E+00
 0.10000E+02 0.17900E+01 0.47407E-02 0.10998E-02 0.81147E+00
 0.10000E+02 0.18000E+01 0.49467E-02 0.11409E-02 0.80911E+00
 0.10000E+02 0.18100E+01 0.51591E-02 0.11830E-02 0.80676E+00
 0.10000E+02 0.18200E+01 0.53781E-02 0.12260E-02 0.80440E+00
 0.10000E+02 0.18300E+01 0.56039E-02 0.12700E-02 0.80205E+00
 0.10000E+02 0.18400E+01 0.58365E-02 0.13150E-02 0.79969E+00
 0.10000E+02 0.18500E+01 0.60761E-02 0.13609E-02 0.79734E+00
 0.10000E+02 0.18600E+01 0.63227E-02 0.14078E-02 0.79499E+00
 0.10000E+02 0.18700E+01 0.65765E-02 0.14557E-02 0.79264E+00
 0.10000E+02 0.18800E+01 0.68374E-02 0.15045E-02 0.79029E+00
 0.10000E+02 0.18900E+01 0.71056E-02 0.15542E-02 0.78794E+00
 0.10000E+02 0.19000E+01 0.73812E-02 0.16049E-02 0.78559E+00
 0.10000E+02 0.19100E+01 0.76641E-02 0.16565E-02 0.78325E+00
 0.10000E+02 0.19200E+01 0.79545E-02 0.17090E-02 0.78091E+00
 0.10000E+02 0.19300E+01 0.82524E-02 0.17624E-02 0.77857E+00
 0.10000E+02 0.19400E+01 0.85580E-02 0.18167E-02 0.77623E+00
 0.10000E+02 0.19500E+01 0.88712E-02 0.18718E-02 0.77389E+00
 0.10000E+02 0.19600E+01 0.91922E-02 0.19279E-02 0.77156E+00
 0.10000E+02 0.19700E+01 0.95209E-02 0.19848E-02 0.76922E+00
 0.10000E+02 0.19800E+01 0.98576E-02 0.20425E-02 0.76689E+00
 0.10000E+02 0.19900E+01 0.10202E-01 0.21011E-02 0.76457E+00
 0.10000E+02 0.20000E+01 0.10555E-01 0.21605E-02 0.76224E+00
 0.10000E+02 0.20200E+01 0.11284E-01 0.22818E-02 0.75760E+00
 0.10000E+02 0.20400E+01 0.12047E-01 0.24063E-02 0.75297E+00
 0.10000E+02 0.20600E+01 0.12842E-01 0.25338E-02 0.74835E+00
 0.10000E+02 0.20800E+01 0.13672E-01 0.26644E-02 0.74374E+00
 0.10000E+02 0.21000E+01 0.14537E-01 0.27981E-02 0.73914E+00
