W,GeV	Quantity	Uncertainty
1.78	0.0210435859013528	0.000293539042694752
1.77	0.0214346089310166	0.000269848193477435
1.76	0.0218328220216439	0.000245102527178298
1.75	0.0229692529860421	0.000271221792571601
1.74	0.0242478218553471	0.000305097425141624
1.73	0.0250994853487876	0.000296315644152199
1.72	0.0254292766067255	0.000242491348601164
1.71	0.0257099871845685	0.000196035019921134
1.7	0.0255235736555728	0.000188339313097429
1.69	0.0253312241882191	0.0001807066435216
1.68	0.024433087772549	0.000173691048211005
1.67	0.0234080755768151	0.000166480124944931
1.66	0.0224527222234083	0.000161314374974814
1.65	0.0215031341942261	0.00015663331752776
1.64	0.0207566567023511	0.000153550129891846
1.63	0.0201682857863746	0.000151616205619634
1.62	0.019751137409859	0.000150130546447864
1.61	0.019471860572845	0.000149011427594433
1.6	0.019487949586232	0.000152753581695776
1.59	0.0197199640096843	0.000161194574317561
1.58	0.0201635899388472	0.000167147345486567
1.57	0.0207427661652527	0.00017097035360166
1.56	0.0216897866552537	0.000184645539120399
1.55	0.0227777170331585	0.000200217703075936
1.54	0.0244131871029461	0.000203687767248513
1.53	0.0260170111681007	0.000207492878854786
1.52	0.0273620241582042	0.000208866374669033
1.51	0.0278804289212367	0.000209139535669099
1.5	0.0275836898930176	0.000210554187543834
1.49	0.025557732156655	0.0002006515943233
1.48	0.0231599046747613	0.000187595896904633
1.47	0.0210535151127892	0.000176402224423804
1.46	0.0193966311727254	0.000167851907232806
1.45	0.0180403785156471	0.000161105946469194
1.44	0.0170469945344988	0.000157578037267825
1.43	0.0163933862898686	0.000155594351464528
1.42	0.016013966751347	0.000155135015856351
1.41	0.0157073942935334	0.000154878467378904
1.4	0.0154494745557988	0.000155227236866352
1.39	0.0152341797607128	0.00015591443321122
1.38	0.0150304339115028	0.000156392457390223
1.37	0.0150286020232437	0.000158211808727083
1.36	0.0150476849507895	0.000160562894505894
1.35	0.0151367354372444	0.000163052659714356
1.34	0.0153146310267079	0.000165315337221846
1.33	0.0156244057654051	0.00017014492179212
1.32	0.0160972283067013	0.000175220298568407
1.31	0.0166679427878799	0.000181270492521393
1.3	0.0173130885044501	0.000188281055363248
1.29	0.0181240495398008	0.000196391989644925
1.28	0.0193550577228709	0.000207940129915291
1.27	0.0207190580862242	0.000219895358239137
1.26	0.0223662433316283	0.000233433177633916
1.25	0.0246627999876762	0.000252383211739449
1.24	0.0263620220210401	0.000267718651541043
1.23	0.0276696445975274	0.000282537080460155
1.22	0.0276874619797721	0.000288617340863574
1.21	0.0264772647958969	0.000284896858823694
1.2	0.0232853305381584	0.000264879977513913
1.19	0.019306450308397	0.000237618204157943
1.18	0.0156470524289581	0.000212668540863831
1.17	0.0122610784541862	0.000184328266256401
1.16	0.00965367232825737	0.000163140615098491
1.15	0.00810045635378001	0.000151520126393219
1.14	0.00638759861902602	0.000131707694131942
1.13	0.00520768125005448	0.000118982113850996
1.12	0.00418840975276373	0.00010269576315687
