     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     4.025     0.010    0.419E+00    0.384E+00    0.356E+01    0.262E+00    0.283E+00    0.134E+00    0.134E+00    0.417E-01    0.417E-01    0.000E+00    0.000E+00
     4.025     0.020    0.431E+00    0.391E+00    0.286E+01    0.218E+00    0.237E+00    0.111E+00    0.111E+00    0.335E-01    0.335E-01    0.000E+00    0.000E+00
     4.025     0.030    0.451E+00    0.397E+00    0.248E+01    0.192E+00    0.207E+00    0.969E-01    0.969E-01    0.285E-01    0.285E-01    0.000E+00    0.000E+00
     4.025     0.040    0.473E+00    0.402E+00    0.224E+01    0.174E+00    0.187E+00    0.871E-01    0.871E-01    0.251E-01    0.251E-01    0.000E+00    0.000E+00
     4.025     0.050    0.493E+00    0.405E+00    0.205E+01    0.158E+00    0.170E+00    0.790E-01    0.790E-01    0.223E-01    0.223E-01    0.000E+00    0.000E+00
     4.025     0.060    0.511E+00    0.407E+00    0.189E+01    0.144E+00    0.158E+00    0.722E-01    0.722E-01    0.199E-01    0.199E-01    0.000E+00    0.000E+00
     4.025     0.070    0.528E+00    0.408E+00    0.175E+01    0.131E+00    0.147E+00    0.663E-01    0.663E-01    0.179E-01    0.179E-01    0.000E+00    0.000E+00
     4.025     0.080    0.543E+00    0.408E+00    0.163E+01    0.119E+00    0.138E+00    0.611E-01    0.611E-01    0.162E-01    0.162E-01    0.000E+00    0.000E+00
     4.025     0.090    0.557E+00    0.407E+00    0.152E+01    0.108E+00    0.130E+00    0.565E-01    0.565E-01    0.147E-01    0.147E-01    0.000E+00    0.000E+00
     4.025     0.100    0.570E+00    0.405E+00    0.142E+01    0.985E-01    0.123E+00    0.523E-01    0.523E-01    0.133E-01    0.133E-01    0.000E+00    0.000E+00
     4.025     0.110    0.582E+00    0.403E+00    0.133E+01    0.899E-01    0.116E+00    0.484E-01    0.484E-01    0.120E-01    0.120E-01    0.000E+00    0.000E+00
     4.025     0.120    0.593E+00    0.399E+00    0.124E+01    0.822E-01    0.110E+00    0.449E-01    0.449E-01    0.109E-01    0.109E-01    0.000E+00    0.000E+00
     4.025     0.130    0.603E+00    0.395E+00    0.116E+01    0.755E-01    0.103E+00    0.417E-01    0.417E-01    0.993E-02    0.993E-02    0.000E+00    0.000E+00
     4.025     0.140    0.612E+00    0.391E+00    0.108E+01    0.695E-01    0.973E-01    0.388E-01    0.388E-01    0.902E-02    0.902E-02    0.000E+00    0.000E+00
     4.025     0.150    0.619E+00    0.386E+00    0.101E+01    0.642E-01    0.915E-01    0.361E-01    0.361E-01    0.820E-02    0.820E-02    0.000E+00    0.000E+00
     4.025     0.160    0.626E+00    0.380E+00    0.944E+00    0.595E-01    0.857E-01    0.335E-01    0.335E-01    0.744E-02    0.744E-02    0.000E+00    0.000E+00
     4.025     0.170    0.631E+00    0.374E+00    0.881E+00    0.554E-01    0.802E-01    0.312E-01    0.312E-01    0.676E-02    0.676E-02    0.000E+00    0.000E+00
     4.025     0.180    0.635E+00    0.367E+00    0.821E+00    0.516E-01    0.749E-01    0.290E-01    0.290E-01    0.613E-02    0.613E-02    0.000E+00    0.000E+00
     4.025     0.190    0.638E+00    0.360E+00    0.764E+00    0.483E-01    0.698E-01    0.270E-01    0.270E-01    0.556E-02    0.556E-02    0.000E+00    0.000E+00
     4.025     0.200    0.640E+00    0.353E+00    0.711E+00    0.453E-01    0.650E-01    0.251E-01    0.251E-01    0.503E-02    0.503E-02    0.000E+00    0.000E+00
     4.025     0.210    0.641E+00    0.346E+00    0.661E+00    0.425E-01    0.603E-01    0.233E-01    0.233E-01    0.456E-02    0.456E-02    0.000E+00    0.000E+00
     4.025     0.220    0.640E+00    0.338E+00    0.613E+00    0.400E-01    0.559E-01    0.217E-01    0.217E-01    0.412E-02    0.412E-02    0.000E+00    0.000E+00
     4.025     0.230    0.639E+00    0.330E+00    0.569E+00    0.376E-01    0.518E-01    0.201E-01    0.201E-01    0.372E-02    0.372E-02    0.000E+00    0.000E+00
     4.025     0.240    0.636E+00    0.322E+00    0.527E+00    0.354E-01    0.479E-01    0.187E-01    0.187E-01    0.336E-02    0.336E-02    0.000E+00    0.000E+00
     4.025     0.250    0.632E+00    0.314E+00    0.487E+00    0.334E-01    0.442E-01    0.173E-01    0.173E-01    0.303E-02    0.303E-02    0.000E+00    0.000E+00
     4.025     0.260    0.627E+00    0.305E+00    0.450E+00    0.315E-01    0.408E-01    0.161E-01    0.161E-01    0.273E-02    0.273E-02    0.000E+00    0.000E+00
     4.025     0.270    0.622E+00    0.296E+00    0.415E+00    0.296E-01    0.376E-01    0.149E-01    0.149E-01    0.245E-02    0.245E-02    0.000E+00    0.000E+00
     4.025     0.280    0.615E+00    0.288E+00    0.383E+00    0.279E-01    0.346E-01    0.138E-01    0.138E-01    0.220E-02    0.220E-02    0.000E+00    0.000E+00
     4.025     0.290    0.607E+00    0.279E+00    0.352E+00    0.262E-01    0.318E-01    0.128E-01    0.128E-01    0.198E-02    0.198E-02    0.000E+00    0.000E+00
     4.025     0.300    0.599E+00    0.270E+00    0.323E+00    0.247E-01    0.293E-01    0.118E-01    0.118E-01    0.177E-02    0.177E-02    0.000E+00    0.000E+00
     4.025     0.310    0.590E+00    0.261E+00    0.297E+00    0.231E-01    0.269E-01    0.110E-01    0.110E-01    0.158E-02    0.158E-02    0.000E+00    0.000E+00
     4.025     0.320    0.580E+00    0.252E+00    0.272E+00    0.217E-01    0.247E-01    0.101E-01    0.101E-01    0.142E-02    0.142E-02    0.000E+00    0.000E+00
     4.025     0.330    0.569E+00    0.243E+00    0.249E+00    0.202E-01    0.227E-01    0.935E-02    0.935E-02    0.126E-02    0.126E-02    0.000E+00    0.000E+00
     4.025     0.340    0.558E+00    0.234E+00    0.227E+00    0.189E-01    0.209E-01    0.863E-02    0.863E-02    0.112E-02    0.112E-02    0.000E+00    0.000E+00
     4.025     0.350    0.546E+00    0.224E+00    0.207E+00    0.176E-01    0.191E-01    0.795E-02    0.795E-02    0.999E-03    0.999E-03    0.000E+00    0.000E+00
     4.025     0.360    0.534E+00    0.215E+00    0.189E+00    0.164E-01    0.176E-01    0.732E-02    0.732E-02    0.887E-03    0.887E-03    0.000E+00    0.000E+00
     4.025     0.370    0.521E+00    0.206E+00    0.171E+00    0.152E-01    0.161E-01    0.673E-02    0.673E-02    0.786E-03    0.786E-03    0.000E+00    0.000E+00
     4.025     0.380    0.507E+00    0.197E+00    0.156E+00    0.141E-01    0.148E-01    0.619E-02    0.619E-02    0.694E-03    0.694E-03    0.000E+00    0.000E+00
     4.025     0.390    0.494E+00    0.188E+00    0.141E+00    0.130E-01    0.135E-01    0.568E-02    0.568E-02    0.613E-03    0.613E-03    0.000E+00    0.000E+00
     4.025     0.400    0.480E+00    0.179E+00    0.127E+00    0.120E-01    0.124E-01    0.520E-02    0.520E-02    0.540E-03    0.540E-03    0.000E+00    0.000E+00
     4.025     0.410    0.466E+00    0.170E+00    0.115E+00    0.110E-01    0.113E-01    0.476E-02    0.476E-02    0.474E-03    0.474E-03    0.000E+00    0.000E+00
     4.025     0.420    0.451E+00    0.161E+00    0.103E+00    0.101E-01    0.104E-01    0.435E-02    0.435E-02    0.416E-03    0.416E-03    0.000E+00    0.000E+00
     4.025     0.430    0.437E+00    0.153E+00    0.930E-01    0.931E-02    0.947E-02    0.397E-02    0.397E-02    0.364E-03    0.364E-03    0.000E+00    0.000E+00
     4.025     0.440    0.422E+00    0.144E+00    0.834E-01    0.852E-02    0.863E-02    0.362E-02    0.362E-02    0.318E-03    0.318E-03    0.000E+00    0.000E+00
     4.025     0.450    0.407E+00    0.136E+00    0.747E-01    0.778E-02    0.786E-02    0.329E-02    0.329E-02    0.277E-03    0.277E-03    0.000E+00    0.000E+00
     4.025     0.460    0.392E+00    0.128E+00    0.667E-01    0.709E-02    0.715E-02    0.299E-02    0.299E-02    0.241E-03    0.241E-03    0.000E+00    0.000E+00
     4.025     0.470    0.377E+00    0.120E+00    0.594E-01    0.645E-02    0.649E-02    0.271E-02    0.271E-02    0.209E-03    0.209E-03    0.000E+00    0.000E+00
     4.025     0.480    0.362E+00    0.113E+00    0.528E-01    0.585E-02    0.588E-02    0.245E-02    0.245E-02    0.181E-03    0.181E-03    0.000E+00    0.000E+00
     4.025     0.490    0.347E+00    0.105E+00    0.469E-01    0.530E-02    0.531E-02    0.222E-02    0.222E-02    0.156E-03    0.156E-03    0.000E+00    0.000E+00
     4.025     0.500    0.332E+00    0.982E-01    0.415E-01    0.478E-02    0.480E-02    0.200E-02    0.200E-02    0.134E-03    0.134E-03    0.000E+00    0.000E+00
     4.025     0.510    0.318E+00    0.913E-01    0.366E-01    0.431E-02    0.432E-02    0.179E-02    0.179E-02    0.115E-03    0.115E-03    0.000E+00    0.000E+00
     4.025     0.520    0.303E+00    0.846E-01    0.322E-01    0.387E-02    0.388E-02    0.161E-02    0.161E-02    0.982E-04    0.982E-04    0.000E+00    0.000E+00
     4.025     0.530    0.289E+00    0.783E-01    0.283E-01    0.347E-02    0.347E-02    0.144E-02    0.144E-02    0.837E-04    0.837E-04    0.000E+00    0.000E+00
     4.025     0.540    0.274E+00    0.722E-01    0.248E-01    0.310E-02    0.310E-02    0.128E-02    0.128E-02    0.711E-04    0.711E-04    0.000E+00    0.000E+00
     4.025     0.550    0.260E+00    0.664E-01    0.216E-01    0.276E-02    0.276E-02    0.114E-02    0.114E-02    0.602E-04    0.602E-04    0.000E+00    0.000E+00
     4.025     0.560    0.246E+00    0.609E-01    0.188E-01    0.244E-02    0.245E-02    0.101E-02    0.101E-02    0.508E-04    0.508E-04    0.000E+00    0.000E+00
     4.025     0.570    0.233E+00    0.556E-01    0.163E-01    0.216E-02    0.216E-02    0.890E-03    0.890E-03    0.427E-04    0.427E-04    0.000E+00    0.000E+00
     4.025     0.580    0.220E+00    0.507E-01    0.141E-01    0.190E-02    0.190E-02    0.782E-03    0.782E-03    0.357E-04    0.357E-04    0.000E+00    0.000E+00
     4.025     0.590    0.207E+00    0.460E-01    0.122E-01    0.167E-02    0.167E-02    0.684E-03    0.684E-03    0.298E-04    0.298E-04    0.000E+00    0.000E+00
     4.025     0.600    0.194E+00    0.416E-01    0.105E-01    0.145E-02    0.145E-02    0.596E-03    0.596E-03    0.247E-04    0.247E-04    0.000E+00    0.000E+00
     4.025     0.610    0.182E+00    0.375E-01    0.896E-02    0.126E-02    0.126E-02    0.516E-03    0.516E-03    0.205E-04    0.205E-04    0.000E+00    0.000E+00
     4.025     0.620    0.170E+00    0.337E-01    0.764E-02    0.109E-02    0.109E-02    0.445E-03    0.445E-03    0.168E-04    0.168E-04    0.000E+00    0.000E+00
     4.025     0.630    0.159E+00    0.302E-01    0.650E-02    0.931E-03    0.931E-03    0.381E-03    0.381E-03    0.138E-04    0.138E-04    0.000E+00    0.000E+00
     4.025     0.640    0.147E+00    0.269E-01    0.549E-02    0.791E-03    0.791E-03    0.323E-03    0.323E-03    0.112E-04    0.112E-04    0.000E+00    0.000E+00
     4.025     0.650    0.137E+00    0.238E-01    0.463E-02    0.667E-03    0.667E-03    0.272E-03    0.272E-03    0.913E-05    0.913E-05    0.000E+00    0.000E+00
     4.025     0.660    0.126E+00    0.210E-01    0.388E-02    0.557E-03    0.557E-03    0.227E-03    0.227E-03    0.736E-05    0.736E-05    0.000E+00    0.000E+00
     4.025     0.670    0.117E+00    0.185E-01    0.324E-02    0.460E-03    0.460E-03    0.188E-03    0.188E-03    0.590E-05    0.590E-05    0.000E+00    0.000E+00
     4.025     0.680    0.107E+00    0.162E-01    0.269E-02    0.375E-03    0.375E-03    0.153E-03    0.153E-03    0.470E-05    0.470E-05    0.000E+00    0.000E+00
     4.025     0.690    0.981E-01    0.140E-01    0.223E-02    0.301E-03    0.301E-03    0.122E-03    0.122E-03    0.372E-05    0.372E-05    0.000E+00    0.000E+00
     4.025     0.700    0.895E-01    0.121E-01    0.183E-02    0.236E-03    0.236E-03    0.963E-04    0.963E-04    0.293E-05    0.293E-05    0.000E+00    0.000E+00
     4.025     0.710    0.814E-01    0.104E-01    0.150E-02    0.181E-03    0.181E-03    0.738E-04    0.738E-04    0.228E-05    0.228E-05    0.000E+00    0.000E+00
     4.025     0.720    0.737E-01    0.890E-02    0.122E-02    0.134E-03    0.134E-03    0.548E-04    0.548E-04    0.177E-05    0.177E-05    0.000E+00    0.000E+00
     4.025     0.730    0.664E-01    0.755E-02    0.983E-03    0.946E-04    0.946E-04    0.387E-04    0.387E-04    0.136E-05    0.136E-05    0.000E+00    0.000E+00
     4.025     0.740    0.596E-01    0.635E-02    0.789E-03    0.617E-04    0.617E-04    0.253E-04    0.253E-04    0.104E-05    0.104E-05    0.000E+00    0.000E+00
     4.025     0.750    0.532E-01    0.530E-02    0.629E-03    0.337E-04    0.337E-04    0.140E-04    0.140E-04    0.783E-06    0.783E-06    0.000E+00    0.000E+00
     4.025     0.760    0.472E-01    0.438E-02    0.498E-03    0.116E-04    0.116E-04    0.501E-05    0.501E-05    0.585E-06    0.585E-06    0.000E+00    0.000E+00
     4.025     0.770    0.417E-01    0.359E-02    0.391E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.433E-06    0.433E-06    0.000E+00    0.000E+00
     4.025     0.780    0.366E-01    0.291E-02    0.304E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.316E-06    0.316E-06    0.000E+00    0.000E+00
     4.025     0.790    0.318E-01    0.234E-02    0.235E-03    0.000E+00    0.000E+00    0.000E+00    0.000E+00    0.230E-06    0.230E-06    0.000E+00    0.000E+00
