     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     4.025     0.010    0.417E+00    0.381E+00    0.357E+01    0.262E+00    0.280E+00    0.134E+00    0.134E+00    0.418E-01    0.418E-01    0.000E+00    0.000E+00
     4.025     0.020    0.430E+00    0.389E+00    0.287E+01    0.220E+00    0.233E+00    0.111E+00    0.111E+00    0.336E-01    0.336E-01    0.000E+00    0.000E+00
     4.025     0.030    0.450E+00    0.396E+00    0.248E+01    0.194E+00    0.204E+00    0.967E-01    0.967E-01    0.286E-01    0.286E-01    0.000E+00    0.000E+00
     4.025     0.040    0.471E+00    0.402E+00    0.224E+01    0.176E+00    0.184E+00    0.870E-01    0.870E-01    0.252E-01    0.252E-01    0.000E+00    0.000E+00
     4.025     0.050    0.490E+00    0.406E+00    0.205E+01    0.159E+00    0.168E+00    0.788E-01    0.788E-01    0.224E-01    0.224E-01    0.000E+00    0.000E+00
     4.025     0.060    0.508E+00    0.408E+00    0.189E+01    0.145E+00    0.156E+00    0.721E-01    0.721E-01    0.200E-01    0.200E-01    0.000E+00    0.000E+00
     4.025     0.070    0.525E+00    0.409E+00    0.176E+01    0.132E+00    0.145E+00    0.663E-01    0.663E-01    0.181E-01    0.181E-01    0.000E+00    0.000E+00
     4.025     0.080    0.541E+00    0.408E+00    0.164E+01    0.120E+00    0.137E+00    0.611E-01    0.611E-01    0.163E-01    0.163E-01    0.000E+00    0.000E+00
     4.025     0.090    0.555E+00    0.407E+00    0.153E+01    0.109E+00    0.129E+00    0.564E-01    0.564E-01    0.148E-01    0.148E-01    0.000E+00    0.000E+00
     4.025     0.100    0.568E+00    0.405E+00    0.143E+01    0.993E-01    0.122E+00    0.522E-01    0.522E-01    0.134E-01    0.134E-01    0.000E+00    0.000E+00
     4.025     0.110    0.580E+00    0.402E+00    0.134E+01    0.906E-01    0.115E+00    0.484E-01    0.484E-01    0.122E-01    0.122E-01    0.000E+00    0.000E+00
     4.025     0.120    0.591E+00    0.398E+00    0.125E+01    0.829E-01    0.109E+00    0.449E-01    0.449E-01    0.110E-01    0.110E-01    0.000E+00    0.000E+00
     4.025     0.130    0.601E+00    0.394E+00    0.117E+01    0.760E-01    0.103E+00    0.417E-01    0.417E-01    0.100E-01    0.100E-01    0.000E+00    0.000E+00
     4.025     0.140    0.610E+00    0.389E+00    0.109E+01    0.698E-01    0.966E-01    0.388E-01    0.388E-01    0.911E-02    0.911E-02    0.000E+00    0.000E+00
     4.025     0.150    0.618E+00    0.384E+00    0.102E+01    0.644E-01    0.909E-01    0.360E-01    0.360E-01    0.828E-02    0.828E-02    0.000E+00    0.000E+00
     4.025     0.160    0.624E+00    0.378E+00    0.954E+00    0.596E-01    0.853E-01    0.335E-01    0.335E-01    0.751E-02    0.751E-02    0.000E+00    0.000E+00
     4.025     0.170    0.630E+00    0.372E+00    0.890E+00    0.553E-01    0.800E-01    0.311E-01    0.311E-01    0.682E-02    0.682E-02    0.000E+00    0.000E+00
     4.025     0.180    0.634E+00    0.365E+00    0.830E+00    0.515E-01    0.748E-01    0.290E-01    0.290E-01    0.618E-02    0.618E-02    0.000E+00    0.000E+00
     4.025     0.190    0.637E+00    0.359E+00    0.772E+00    0.480E-01    0.698E-01    0.269E-01    0.269E-01    0.560E-02    0.560E-02    0.000E+00    0.000E+00
     4.025     0.200    0.639E+00    0.351E+00    0.719E+00    0.449E-01    0.650E-01    0.250E-01    0.250E-01    0.507E-02    0.507E-02    0.000E+00    0.000E+00
     4.025     0.210    0.639E+00    0.344E+00    0.667E+00    0.421E-01    0.604E-01    0.233E-01    0.233E-01    0.459E-02    0.459E-02    0.000E+00    0.000E+00
     4.025     0.220    0.639E+00    0.337E+00    0.619E+00    0.395E-01    0.561E-01    0.216E-01    0.216E-01    0.414E-02    0.414E-02    0.000E+00    0.000E+00
     4.025     0.230    0.637E+00    0.329E+00    0.574E+00    0.371E-01    0.520E-01    0.201E-01    0.201E-01    0.374E-02    0.374E-02    0.000E+00    0.000E+00
     4.025     0.240    0.635E+00    0.321E+00    0.531E+00    0.349E-01    0.481E-01    0.186E-01    0.186E-01    0.337E-02    0.337E-02    0.000E+00    0.000E+00
     4.025     0.250    0.631E+00    0.313E+00    0.491E+00    0.329E-01    0.444E-01    0.173E-01    0.173E-01    0.304E-02    0.304E-02    0.000E+00    0.000E+00
     4.025     0.260    0.626E+00    0.304E+00    0.453E+00    0.309E-01    0.410E-01    0.160E-01    0.160E-01    0.273E-02    0.273E-02    0.000E+00    0.000E+00
     4.025     0.270    0.620E+00    0.296E+00    0.418E+00    0.291E-01    0.378E-01    0.149E-01    0.149E-01    0.245E-02    0.245E-02    0.000E+00    0.000E+00
     4.025     0.280    0.614E+00    0.287E+00    0.385E+00    0.274E-01    0.348E-01    0.138E-01    0.138E-01    0.220E-02    0.220E-02    0.000E+00    0.000E+00
     4.025     0.290    0.606E+00    0.278E+00    0.353E+00    0.258E-01    0.320E-01    0.127E-01    0.127E-01    0.197E-02    0.197E-02    0.000E+00    0.000E+00
     4.025     0.300    0.598E+00    0.270E+00    0.324E+00    0.242E-01    0.294E-01    0.118E-01    0.118E-01    0.176E-02    0.176E-02    0.000E+00    0.000E+00
     4.025     0.310    0.589E+00    0.261E+00    0.297E+00    0.227E-01    0.270E-01    0.109E-01    0.109E-01    0.157E-02    0.157E-02    0.000E+00    0.000E+00
     4.025     0.320    0.579E+00    0.252E+00    0.272E+00    0.213E-01    0.248E-01    0.101E-01    0.101E-01    0.140E-02    0.140E-02    0.000E+00    0.000E+00
     4.025     0.330    0.568E+00    0.243E+00    0.248E+00    0.199E-01    0.228E-01    0.928E-02    0.928E-02    0.125E-02    0.125E-02    0.000E+00    0.000E+00
     4.025     0.340    0.557E+00    0.234E+00    0.226E+00    0.186E-01    0.209E-01    0.856E-02    0.856E-02    0.111E-02    0.111E-02    0.000E+00    0.000E+00
     4.025     0.350    0.545E+00    0.224E+00    0.206E+00    0.173E-01    0.192E-01    0.788E-02    0.788E-02    0.983E-03    0.983E-03    0.000E+00    0.000E+00
     4.025     0.360    0.533E+00    0.215E+00    0.187E+00    0.161E-01    0.176E-01    0.725E-02    0.725E-02    0.870E-03    0.870E-03    0.000E+00    0.000E+00
     4.025     0.370    0.520E+00    0.206E+00    0.170E+00    0.149E-01    0.161E-01    0.667E-02    0.667E-02    0.769E-03    0.769E-03    0.000E+00    0.000E+00
     4.025     0.380    0.507E+00    0.197E+00    0.154E+00    0.138E-01    0.147E-01    0.612E-02    0.612E-02    0.678E-03    0.678E-03    0.000E+00    0.000E+00
     4.025     0.390    0.493E+00    0.188E+00    0.139E+00    0.128E-01    0.135E-01    0.561E-02    0.561E-02    0.597E-03    0.597E-03    0.000E+00    0.000E+00
     4.025     0.400    0.479E+00    0.179E+00    0.125E+00    0.118E-01    0.123E-01    0.514E-02    0.514E-02    0.524E-03    0.524E-03    0.000E+00    0.000E+00
     4.025     0.410    0.465E+00    0.170E+00    0.113E+00    0.109E-01    0.113E-01    0.470E-02    0.470E-02    0.459E-03    0.459E-03    0.000E+00    0.000E+00
     4.025     0.420    0.451E+00    0.162E+00    0.101E+00    0.999E-02    0.103E-01    0.430E-02    0.430E-02    0.402E-03    0.402E-03    0.000E+00    0.000E+00
     4.025     0.430    0.436E+00    0.153E+00    0.909E-01    0.916E-02    0.937E-02    0.392E-02    0.392E-02    0.351E-03    0.351E-03    0.000E+00    0.000E+00
