     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
     3.793     0.010    0.415E+00    0.382E+00    0.346E+01    0.256E+00    0.281E+00    0.131E+00    0.131E+00    0.389E-01    0.389E-01    0.000E+00    0.000E+00
     3.793     0.020    0.428E+00    0.390E+00    0.281E+01    0.212E+00    0.238E+00    0.109E+00    0.109E+00    0.314E-01    0.314E-01    0.000E+00    0.000E+00
     3.793     0.030    0.448E+00    0.396E+00    0.245E+01    0.185E+00    0.210E+00    0.951E-01    0.951E-01    0.268E-01    0.268E-01    0.000E+00    0.000E+00
     3.793     0.040    0.470E+00    0.401E+00    0.222E+01    0.168E+00    0.189E+00    0.856E-01    0.856E-01    0.236E-01    0.236E-01    0.000E+00    0.000E+00
     3.793     0.050    0.490E+00    0.404E+00    0.203E+01    0.153E+00    0.173E+00    0.776E-01    0.776E-01    0.209E-01    0.209E-01    0.000E+00    0.000E+00
     3.793     0.060    0.509E+00    0.406E+00    0.188E+01    0.139E+00    0.160E+00    0.711E-01    0.711E-01    0.187E-01    0.187E-01    0.000E+00    0.000E+00
     3.793     0.070    0.527E+00    0.407E+00    0.174E+01    0.127E+00    0.149E+00    0.653E-01    0.653E-01    0.169E-01    0.169E-01    0.000E+00    0.000E+00
     3.793     0.080    0.542E+00    0.407E+00    0.162E+01    0.116E+00    0.140E+00    0.602E-01    0.602E-01    0.152E-01    0.152E-01    0.000E+00    0.000E+00
     3.793     0.090    0.557E+00    0.406E+00    0.152E+01    0.106E+00    0.131E+00    0.557E-01    0.557E-01    0.138E-01    0.138E-01    0.000E+00    0.000E+00
     3.793     0.100    0.570E+00    0.405E+00    0.142E+01    0.965E-01    0.124E+00    0.516E-01    0.516E-01    0.125E-01    0.125E-01    0.000E+00    0.000E+00
     3.793     0.110    0.582E+00    0.403E+00    0.133E+01    0.882E-01    0.117E+00    0.479E-01    0.479E-01    0.114E-01    0.114E-01    0.000E+00    0.000E+00
