# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 2.30405151e-05 2.06637051e-05 2.37681000e-06 2.53568398e-06 1.22711971e-01 3.68135912e-02
1.200000 7.24536438e-05 6.55075286e-05 6.94611518e-06 7.42790491e-06 1.13390095e-01 3.40170286e-02
1.250000 8.30094322e-05 7.42019001e-05 8.80753212e-06 9.44237679e-06 1.27252493e-01 3.81757480e-02
1.300000 7.61226478e-05 6.62667485e-05 9.85589934e-06 1.05952281e-05 1.59887550e-01 4.79662650e-02
1.350000 9.71800085e-05 8.31963037e-05 1.39837048e-05 1.50769343e-05 1.81221204e-01 5.43663612e-02
1.400000 1.19617885e-04 1.03418741e-04 1.61991433e-05 1.75208571e-05 1.69416654e-01 5.08249963e-02
1.450000 1.40577833e-04 1.25517793e-04 1.50600402e-05 1.63442167e-05 1.30214341e-01 3.90643023e-02
1.500000 2.55542480e-04 2.37439668e-04 1.81028115e-05 1.97182215e-05 8.30451863e-02 2.49135559e-02
1.550000 2.44061920e-04 2.24521222e-04 1.95406979e-05 2.13679055e-05 9.51709832e-02 2.85512950e-02
1.600000 2.27714402e-04 2.06567149e-04 2.11472533e-05 2.32220411e-05 1.12418849e-01 3.37256547e-02
1.650000 3.05311811e-04 2.72207611e-04 3.31042002e-05 3.65163148e-05 1.34148765e-01 4.02446294e-02
1.700000 3.54085348e-04 3.08061976e-04 4.60233716e-05 5.10131007e-05 1.65593629e-01 4.96780888e-02
1.750000 3.88269504e-04 3.31456548e-04 5.68129563e-05 6.32997474e-05 1.90974497e-01 5.72923490e-02
1.800000 3.93746442e-04 3.31074935e-04 6.26715067e-05 7.02163800e-05 2.12086064e-01 6.36258193e-02
1.850000 4.11329079e-04 3.45958165e-04 6.53709138e-05 7.36784262e-05 2.12969179e-01 6.38907536e-02
1.900000 4.47623340e-04 3.78604908e-04 6.90184323e-05 7.82878489e-05 2.06779805e-01 6.20339414e-02
1.950000 4.81772382e-04 4.10219180e-04 7.15532024e-05 8.17204972e-05 1.99211790e-01 5.97635371e-02
2.000000 5.13417942e-04 4.41041101e-04 7.23768404e-05 8.32698084e-05 1.88802831e-01 5.66408492e-02
2.050000 5.42929998e-04 4.75801672e-04 6.71283254e-05 7.78410098e-05 1.63599698e-01 4.90799094e-02
2.100000 5.74604865e-04 5.09539990e-04 6.50648748e-05 7.60867743e-05 1.49324441e-01 4.47973324e-02
2.150000 6.06107505e-04 5.41920430e-04 6.41870749e-05 7.57413763e-05 1.39764755e-01 4.19294266e-02
2.200000 6.36410250e-04 5.71936467e-04 6.44737833e-05 7.68199928e-05 1.34315605e-01 4.02946816e-02
2.250000 6.64654379e-04 5.98974691e-04 6.56796881e-05 7.90735317e-05 1.32014813e-01 3.96044438e-02
2.300000 6.90205552e-04 6.22940541e-04 6.72650111e-05 8.18887885e-05 1.31455224e-01 3.94365672e-02
2.350000 7.12995505e-04 6.44315568e-04 6.86799371e-05 8.46157629e-05 1.31326584e-01 3.93979753e-02
2.400000 7.33463730e-04 6.64250484e-04 6.92132464e-05 8.63723457e-05 1.30029782e-01 3.90089346e-02
2.450000 7.53112985e-04 6.84666353e-04 6.84466323e-05 8.65982388e-05 1.26482393e-01 3.79447179e-02
2.500000 7.74293050e-04 7.08313830e-04 6.59792201e-05 8.47178983e-05 1.19605032e-01 3.58815096e-02
