# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 6.61988074e-07 6.05942108e-07 5.60459655e-08 6.98264978e-08 1.15236252e-01 3.45708757e-02
1.200000 2.14846568e-06 1.97811200e-06 1.70353679e-07 2.13530725e-07 1.07946732e-01 3.23840195e-02
1.250000 2.53196023e-06 2.30727643e-06 2.24683802e-07 2.83461913e-07 1.22855636e-01 3.68566908e-02
1.300000 2.38332349e-06 2.12184965e-06 2.61473836e-07 3.32167210e-07 1.56546063e-01 4.69638189e-02
1.350000 3.12901425e-06 2.74341354e-06 3.85600706e-07 4.93485675e-07 1.79880163e-01 5.39640490e-02
1.400000 3.97639372e-06 3.51248836e-06 4.63905354e-07 5.98396476e-07 1.70362551e-01 5.11087652e-02
1.450000 4.83913400e-06 4.39172932e-06 4.47404686e-07 5.81983698e-07 1.32518117e-01 3.97554350e-02
1.500000 9.11783096e-06 8.56069692e-06 5.57134037e-07 7.31244247e-07 8.54187753e-02 2.56256326e-02
1.550000 8.96596015e-06 8.34395569e-06 6.22004463e-07 8.24225096e-07 9.87810970e-02 2.96343291e-02
1.600000 8.61060942e-06 7.91565110e-06 6.94958321e-07 9.30324063e-07 1.17529695e-01 3.52589086e-02
1.650000 1.18807054e-05 1.07597820e-05 1.12092332e-06 1.51693184e-06 1.40981651e-01 4.22944954e-02
1.700000 1.41682663e-05 1.25659960e-05 1.60227030e-06 2.19357025e-06 1.74563978e-01 5.23691934e-02
1.750000 1.59871554e-05 1.39580670e-05 2.02908836e-06 2.81238246e-06 2.01487961e-01 6.04463882e-02
1.800000 1.66906140e-05 1.43996300e-05 2.29098397e-06 3.21742300e-06 2.23437893e-01 6.70313679e-02
1.850000 1.79876531e-05 1.55474710e-05 2.44018210e-06 3.47537060e-06 2.23532856e-01 6.70598568e-02
1.900000 2.02125332e-05 1.75878602e-05 2.62467292e-06 3.79449774e-06 2.15745275e-01 6.47235824e-02
1.950000 2.24719940e-05 1.97062622e-05 2.76573177e-06 4.06281243e-06 2.06168597e-01 6.18505791e-02
2.000000 2.47544634e-05 2.19173769e-05 2.83708644e-06 4.23932890e-06 1.93423187e-01 5.80269562e-02
2.050000 2.71309548e-05 2.44682492e-05 2.66270555e-06 4.05192919e-06 1.65599473e-01 4.96798420e-02
2.100000 2.97301344e-05 2.71239903e-05 2.60614410e-06 4.04387227e-06 1.49088399e-01 4.47265196e-02
2.150000 3.24601902e-05 2.98692013e-05 2.59098893e-06 4.10501766e-06 1.37433124e-01 4.12299373e-02
2.200000 3.52650088e-05 3.26471774e-05 2.61783138e-06 4.24112066e-06 1.29907729e-01 3.89723186e-02
2.250000 3.80932467e-05 3.54156458e-05 2.67760085e-06 4.44291194e-06 1.25450541e-01 3.76351624e-02
2.300000 4.09063953e-05 3.81577852e-05 2.74861005e-06 4.67920596e-06 1.22627818e-01 3.67883455e-02
2.350000 4.36993616e-05 4.08910430e-05 2.80831860e-06 4.91433951e-06 1.20181320e-01 3.60543959e-02
2.400000 4.65072453e-05 4.36797433e-05 2.82750199e-06 5.09660711e-06 1.16681252e-01 3.50043755e-02
2.450000 4.94394961e-05 4.66503135e-05 2.78918257e-06 5.19041251e-06 1.11262114e-01 3.33786342e-02
2.500000 5.26835457e-05 5.00059078e-05 2.67763795e-06 5.15716066e-06 1.03131028e-01 3.09393083e-02
