# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 2.51192026e-07 2.32139144e-07 1.90528816e-08 2.60919711e-08 1.12397981e-01 3.37193943e-02
1.200000 8.21288888e-07 7.63005642e-07 5.82832467e-08 8.04724656e-08 1.05467720e-01 3.16403161e-02
1.250000 9.73440419e-07 8.96062055e-07 7.73783638e-08 1.07776291e-07 1.20277709e-01 3.60833127e-02
1.300000 9.20339953e-07 8.29685595e-07 9.06543580e-08 1.27452748e-07 1.53615718e-01 4.60847153e-02
1.350000 1.21465996e-06 1.08006007e-06 1.34599892e-07 1.91132210e-07 1.76964427e-01 5.30893280e-02
1.400000 1.55531749e-06 1.39227812e-06 1.63039369e-07 2.33990683e-07 1.68063176e-01 5.04189528e-02
1.450000 1.91097282e-06 1.75266401e-06 1.58308807e-07 2.29791607e-07 1.31109902e-01 3.93329706e-02
1.500000 3.63817999e-06 3.43972321e-06 1.98456781e-07 2.91570480e-07 8.47656809e-02 2.54297043e-02
1.550000 3.59852695e-06 3.37551076e-06 2.23016188e-07 3.31901476e-07 9.83262977e-02 2.94978893e-02
1.600000 3.47488283e-06 3.22412897e-06 2.50753855e-07 3.78342673e-07 1.17347251e-01 3.52041754e-02
1.650000 4.81952443e-06 4.41261828e-06 4.06906154e-07 6.23005388e-07 1.41187238e-01 4.23561715e-02
1.700000 5.77381504e-06 5.18883485e-06 5.84980194e-07 9.09747853e-07 1.75327965e-01 5.25983894e-02
1.750000 6.54834641e-06 5.80357194e-06 7.44774463e-07 1.17771368e-06 2.02929108e-01 6.08787325e-02
1.800000 6.87394980e-06 6.02892502e-06 8.45024782e-07 1.36020830e-06 2.25613737e-01 6.76841212e-02
1.850000 7.45929977e-06 6.55529251e-06 9.04007254e-07 1.48303539e-06 2.26234815e-01 6.78704445e-02
1.900000 8.44430429e-06 7.46823827e-06 9.76066022e-07 1.63405049e-06 2.18799995e-01 6.56399985e-02
1.950000 9.45960448e-06 8.42780951e-06 1.03179498e-06 1.76520144e-06 2.09449614e-01 6.28348841e-02
2.000000 1.05025147e-05 9.44147237e-06 1.06104237e-06 1.85783001e-06 1.96773335e-01 5.90320005e-02
2.050000 1.16152901e-05 1.06177527e-05 9.97537411e-07 1.79055765e-06 1.68638101e-01 5.05914304e-02
2.100000 1.28349469e-05 1.18577326e-05 9.77214382e-07 1.80140252e-06 1.51917959e-01 4.55753876e-02
2.150000 1.41277411e-05 1.31562239e-05 9.71517193e-07 1.84280534e-06 1.40070992e-01 4.20212976e-02
2.200000 1.54701578e-05 1.44895521e-05 9.80605657e-07 1.91803834e-06 1.32373888e-01 3.97121663e-02
2.250000 1.68406906e-05 1.58397615e-05 1.00092907e-06 2.02356245e-06 1.27752078e-01 3.83256235e-02
