# W  sigma_tot[ub/GeV^3]  sigma_T  eps*sigma_L  sigma_L(no-epsilon)  R_LT=sigma_L/sigma_T  dR_LT(=0.3*R_LT)
1.150000 4.15878424e-06 3.75653979e-06 4.02244451e-07 4.51351348e-07 1.20150823e-01 3.60452470e-02
1.200000 1.32915621e-05 1.20901184e-05 1.20144369e-06 1.35302946e-06 1.11912011e-01 3.35736032e-02
1.250000 1.54601038e-05 1.39034091e-05 1.55669463e-06 1.75994897e-06 1.26583988e-01 3.79751964e-02
1.300000 1.43859032e-05 1.26065068e-05 1.77939638e-06 2.02014560e-06 1.60246263e-01 4.80738788e-02
1.350000 1.86483541e-05 1.60709195e-05 2.57743453e-06 2.93926526e-06 1.82893409e-01 5.48680228e-02
1.400000 2.33339117e-05 2.02878679e-05 3.04604375e-06 3.49031159e-06 1.72039349e-01 5.16118048e-02
1.450000 2.78970020e-05 2.50104873e-05 2.88651472e-06 3.32447457e-06 1.32923222e-01 3.98769667e-02
1.500000 5.15997268e-05 4.80665493e-05 3.53317749e-06 4.09156316e-06 8.51228811e-02 2.55368643e-02
1.550000 5.00667284e-05 4.61874390e-05 3.87928941e-06 4.51870280e-06 9.78340194e-02 2.93502058e-02
1.600000 4.74585118e-05 4.31932809e-05 4.26523093e-06 4.99937537e-06 1.15744284e-01 3.47232852e-02
1.650000 6.46457568e-05 5.78708131e-05 6.77494372e-06 7.99421245e-06 1.38138934e-01 4.14416803e-02
1.700000 7.61518650e-05 6.66068296e-05 9.54503537e-06 1.13433623e-05 1.70303291e-01 5.10909873e-02
1.750000 8.48277851e-05 7.29026936e-05 1.19250915e-05 1.42800901e-05 1.95878772e-01 5.87636315e-02
1.800000 8.73919041e-05 7.40951555e-05 1.32967486e-05 1.60525715e-05 2.16648057e-01 6.49944172e-02
1.850000 9.28037163e-05 7.88019183e-05 1.40017980e-05 1.70511339e-05 2.16379680e-01 6.49139041e-02
1.900000 1.02696199e-04 8.77896399e-05 1.49065588e-05 1.83220547e-05 2.08704065e-01 6.26112195e-02
1.950000 1.12416179e-04 9.68501678e-05 1.55660110e-05 1.93230849e-05 1.99515245e-01 5.98545734e-02
2.000000 1.21881622e-04 1.06038294e-04 1.58433284e-05 1.98766160e-05 1.87447528e-01 5.62342583e-02
2.050000 1.31283984e-04 1.16511362e-04 1.47726217e-05 1.87441693e-05 1.60878467e-01 4.82635401e-02
2.100000 1.41477411e-04 1.27094203e-04 1.43832086e-05 1.84720756e-05 1.45341607e-01 4.36024820e-02
2.150000 1.51939473e-04 1.37696092e-04 1.42433805e-05 1.85305367e-05 1.34575618e-01 4.03726855e-02
2.200000 1.62397978e-04 1.48044772e-04 1.43532062e-05 1.89334531e-05 1.27890049e-01 3.83670147e-02
2.250000 1.72612145e-04 1.57950481e-04 1.46616634e-05 1.96286706e-05 1.24271040e-01 3.72813119e-02
2.300000 1.82399175e-04 1.67348647e-04 1.50505286e-05 2.04710204e-05 1.22325581e-01 3.66976742e-02
2.350000 1.91726057e-04 1.76328236e-04 1.53978207e-05 2.13017956e-05 1.20807626e-01 3.62422879e-02
2.400000 2.00716718e-04 1.85172527e-04 1.55441908e-05 2.18989231e-05 1.18262269e-01 3.54786806e-02
2.450000 2.09800808e-04 1.94405707e-04 1.53951010e-05 2.21160085e-05 1.13762136e-01 3.41286408e-02
2.500000 2.19690599e-04 2.04831131e-04 1.48594671e-05 2.17980140e-05 1.06419438e-01 3.19258315e-02
