Q2	W	TMC_xsection	TMC_HT_xsection
1.400000e+01	2.060000e+00	1.978098e-06	2.066712e-06
1.400000e+01	2.070000e+00	2.031575e-06	2.120427e-06
1.400000e+01	2.080000e+00	2.086092e-06	2.175125e-06
1.400000e+01	2.090000e+00	2.141673e-06	2.230829e-06
1.400000e+01	2.100000e+00	2.198341e-06	2.287562e-06
1.400000e+01	2.110000e+00	2.256121e-06	2.345345e-06
1.400000e+01	2.120000e+00	2.314947e-06	2.404108e-06
1.400000e+01	2.130000e+00	2.374607e-06	2.463631e-06
1.400000e+01	2.140000e+00	2.435165e-06	2.523977e-06
1.400000e+01	2.150000e+00	2.496662e-06	2.585188e-06
1.400000e+01	2.160000e+00	2.559129e-06	2.647293e-06
