x	Quantity	Uncertainty
0.39	0.230275880925688	0.00936997233130771
0.4	0.222843938195248	0.00906734669106847
0.41	0.215393791447265	0.00876413305789728
0.42	0.207941367661898	0.0084610884557617
0.43	0.200506147113815	0.00815866423673574
0.44	0.193104544823481	0.00785680656374962
0.45	0.185750043854793	0.00755750090831486
0.46	0.17845709924195	0.00726111047588485
0.47	0.171240141145346	0.00696748919335526
0.48	0.164110111817184	0.00667775360499745
0.49	0.157079252362494	0.00639174664418885
0.5	0.15015729498838	0.00610930267324917
0.51	0.143354577818533	0.00583307010266461
0.52	0.136679679602264	0.00556167848003455
0.53	0.130140658250982	0.00529517326730738
0.54	0.123746151165799	0.00503545191316408
0.55	0.117501736200558	0.00478097086462035
0.56	0.111415751425604	0.00453365086729078
0.57	0.10549326936728	0.00429259827716031
0.58	0.0997406827991134	0.00405826304929544
0.59	0.0941647874999299	0.00383116330075797
0.6	0.0887691553864823	0.00361210064360113
0.61	0.0835619563694544	0.00339968808590038
0.62	0.0785500373511071	0.00319656117307245
0.63	0.0737401466032265	0.00300037639490671
0.64	0.069529354862372	0.00227345043649859
0.65	0.0653623192957105	0.00177461277175068
0.66	0.0612608686641773	0.00202526159833778
0.67	0.0574788055858388	0.00208211991131349
0.68	0.0538289656694276	0.00188958398677887
0.69	0.0503755310713474	0.00180567548250133
0.7	0.0467773481387162	0.00184422351513724
0.71	0.0434285048160116	0.00187096437402237
0.72	0.0403828271679167	0.0021545046222161
0.73	0.0371280866270438	0.00186147059097518
0.74	0.0340060441364309	0.00182013968905015
0.75	0.0307036426650335	0.00178385601339062
0.76	0.0278484855723379	0.00173941637757383
0.77	0.0265969297254128	0.00167598618736873
0.78	0.0258557940383708	0.00170965268444639
0.79	0.0220473120482233	0.00153385719372559
0.8	0.0188299209103168	0.00159277207447797
0.81	0.0168339653816934	0.00159029710493509
0.82	0.0157433265545664	0.00146207686270031
0.83	0.0172679878846812	0.00165027280101601
0.84	0.0171793896963764	0.00175068587585948
0.85	0.0126051728784187	0.00147055781089826
0.86	0.0102962306082278	0.00141164019901379
0.87	0.00876672556315776	0.00125884006704837
0.88	0.00775154719352612	0.00121907368384866
0.89	0.00653453405922374	0.00117171113183295
0.9	0.00556041095761052	0.00106718258417254
0.91	0.00542304262115854	0.00111837856898307
0.92	0.00580817588310511	0.00113010568845113
0.93	0.00430451831563914	0.000473414871495106
0.94	0.00182218278086648	0.000243491282187453
0.95	0.000538195070235709	0.000136048263649762
