Q2	W	LO_xsection(mub/GeV)	NLO_xsection(mub/GeV)	NLO_TMC_xsection(mub/GeV)	NLO_TMC_HT_xsection(mub/GeV)
5.187000e+00	1.070000e+00	3.430790e-07	3.531123e-07	1.221705e-05	1.837549e-05
5.187000e+00	1.080000e+00	4.450270e-07	4.551109e-07	1.295212e-05	1.937337e-05
5.187000e+00	1.090000e+00	5.590782e-07	5.636579e-07	1.371278e-05	2.039810e-05
5.187000e+00	1.100000e+00	6.895307e-07	6.907379e-07	1.450173e-05	2.145313e-05
5.187000e+00	1.110000e+00	8.408661e-07	8.485205e-07	1.532173e-05	2.254196e-05
5.187000e+00	1.120000e+00	1.017746e-06	1.045258e-06	1.617535e-05	2.366784e-05
5.187000e+00	1.130000e+00	1.224999e-06	1.272882e-06	1.706452e-05	2.483296e-05
5.187000e+00	1.140000e+00	1.458256e-06	1.521511e-06	1.799134e-05	2.603971e-05
5.187000e+00	1.150000e+00	1.713760e-06	1.790961e-06	1.895935e-05	2.729244e-05
5.187000e+00	1.160000e+00	1.995780e-06	2.085764e-06	1.997083e-05	2.859374e-05
5.187000e+00	1.170000e+00	2.308730e-06	2.419561e-06	2.102152e-05	2.993680e-05
5.187000e+00	1.180000e+00	2.657168e-06	2.804367e-06	2.210688e-05	3.131447e-05
5.187000e+00	1.190000e+00	3.045790e-06	3.236030e-06	2.322806e-05	3.272786e-05
5.187000e+00	1.200000e+00	3.474010e-06	3.706871e-06	2.438761e-05	3.418000e-05
5.187000e+00	1.210000e+00	3.935414e-06	4.211665e-06	2.558760e-05	3.567320e-05
5.187000e+00	1.220000e+00	4.433612e-06	4.749466e-06	2.683017e-05	3.720981e-05
5.187000e+00	1.230000e+00	4.972601e-06	5.334228e-06	2.811802e-05	3.879290e-05
5.187000e+00	1.240000e+00	5.556479e-06	5.980109e-06	2.945322e-05	4.042464e-05
5.187000e+00	1.250000e+00	6.189437e-06	6.686712e-06	3.083469e-05	4.210287e-05
5.187000e+00	1.260000e+00	6.873064e-06	7.448932e-06	3.226058e-05	4.382442e-05
5.187000e+00	1.270000e+00	7.600541e-06	8.257605e-06	3.372919e-05	4.558642e-05
5.187000e+00	1.280000e+00	8.374185e-06	9.107153e-06	3.523967e-05	4.738718e-05
