Q2	W	LO_xsection(mub/GeV)	NLO_xsection(mub/GeV)	NLO_TMC_xsection(mub/GeV)	NLO_TMC_HT_xsection(mub/GeV)
6.065000e+00	1.720000e+00	4.377347e-05	4.856618e-05	6.879975e-05	7.691048e-05
6.065000e+00	1.730000e+00	4.542994e-05	5.039298e-05	7.061640e-05	7.871415e-05
6.065000e+00	1.740000e+00	4.711874e-05	5.225087e-05	7.245720e-05	8.053616e-05
6.065000e+00	1.750000e+00	4.883941e-05	5.413994e-05	7.432180e-05	8.237610e-05
6.065000e+00	1.760000e+00	5.059144e-05	5.606098e-05	7.620979e-05	8.423353e-05
6.065000e+00	1.770000e+00	5.237430e-05	5.801431e-05	7.812049e-05	8.610769e-05
6.065000e+00	1.780000e+00	5.418746e-05	6.000008e-05	8.005338e-05	8.799802e-05
6.065000e+00	1.790000e+00	5.603037e-05	6.201828e-05	8.200908e-05	8.990520e-05
6.065000e+00	1.800000e+00	5.790251e-05	6.406846e-05	8.398819e-05	9.182992e-05
6.065000e+00	1.810000e+00	5.980433e-05	6.614866e-05	8.599027e-05	9.377170e-05
6.065000e+00	1.820000e+00	6.173549e-05	6.825697e-05	8.801454e-05	9.572972e-05
6.065000e+00	1.830000e+00	6.369519e-05	7.039318e-05	9.006003e-05	9.770294e-05
6.065000e+00	1.840000e+00	6.568263e-05	7.255734e-05	9.212573e-05	9.969033e-05
6.065000e+00	1.850000e+00	6.769702e-05	7.474899e-05	9.421085e-05	1.016910e-04
6.065000e+00	1.860000e+00	6.973753e-05	7.696757e-05	9.631461e-05	1.037043e-04
6.065000e+00	1.870000e+00	7.180335e-05	7.921277e-05	9.843627e-05	1.057294e-04
6.065000e+00	1.880000e+00	7.389445e-05	8.148419e-05	1.005756e-04	1.077662e-04
6.065000e+00	1.890000e+00	7.601163e-05	8.378087e-05	1.027343e-04	1.098166e-04
6.065000e+00	1.900000e+00	7.815392e-05	8.610172e-05	1.049139e-04	1.118821e-04
6.065000e+00	1.910000e+00	8.032029e-05	8.844583e-05	1.071128e-04	1.139611e-04
6.065000e+00	1.920000e+00	8.250970e-05	9.081218e-05	1.093288e-04	1.160515e-04
6.065000e+00	1.930000e+00	8.472109e-05	9.319940e-05	1.115609e-04	1.181522e-04
6.065000e+00	1.940000e+00	8.695340e-05	9.560647e-05	1.138084e-04	1.202626e-04
6.065000e+00	1.950000e+00	8.920562e-05	9.803426e-05	1.160695e-04	1.223808e-04
6.065000e+00	1.960000e+00	9.147904e-05	1.004836e-04	1.183430e-04	1.245057e-04
6.065000e+00	1.970000e+00	9.377377e-05	1.029532e-04	1.206302e-04	1.266389e-04
6.065000e+00	1.980000e+00	9.608857e-05	1.054415e-04	1.229330e-04	1.287821e-04
6.065000e+00	1.990000e+00	9.842217e-05	1.079470e-04	1.252511e-04	1.309355e-04
6.065000e+00	2.000000e+00	1.007733e-04	1.104680e-04	1.275838e-04	1.330983e-04
6.065000e+00	2.010000e+00	1.031407e-04	1.130022e-04	1.299295e-04	1.352688e-04
6.065000e+00	2.020000e+00	1.055230e-04	1.155481e-04	1.322862e-04	1.374452e-04
6.065000e+00	2.030000e+00	1.079194e-04	1.181083e-04	1.346529e-04	1.396265e-04
6.065000e+00	2.040000e+00	1.103319e-04	1.206853e-04	1.370284e-04	1.418117e-04
6.065000e+00	2.050000e+00	1.127604e-04	1.232775e-04	1.394111e-04	1.439990e-04
6.065000e+00	2.060000e+00	1.152035e-04	1.258825e-04	1.418001e-04	1.461878e-04
6.065000e+00	2.070000e+00	1.176598e-04	1.284985e-04	1.441988e-04	1.483817e-04
6.065000e+00	2.080000e+00	1.201279e-04	1.311237e-04	1.466104e-04	1.505841e-04
6.065000e+00	2.090000e+00	1.226066e-04	1.337552e-04	1.490329e-04	1.527931e-04
6.065000e+00	2.100000e+00	1.250945e-04	1.363914e-04	1.514635e-04	1.550057e-04
6.065000e+00	2.110000e+00	1.275906e-04	1.390354e-04	1.539004e-04	1.572204e-04
6.065000e+00	2.120000e+00	1.300973e-04	1.416903e-04	1.563423e-04	1.594360e-04
6.065000e+00	2.130000e+00	1.326143e-04	1.443543e-04	1.587875e-04	1.616508e-04
6.065000e+00	2.140000e+00	1.351401e-04	1.470248e-04	1.612345e-04	1.638635e-04
6.065000e+00	2.150000e+00	1.376735e-04	1.496998e-04	1.636828e-04	1.660736e-04
6.065000e+00	2.160000e+00	1.402129e-04	1.523773e-04	1.661328e-04	1.682818e-04
6.065000e+00	2.170000e+00	1.427572e-04	1.550543e-04	1.685880e-04	1.704916e-04
6.065000e+00	2.180000e+00	1.453047e-04	1.577286e-04	1.710510e-04	1.727059e-04
6.065000e+00	2.190000e+00	1.478544e-04	1.604039e-04	1.735192e-04	1.749220e-04
6.065000e+00	2.200000e+00	1.504084e-04	1.630842e-04	1.759888e-04	1.771364e-04
6.065000e+00	2.210000e+00	1.529675e-04	1.657688e-04	1.784584e-04	1.793478e-04
6.065000e+00	2.220000e+00	1.555304e-04	1.684557e-04	1.809269e-04	1.815550e-04
6.065000e+00	2.230000e+00	1.580955e-04	1.711420e-04	1.833922e-04	1.837562e-04
6.065000e+00	2.240000e+00	1.606617e-04	1.738252e-04	1.858525e-04	1.859497e-04
6.065000e+00	2.250000e+00	1.632273e-04	1.765022e-04	1.883090e-04	1.881369e-04
6.065000e+00	2.260000e+00	1.657911e-04	1.791712e-04	1.907637e-04	1.903199e-04
6.065000e+00	2.270000e+00	1.683517e-04	1.818332e-04	1.932192e-04	1.925012e-04
6.065000e+00	2.280000e+00	1.709091e-04	1.844904e-04	1.956768e-04	1.946825e-04
6.065000e+00	2.290000e+00	1.734664e-04	1.871459e-04	1.981337e-04	1.968610e-04
6.065000e+00	2.300000e+00	1.760226e-04	1.898012e-04	2.005864e-04	1.990332e-04
6.065000e+00	2.310000e+00	1.785766e-04	1.924527e-04	2.030335e-04	2.011980e-04
6.065000e+00	2.320000e+00	1.811268e-04	1.950960e-04	2.054738e-04	2.033544e-04
6.065000e+00	2.330000e+00	1.836721e-04	1.977293e-04	2.079049e-04	2.055000e-04
6.065000e+00	2.340000e+00	1.862111e-04	2.003510e-04	2.103251e-04	2.076333e-04
6.065000e+00	2.350000e+00	1.887425e-04	2.029586e-04	2.127364e-04	2.097563e-04
