Q2	W	LO_xsection(mub/GeV)	NLO_xsection(mub/GeV)	NLO_TMC_xsection(mub/GeV)	NLO_TMC_HT_xsection(mub/GeV)
5.187000e+00	1.070000e+00	2.090523e-07	5.050819e-07	1.252104e-05	1.883370e-05
5.187000e+00	1.080000e+00	2.703102e-07	6.348478e-07	1.321707e-05	1.977093e-05
5.187000e+00	1.090000e+00	3.422335e-07	7.857246e-07	1.395038e-05	2.075265e-05
5.187000e+00	1.100000e+00	4.272675e-07	9.593527e-07	1.471381e-05	2.176790e-05
5.187000e+00	1.110000e+00	5.266454e-07	1.157384e-06	1.550006e-05	2.280553e-05
5.187000e+00	1.120000e+00	6.414596e-07	1.381489e-06	1.630766e-05	2.386286e-05
5.187000e+00	1.130000e+00	7.729581e-07	1.633389e-06	1.715905e-05	2.497184e-05
5.187000e+00	1.140000e+00	9.228415e-07	1.914791e-06	1.807269e-05	2.615862e-05
5.187000e+00	1.150000e+00	1.092227e-06	2.227286e-06	1.902583e-05	2.738949e-05
5.187000e+00	1.160000e+00	1.282551e-06	2.572461e-06	1.999200e-05	2.862552e-05
5.187000e+00	1.170000e+00	1.495495e-06	2.951995e-06	2.097259e-05	2.986860e-05
5.187000e+00	1.180000e+00	1.732235e-06	3.367565e-06	2.197686e-05	3.113187e-05
5.187000e+00	1.190000e+00	1.994306e-06	3.820746e-06	2.301689e-05	3.243199e-05
5.187000e+00	1.200000e+00	2.283371e-06	4.313099e-06	2.410322e-05	3.378315e-05
5.187000e+00	1.210000e+00	2.600656e-06	4.846245e-06	2.523670e-05	3.518577e-05
5.187000e+00	1.220000e+00	2.947712e-06	5.421799e-06	2.641503e-05	3.663587e-05
5.187000e+00	1.230000e+00	3.326199e-06	6.041299e-06	2.763318e-05	3.812587e-05
5.187000e+00	1.240000e+00	3.737369e-06	6.706231e-06	2.888705e-05	3.964953e-05
5.187000e+00	1.250000e+00	4.182705e-06	7.417967e-06	3.017920e-05	4.120986e-05
5.187000e+00	1.260000e+00	4.663874e-06	8.177900e-06	3.151320e-05	4.281123e-05
5.187000e+00	1.270000e+00	5.182129e-06	8.987629e-06	3.288979e-05	4.445408e-05
5.187000e+00	1.280000e+00	5.738850e-06	9.848656e-06	3.430883e-05	4.613765e-05
5.187000e+00	1.290000e+00	6.335683e-06	1.076189e-05	3.576956e-05	4.786040e-05
5.187000e+00	1.300000e+00	6.973870e-06	1.172825e-05	3.727147e-05	4.962116e-05
5.187000e+00	1.310000e+00	7.654674e-06	1.274922e-05	3.881591e-05	5.142123e-05
5.187000e+00	1.320000e+00	8.379627e-06	1.382632e-05	4.040452e-05	5.326229e-05
5.187000e+00	1.330000e+00	9.149969e-06	1.496042e-05	4.203819e-05	5.514503e-05
5.187000e+00	1.340000e+00	9.966857e-06	1.615224e-05	4.371735e-05	5.706950e-05
5.187000e+00	1.350000e+00	1.083165e-05	1.740251e-05	4.544134e-05	5.903437e-05
5.187000e+00	1.360000e+00	1.174557e-05	1.871238e-05	4.720951e-05	6.103838e-05
5.187000e+00	1.370000e+00	1.270966e-05	2.008464e-05	4.902269e-05	6.308213e-05
5.187000e+00	1.380000e+00	1.372506e-05	2.152065e-05	5.088195e-05	6.516661e-05
5.187000e+00	1.390000e+00	1.479295e-05	2.301423e-05	5.278797e-05	6.729225e-05
5.187000e+00	1.400000e+00	1.591428e-05	2.456367e-05	5.474114e-05	6.945914e-05
5.187000e+00	1.410000e+00	1.708997e-05	2.619284e-05	5.674111e-05	7.166645e-05
5.187000e+00	1.420000e+00	1.831733e-05	2.791926e-05	5.878751e-05	7.391334e-05
5.187000e+00	1.430000e+00	1.961475e-05	2.970915e-05	6.088065e-05	7.619983e-05
5.187000e+00	1.440000e+00	2.095836e-05	3.152666e-05	6.302095e-05	7.852613e-05
5.187000e+00	1.450000e+00	2.235534e-05	3.337983e-05	6.520871e-05	8.089225e-05
