     Q**2          x         u           d           g          ub          db          sb          s          cb          c          bb          b
    18.000     0.010    0.499E+00    0.460E+00    0.557E+01    0.324E+00    0.344E+00    0.203E+00    0.203E+00    0.116E+00    0.116E+00    0.568E-16    0.568E-16
    18.000     0.020    0.494E+00    0.442E+00    0.393E+01    0.256E+00    0.274E+00    0.157E+00    0.157E+00    0.846E-01    0.846E-01    0.000E+00    0.000E+00
    18.000     0.030    0.504E+00    0.434E+00    0.311E+01    0.218E+00    0.233E+00    0.130E+00    0.130E+00    0.674E-01    0.674E-01    0.000E+00    0.000E+00
    18.000     0.040    0.518E+00    0.430E+00    0.265E+01    0.192E+00    0.206E+00    0.114E+00    0.114E+00    0.571E-01    0.571E-01    0.000E+00    0.000E+00
    18.000     0.050    0.531E+00    0.425E+00    0.229E+01    0.171E+00    0.184E+00    0.100E+00    0.100E+00    0.489E-01    0.489E-01    0.194E-16    0.194E-16
    18.000     0.060    0.544E+00    0.420E+00    0.202E+01    0.152E+00    0.168E+00    0.896E-01    0.896E-01    0.426E-01    0.426E-01    0.420E-16    0.420E-16
    18.000     0.070    0.555E+00    0.415E+00    0.180E+01    0.136E+00    0.154E+00    0.805E-01    0.805E-01    0.373E-01    0.373E-01    0.126E-16    0.126E-16
    18.000     0.080    0.565E+00    0.409E+00    0.161E+01    0.122E+00    0.142E+00    0.726E-01    0.726E-01    0.329E-01    0.329E-01    0.000E+00    0.000E+00
    18.000     0.090    0.574E+00    0.404E+00    0.145E+01    0.110E+00    0.132E+00    0.659E-01    0.659E-01    0.291E-01    0.291E-01    0.000E+00    0.000E+00
    18.000     0.100    0.581E+00    0.397E+00    0.132E+01    0.991E-01    0.123E+00    0.599E-01    0.599E-01    0.259E-01    0.259E-01    0.000E+00    0.000E+00
    18.000     0.110    0.588E+00    0.390E+00    0.119E+01    0.897E-01    0.114E+00    0.546E-01    0.546E-01    0.231E-01    0.231E-01    0.000E+00    0.000E+00
    18.000     0.120    0.593E+00    0.383E+00    0.109E+01    0.814E-01    0.106E+00    0.498E-01    0.498E-01    0.206E-01    0.206E-01    0.000E+00    0.000E+00
    18.000     0.130    0.598E+00    0.375E+00    0.989E+00    0.741E-01    0.986E-01    0.456E-01    0.456E-01    0.184E-01    0.184E-01    0.000E+00    0.000E+00
    18.000     0.140    0.601E+00    0.368E+00    0.902E+00    0.677E-01    0.915E-01    0.417E-01    0.417E-01    0.164E-01    0.164E-01    0.000E+00    0.000E+00
    18.000     0.150    0.603E+00    0.359E+00    0.823E+00    0.620E-01    0.848E-01    0.382E-01    0.382E-01    0.147E-01    0.147E-01    0.000E+00    0.000E+00
    18.000     0.160    0.604E+00    0.351E+00    0.751E+00    0.570E-01    0.785E-01    0.350E-01    0.350E-01    0.132E-01    0.132E-01    0.000E+00    0.000E+00
    18.000     0.170    0.604E+00    0.342E+00    0.686E+00    0.526E-01    0.726E-01    0.321E-01    0.321E-01    0.118E-01    0.118E-01    0.000E+00    0.000E+00
    18.000     0.180    0.603E+00    0.334E+00    0.627E+00    0.486E-01    0.670E-01    0.295E-01    0.295E-01    0.106E-01    0.106E-01    0.000E+00    0.000E+00
