Q2,GeV^2	W,GeV	Quantity	Uncertainty
1.025	1.12	0.0298970871631927	0.000771421301040143
1.025	1.13	0.0368177779705969	0.000886978450296372
1.025	1.14	0.0475717709273627	0.00103820665655132
1.025	1.15	0.0607079449460181	0.00120798241803818
1.025	1.16	0.076973982235937	0.00135719826669496
1.025	1.17	0.0961760808840814	0.00154474846863091
1.025	1.18	0.123128668604002	0.00174838542797027
1.025	1.19	0.158853872804018	0.00199884402458423
1.025	1.2	0.19504804144102	0.00224820292755096
1.025	1.21	0.224215866142346	0.00239114260996415
1.025	1.22	0.241524752274158	0.0024688555648914
1.025	1.23	0.24179490240884	0.00241903062183123
1.025	1.24	0.230626346552931	0.0022707395789606
1.025	1.25	0.210361833187341	0.00209790491751458
1.025	1.26	0.195199574985152	0.0019527686423958
1.025	1.27	0.17742273350741	0.00179777817227731
1.025	1.28	0.164454039655579	0.0016726862779546
1.025	1.29	0.155932543084191	0.00159107688609035
1.025	1.3	0.147462842473699	0.00150945269641196
1.025	1.31	0.141679641542499	0.00144266889567563
1.025	1.32	0.13817642099907	0.00138984678545216
1.025	1.33	0.13203251759429	0.00131657437760226
1.025	1.34	0.134977182835764	0.00132312048272726
1.025	1.35	0.135549492587399	0.00131097223839627
1.025	1.36	0.1360823869023	0.00129360162044019
1.025	1.37	0.13592832644104	0.00126887553321865
1.025	1.38	0.134461259855942	0.00123585203168197
1.025	1.39	0.137186071171484	0.00123460024172754
1.025	1.4	0.140012863919526	0.00122847209380075
1.025	1.41	0.143473593869165	0.00122793284231951
1.025	1.42	0.148318676703873	0.00124634646985059
1.025	1.43	0.156101185514827	0.00127085015518644
1.025	1.44	0.164411492838341	0.00134470601910113
1.025	1.45	0.172855524046829	0.00150130828692069
1.025	1.46	0.185552911845007	0.00157119343387357
1.025	1.47	0.203217867965679	0.00165532969031315
1.025	1.48	0.229622366985661	0.00178889639247392
1.025	1.49	0.254264115895192	0.00191281687728471
1.025	1.5	0.276660089389934	0.00201810487525029
1.025	1.51	0.281903284782735	0.00201576498516391
1.025	1.52	0.280811395586981	0.00198015474014347
1.025	1.53	0.269559333436447	0.00189356089253011
1.025	1.54	0.256448645227646	0.0018047246457897
1.025	1.55	0.242235082168762	0.00171347335335644
1.025	1.56	0.231571032285218	0.00164617669322956
1.025	1.57	0.221720047447739	0.00158388380314552
1.025	1.58	0.217319222369902	0.00155658157915084
1.025	1.59	0.213273181640907	0.00153143966187174
1.025	1.6	0.215043527084157	0.00153189769795698
1.025	1.61	0.216814874358415	0.00153215824823221
1.025	1.62	0.22328472202851	0.00155876554866264
1.025	1.63	0.229789428485284	0.00158445683092937
1.025	1.64	0.239708604964908	0.00162793839044373
1.025	1.65	0.249952532727126	0.00167109900662872
1.025	1.66	0.26288561409136	0.00173338708718811
1.025	1.67	0.276682621635839	0.00180012960520415
1.025	1.68	0.289471663747651	0.0018677831227039
1.025	1.69	0.30132584286409	0.001937539251898
1.025	1.7	0.310758119960794	0.0019836114920141
1.025	1.71	0.310106006718185	0.00193317598676543
1.025	1.72	0.309453893475576	0.00188293509381513
1.025	1.73	0.302451740709813	0.00185999454205486
1.025	1.74	0.2936111397007	0.00184292927261923
1.025	1.75	0.285206349127567	0.00182347890318855
1.025	1.76	0.278056016986055	0.001802011159273
1.025	1.77	0.270905684844544	0.0017792963087879
1.025	1.78	0.26822560412507	0.00178760348212137
1.025	1.79	0.268130658546142	0.0018143275139251
1.025	1.8	0.268035712967213	0.00184103217153736
2.025	1.12	0.0136147329446078	0.000660966730889437
2.025	1.13	0.0159654731763073	0.000758325776305479
2.025	1.14	0.0190896601431051	0.000843009860890608
2.025	1.15	0.0236031358123131	0.000931807968187194
2.025	1.16	0.030070656740322	0.0010702739902546
2.025	1.17	0.03919621331188	0.00126916947760462
2.025	1.18	0.0479188320958683	0.0014794011372354
2.025	1.19	0.0572526405551502	0.00178916118231503
2.025	1.2	0.0701720687701049	0.00213566886346218
2.025	1.21	0.0822149842096376	0.00238013396061059
2.025	1.22	0.0900860913645647	0.00248318611995003
2.025	1.23	0.0932423239838684	0.00249803768199223
2.025	1.24	0.093658493160223	0.002433750986683
2.025	1.25	0.0957892082581456	0.00296507212367053
2.025	1.26	0.0945812539472805	0.00349503838611161
2.025	1.27	0.0851278598886994	0.00330529344582761
2.025	1.28	0.0819665108869827	0.00316523612656531
2.025	1.29	0.0797625172396618	0.00308407622360917
2.025	1.3	0.07912566086232	0.0030602117781872
2.025	1.31	0.0808328932966876	0.00309981650807983
2.025	1.32	0.0791207627786643	0.00305015774987209
2.025	1.33	0.0800694364212156	0.00306558169586178
2.025	1.34	0.0825147053899828	0.00311072499313242
2.025	1.35	0.078712863612299	0.00297162546226317
2.025	1.36	0.080395622518386	0.00300786602658273
2.025	1.37	0.0831782901171489	0.00307459319172628
2.025	1.38	0.0806472436248083	0.0029663784328357
2.025	1.39	0.0821548130780769	0.00296531426093535
2.025	1.4	0.0862752245439111	0.00302200166263757
2.025	1.41	0.09444128618512	0.00314142646621953
2.025	1.42	0.0975575239816458	0.00314202214032092
2.025	1.43	0.0990339949553962	0.00310869219324882
2.025	1.44	0.107232465531719	0.00318620706290013
2.025	1.45	0.116832960452654	0.00329288445340502
2.025	1.46	0.127754832056601	0.00342332007601287
2.025	1.47	0.137307904731405	0.00357884014205477
2.025	1.48	0.149331814093413	0.00377754330588942
2.025	1.49	0.169555563591641	0.00409843976513163
2.025	1.5	0.186343608668132	0.00434672454525542
2.025	1.51	0.200454820315714	0.0045500830757362
2.025	1.52	0.191650549847241	0.00440052444585213
2.025	1.53	0.179530133938616	0.00418929993248025
2.025	1.54	0.173876054648312	0.00405225041531949
2.025	1.55	0.165928039006508	0.00391996275406763
2.025	1.56	0.153189735705088	0.00377938490085303
2.025	1.57	0.147499222343574	0.00369979382889915
2.025	1.58	0.148626890204253	0.00369810272229381
2.025	1.59	0.149664425603812	0.00368941789408668
2.025	1.6	0.150654623972688	0.00367681784880316
2.025	1.61	0.157597493746963	0.00377655092322381
2.025	1.62	0.166375196385163	0.00390321228202099
2.025	1.63	0.169792880918089	0.00387657408673431
2.025	1.64	0.172134790036029	0.00381739327535876
2.025	1.65	0.187738726171966	0.00398616916821945
2.025	1.66	0.205514223744898	0.00415978244736038
2.025	1.67	0.215954407095476	0.00427149160130462
2.025	1.68	0.225017187503244	0.00436937305919696
2.025	1.69	0.232817119451262	0.00447614205372226
