# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
3.244000e+00	1.070000e+00	9.042450e-08	1.623836e-03	5.568575e-05
3.244000e+00	1.077186e+00	2.023359e-07	1.787425e-03	1.131996e-04
3.244000e+00	1.084372e+00	3.117156e-07	1.985581e-03	1.569896e-04
3.244000e+00	1.091558e+00	4.334825e-07	2.206550e-03	1.964526e-04
3.244000e+00	1.098744e+00	5.798016e-07	2.440779e-03	2.375478e-04
3.244000e+00	1.105930e+00	7.595603e-07	2.680444e-03	2.833711e-04
3.244000e+00	1.113116e+00	9.776229e-07	2.919310e-03	3.348815e-04
3.244000e+00	1.120302e+00	1.226168e-06	3.159004e-03	3.881503e-04
3.244000e+00	1.127487e+00	1.495222e-06	3.408639e-03	4.386567e-04
3.244000e+00	1.134673e+00	1.790331e-06	3.675517e-03	4.870963e-04
3.244000e+00	1.141859e+00	2.124790e-06	3.956433e-03	5.370470e-04
3.244000e+00	1.149045e+00	2.506217e-06	4.242567e-03	5.907312e-04
3.244000e+00	1.156231e+00	2.933053e-06	4.527788e-03	6.477893e-04
3.244000e+00	1.163417e+00	3.394819e-06	4.815686e-03	7.049502e-04
3.244000e+00	1.170603e+00	3.891113e-06	5.112526e-03	7.610940e-04
3.244000e+00	1.177789e+00	4.432672e-06	5.421508e-03	8.176087e-04
3.244000e+00	1.184975e+00	5.026320e-06	5.738669e-03	8.758686e-04
3.244000e+00	1.192161e+00	5.673558e-06	6.059298e-03	9.363392e-04
3.244000e+00	1.199347e+00	6.370909e-06	6.381506e-03	9.983394e-04
3.244000e+00	1.206533e+00	7.116211e-06	6.707327e-03	1.060961e-03
3.244000e+00	1.213719e+00	7.915120e-06	7.038831e-03	1.124494e-03
3.244000e+00	1.220905e+00	8.771588e-06	7.376458e-03	1.189133e-03
3.244000e+00	1.228090e+00	9.684957e-06	7.719300e-03	1.254642e-03
3.244000e+00	1.235276e+00	1.065668e-05	8.066463e-03	1.321109e-03
3.244000e+00	1.242462e+00	1.168974e-05	8.416861e-03	1.388848e-03
3.244000e+00	1.249648e+00	1.278778e-05	8.769371e-03	1.458233e-03
3.244000e+00	1.256834e+00	1.395257e-05	9.123389e-03	1.529319e-03
3.244000e+00	1.264020e+00	1.517868e-05	9.480226e-03	1.601089e-03
3.244000e+00	1.271206e+00	1.646598e-05	9.841576e-03	1.673104e-03
3.244000e+00	1.278392e+00	1.782179e-05	1.020777e-02	1.745905e-03
3.244000e+00	1.285578e+00	1.925302e-05	1.057622e-02	1.820408e-03
3.244000e+00	1.292764e+00	2.076100e-05	1.094421e-02	1.896985e-03
3.244000e+00	1.299950e+00	2.233965e-05	1.131134e-02	1.974979e-03
3.244000e+00	1.307136e+00	2.398413e-05	1.167993e-02	2.053449e-03
3.244000e+00	1.314322e+00	2.569987e-05	1.205212e-02	2.132394e-03
3.244000e+00	1.321508e+00	2.749580e-05	1.242729e-02	2.212533e-03
3.244000e+00	1.328693e+00	2.937498e-05	1.280291e-02	2.294399e-03
3.244000e+00	1.335879e+00	3.133428e-05	1.317699e-02	2.377956e-03
3.244000e+00	1.343065e+00	3.336816e-05	1.355014e-02	2.462568e-03
3.244000e+00	1.350251e+00	3.547753e-05	1.392400e-02	2.547941e-03
3.244000e+00	1.357437e+00	3.766927e-05	1.429951e-02	2.634304e-03
3.244000e+00	1.364623e+00	3.994659e-05	1.467573e-02	2.721948e-03
3.244000e+00	1.371809e+00	4.230889e-05	1.505139e-02	2.810963e-03
3.244000e+00	1.378995e+00	4.475399e-05	1.542574e-02	2.901253e-03
3.244000e+00	1.386181e+00	4.728209e-05	1.579899e-02	2.992730e-03
3.244000e+00	1.393367e+00	4.989606e-05	1.617138e-02	3.085455e-03
3.244000e+00	1.400553e+00	5.259723e-05	1.654306e-02	3.179414e-03
3.244000e+00	1.407739e+00	5.538469e-05	1.691405e-02	3.274479e-03
3.244000e+00	1.414925e+00	5.825908e-05	1.728434e-02	3.370629e-03
3.244000e+00	1.422111e+00	6.122222e-05	1.765356e-02	3.467981e-03
3.244000e+00	1.429296e+00	6.427526e-05	1.802120e-02	3.566646e-03
3.244000e+00	1.436482e+00	6.741806e-05	1.838685e-02	3.666646e-03
3.244000e+00	1.443668e+00	7.064981e-05	1.875055e-02	3.767879e-03
3.244000e+00	1.450854e+00	7.397129e-05	1.911253e-02	3.870304e-03
3.244000e+00	1.458040e+00	7.738414e-05	1.947288e-02	3.973945e-03
3.244000e+00	1.465226e+00	8.088839e-05	1.983149e-02	4.078786e-03
3.244000e+00	1.472412e+00	8.448386e-05	2.018821e-02	4.184812e-03
3.244000e+00	1.479598e+00	8.817110e-05	2.054284e-02	4.292060e-03
3.244000e+00	1.486784e+00	9.195124e-05	2.089509e-02	4.400615e-03
3.244000e+00	1.493970e+00	9.582445e-05	2.124469e-02	4.510512e-03
3.244000e+00	1.501156e+00	9.979000e-05	2.159164e-02	4.621696e-03
3.244000e+00	1.508342e+00	1.038478e-04	2.193612e-02	4.734102e-03
3.244000e+00	1.515528e+00	1.079990e-04	2.227829e-02	4.847726e-03
3.244000e+00	1.522714e+00	1.122438e-04	2.261812e-02	4.962564e-03
3.244000e+00	1.529899e+00	1.165814e-04	2.295548e-02	5.078588e-03
3.244000e+00	1.537085e+00	1.210115e-04	2.329020e-02	5.195811e-03
3.244000e+00	1.544271e+00	1.255365e-04	2.362191e-02	5.314409e-03
3.244000e+00	1.551457e+00	1.301575e-04	2.395021e-02	5.434503e-03
3.244000e+00	1.558643e+00	1.348721e-04	2.427501e-02	5.556007e-03
3.244000e+00	1.565829e+00	1.396774e-04	2.459692e-02	5.678653e-03
3.244000e+00	1.573015e+00	1.445739e-04	2.491659e-02	5.802315e-03
3.244000e+00	1.580201e+00	1.495654e-04	2.523402e-02	5.927134e-03
3.244000e+00	1.587387e+00	1.546534e-04	2.554849e-02	6.053328e-03
3.244000e+00	1.594573e+00	1.598346e-04	2.585930e-02	6.180933e-03
3.244000e+00	1.601759e+00	1.651073e-04	2.616629e-02	6.309925e-03
3.244000e+00	1.608945e+00	1.704733e-04	2.646965e-02	6.440329e-03
3.244000e+00	1.616131e+00	1.759338e-04	2.676960e-02	6.572148e-03
3.244000e+00	1.623317e+00	1.814859e-04	2.706655e-02	6.705172e-03
3.244000e+00	1.630503e+00	1.871270e-04	2.736095e-02	6.839201e-03
