# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
2.774000e+00	1.070000e+00	3.330633e-07	3.086406e-03	1.079130e-04
2.774000e+00	1.077186e+00	5.237479e-07	3.470097e-03	1.509318e-04
2.774000e+00	1.084372e+00	7.829123e-07	3.843816e-03	2.036810e-04
2.774000e+00	1.091558e+00	1.098990e-06	4.218512e-03	2.605159e-04
2.774000e+00	1.098744e+00	1.465098e-06	4.603039e-03	3.182892e-04
2.774000e+00	1.105930e+00	1.880313e-06	5.004613e-03	3.757158e-04
2.774000e+00	1.113116e+00	2.350374e-06	5.428916e-03	4.329362e-04
2.774000e+00	1.120302e+00	2.881558e-06	5.873548e-03	4.905992e-04
2.774000e+00	1.127487e+00	3.479562e-06	6.328396e-03	5.498332e-04
2.774000e+00	1.134673e+00	4.153834e-06	6.785224e-03	6.121882e-04
2.774000e+00	1.141859e+00	4.902779e-06	7.245863e-03	6.766315e-04
2.774000e+00	1.149045e+00	5.723702e-06	7.717580e-03	7.416447e-04
2.774000e+00	1.156231e+00	6.623204e-06	8.205252e-03	8.071909e-04
2.774000e+00	1.163417e+00	7.606584e-06	8.704770e-03	8.738409e-04
2.774000e+00	1.170603e+00	8.679594e-06	9.209613e-03	9.424495e-04
2.774000e+00	1.177789e+00	9.845807e-06	9.716093e-03	1.013350e-03
2.774000e+00	1.184975e+00	1.110103e-05	1.022699e-02	1.085464e-03
2.774000e+00	1.192161e+00	1.244899e-05	1.074582e-02	1.158496e-03
2.774000e+00	1.199347e+00	1.389726e-05	1.127327e-02	1.232762e-03
2.774000e+00	1.206533e+00	1.544868e-05	1.180602e-02	1.308543e-03
2.774000e+00	1.213719e+00	1.710719e-05	1.234088e-02	1.386221e-03
2.774000e+00	1.220905e+00	1.887169e-05	1.287734e-02	1.465496e-03
2.774000e+00	1.228090e+00	2.074116e-05	1.341713e-02	1.545872e-03
2.774000e+00	1.235276e+00	2.272230e-05	1.396159e-02	1.627486e-03
2.774000e+00	1.242462e+00	2.481967e-05	1.450955e-02	1.710575e-03
2.774000e+00	1.249648e+00	2.703566e-05	1.505865e-02	1.795358e-03
2.774000e+00	1.256834e+00	2.937204e-05	1.560726e-02	1.881947e-03
2.774000e+00	1.264020e+00	3.182600e-05	1.615599e-02	1.969920e-03
2.774000e+00	1.271206e+00	3.439971e-05	1.670595e-02	2.059129e-03
