# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
3.793000e+00	1.070000e+00	2.310960e-08	8.166591e-04	2.829774e-05
3.793000e+00	1.077186e+00	2.573000e-08	9.423753e-04	2.730335e-05
3.793000e+00	1.084372e+00	8.269411e-08	1.056694e-03	7.825737e-05
3.793000e+00	1.091558e+00	1.591598e-07	1.167324e-03	1.363459e-04
3.793000e+00	1.098744e+00	2.375031e-07	1.280508e-03	1.854756e-04
3.793000e+00	1.105930e+00	3.143181e-07	1.401342e-03	2.242980e-04
3.793000e+00	1.113116e+00	3.979723e-07	1.533883e-03	2.594542e-04
3.793000e+00	1.120302e+00	4.993308e-07	1.677648e-03	2.976374e-04
3.793000e+00	1.127487e+00	6.208631e-07	1.827846e-03	3.396692e-04
3.793000e+00	1.134673e+00	7.595649e-07	1.980428e-03	3.835357e-04
3.793000e+00	1.141859e+00	9.131490e-07	2.134782e-03	4.277482e-04
3.793000e+00	1.149045e+00	1.084918e-06	2.292215e-03	4.733057e-04
3.793000e+00	1.156231e+00	1.279826e-06	2.454023e-03	5.215218e-04
3.793000e+00	1.163417e+00	1.491720e-06	2.622164e-03	5.688888e-04
3.793000e+00	1.170603e+00	1.717228e-06	2.798630e-03	6.135958e-04
3.793000e+00	1.177789e+00	1.962732e-06	2.983693e-03	6.578198e-04
3.793000e+00	1.184975e+00	2.239008e-06	3.173226e-03	7.055936e-04
3.793000e+00	1.192161e+00	2.548727e-06	3.362838e-03	7.579094e-04
3.793000e+00	1.199347e+00	2.882899e-06	3.551859e-03	8.116590e-04
3.793000e+00	1.206533e+00	3.232276e-06	3.744921e-03	8.631093e-04
3.793000e+00	1.213719e+00	3.602628e-06	3.946397e-03	9.128905e-04
3.793000e+00	1.220905e+00	4.006406e-06	4.155892e-03	9.640305e-04
3.793000e+00	1.228090e+00	4.447677e-06	4.369090e-03	1.017987e-03
3.793000e+00	1.235276e+00	4.921419e-06	4.582384e-03	1.073986e-03
3.793000e+00	1.242462e+00	5.421877e-06	4.796090e-03	1.130479e-03
3.793000e+00	1.249648e+00	5.951415e-06	5.012341e-03	1.187352e-03
3.793000e+00	1.256834e+00	6.517209e-06	5.232807e-03	1.245452e-03
