# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
9.699000e+00	1.070000e+00	-1.392811e-09	8.777448e-06	-1.586806e-04
9.699000e+00	1.077186e+00	-2.604864e-09	1.150502e-05	-2.264111e-04
9.699000e+00	1.084372e+00	-2.138755e-09	1.394145e-05	-1.534098e-04
9.699000e+00	1.091558e+00	-1.347552e-09	1.628325e-05	-8.275696e-05
9.699000e+00	1.098744e+00	-8.727597e-10	1.868958e-05	-4.669767e-05
9.699000e+00	1.105930e+00	-7.960412e-10	2.129029e-05	-3.738986e-05
9.699000e+00	1.113116e+00	-7.657795e-10	2.419096e-05	-3.165561e-05
9.699000e+00	1.120302e+00	-4.793273e-10	2.744529e-05	-1.746483e-05
9.699000e+00	1.127487e+00	1.263526e-10	3.105958e-05	4.068073e-06
9.699000e+00	1.134673e+00	1.174019e-09	3.504515e-05	3.350019e-05
9.699000e+00	1.141859e+00	2.102883e-09	3.951439e-05	5.321817e-05
9.699000e+00	1.149045e+00	2.444646e-09	4.462937e-05	5.477663e-05
9.699000e+00	1.156231e+00	2.619000e-09	5.045392e-05	5.190875e-05
9.699000e+00	1.163417e+00	3.756447e-09	5.660759e-05	6.635942e-05
9.699000e+00	1.170603e+00	5.877431e-09	6.260591e-05	9.387980e-05
9.699000e+00	1.177789e+00	8.022538e-09	6.815236e-05	1.177148e-04
9.699000e+00	1.184975e+00	1.002381e-08	7.336290e-05	1.366332e-04
9.699000e+00	1.192161e+00	1.234530e-08	7.840971e-05	1.574460e-04
9.699000e+00	1.199347e+00	1.521247e-08	8.344995e-05	1.822945e-04
9.699000e+00	1.206533e+00	1.823838e-08	8.863161e-05	2.057773e-04
9.699000e+00	1.213719e+00	2.147194e-08	9.408468e-05	2.282193e-04
9.699000e+00	1.220905e+00	2.499875e-08	9.989280e-05	2.502558e-04
9.699000e+00	1.228090e+00	2.883070e-08	1.061009e-04	2.717292e-04
9.699000e+00	1.235276e+00	3.315032e-08	1.127540e-04	2.940058e-04
9.699000e+00	1.242462e+00	3.762896e-08	1.199505e-04	3.137040e-04
9.699000e+00	1.249648e+00	4.208359e-08	1.278087e-04	3.292702e-04
9.699000e+00	1.256834e+00	4.689948e-08	1.363851e-04	3.438753e-04
9.699000e+00	1.264020e+00	5.242793e-08	1.455079e-04	3.603098e-04
9.699000e+00	1.271206e+00	5.843891e-08	1.549589e-04	3.771252e-04
9.699000e+00	1.278392e+00	6.469986e-08	1.645419e-04	3.932120e-04
9.699000e+00	1.285578e+00	7.178212e-08	1.740827e-04	4.123451e-04
9.699000e+00	1.292764e+00	7.983228e-08	1.834271e-04	4.352261e-04
9.699000e+00	1.299950e+00	8.835060e-08	1.925928e-04	4.587431e-04
9.699000e+00	1.307136e+00	9.699763e-08	2.018031e-04	4.806547e-04
9.699000e+00	1.314322e+00	1.062214e-07	2.112705e-04	5.027745e-04
9.699000e+00	1.321508e+00	1.162527e-07	2.211008e-04	5.257902e-04
9.699000e+00	1.328693e+00	1.269757e-07	2.313254e-04	5.489052e-04
9.699000e+00	1.335879e+00	1.384164e-07	2.419779e-04	5.720211e-04
9.699000e+00	1.343065e+00	1.503222e-07	2.531384e-04	5.938342e-04
9.699000e+00	1.350251e+00	1.627017e-07	2.649007e-04	6.141988e-04
9.699000e+00	1.357437e+00	1.759230e-07	2.773143e-04	6.343812e-04
9.699000e+00	1.364623e+00	1.900119e-07	2.902962e-04	6.545451e-04
9.699000e+00	1.371809e+00	2.046904e-07	3.037406e-04	6.738987e-04
9.699000e+00	1.378995e+00	2.200692e-07	3.174986e-04	6.931344e-04
9.699000e+00	1.386181e+00	2.368689e-07	3.313359e-04	7.148905e-04
9.699000e+00	1.393367e+00	2.550447e-07	3.450322e-04	7.391909e-04
9.699000e+00	1.400553e+00	2.739140e-07	3.585860e-04	7.638724e-04
9.699000e+00	1.407739e+00	2.932490e-07	3.722115e-04	7.878558e-04
9.699000e+00	1.414925e+00	3.136259e-07	3.861086e-04	8.122739e-04
9.699000e+00	1.422111e+00	3.352643e-07	4.003649e-04	8.373968e-04
9.699000e+00	1.429296e+00	3.580489e-07	4.150022e-04	8.627639e-04
9.699000e+00	1.436482e+00	3.819640e-07	4.300492e-04	8.881868e-04
9.699000e+00	1.443668e+00	4.067493e-07	4.455822e-04	9.128490e-04
9.699000e+00	1.450854e+00	4.324617e-07	4.616881e-04	9.366967e-04
9.699000e+00	1.458040e+00	4.594758e-07	4.784051e-04	9.604325e-04
9.699000e+00	1.465226e+00	4.878224e-07	4.956503e-04	9.842069e-04
9.699000e+00	1.472412e+00	5.172341e-07	5.133250e-04	1.007615e-03
9.699000e+00	1.479598e+00	5.478529e-07	5.312941e-04	1.031167e-03
9.699000e+00	1.486784e+00	5.802967e-07	5.493670e-04	1.056301e-03
9.699000e+00	1.493970e+00	6.144968e-07	5.673697e-04	1.083062e-03
9.699000e+00	1.501156e+00	6.498494e-07	5.853239e-04	1.110239e-03
9.699000e+00	1.508342e+00	6.862026e-07	6.034082e-04	1.137211e-03
9.699000e+00	1.515528e+00	7.241037e-07	6.217843e-04	1.164558e-03
9.699000e+00	1.522714e+00	7.637312e-07	6.405130e-04	1.192374e-03
9.699000e+00	1.529899e+00	8.050357e-07	6.596075e-04	1.220477e-03
9.699000e+00	1.537085e+00	8.479911e-07	6.790934e-04	1.248711e-03
