# Q2	W	Sigma_L(GeV^-2)	Sigma_T(GeV^-2)	R
5.187000e+00	1.070000e+00	-1.292778e-08	2.218534e-04	-5.827172e-05
5.187000e+00	1.077186e+00	-2.197969e-08	2.524123e-04	-8.707854e-05
5.187000e+00	1.084372e+00	-5.629670e-09	2.803982e-04	-2.007741e-05
5.187000e+00	1.091558e+00	1.627593e-08	3.085283e-04	5.275343e-05
5.187000e+00	1.098744e+00	3.403331e-08	3.390005e-04	1.003931e-04
5.187000e+00	1.105930e+00	4.602442e-08	3.736055e-04	1.231899e-04
5.187000e+00	1.113116e+00	5.710045e-08	4.137551e-04	1.380054e-04
5.187000e+00	1.120302e+00	7.394976e-08	4.588791e-04	1.611530e-04
5.187000e+00	1.127487e+00	9.781866e-08	5.065176e-04	1.931200e-04
5.187000e+00	1.134673e+00	1.250408e-07	5.545849e-04	2.254674e-04
5.187000e+00	1.141859e+00	1.544020e-07	6.024961e-04	2.562706e-04
5.187000e+00	1.149045e+00	1.885736e-07	6.505195e-04	2.898815e-04
5.187000e+00	1.156231e+00	2.295113e-07	6.990934e-04	3.282985e-04
5.187000e+00	1.163417e+00	2.727851e-07	7.497198e-04	3.638494e-04
5.187000e+00	1.170603e+00	3.173181e-07	8.040966e-04	3.946269e-04
5.187000e+00	1.177789e+00	3.670911e-07	8.630860e-04	4.253239e-04
5.187000e+00	1.184975e+00	4.238114e-07	9.256040e-04	4.578755e-04
5.187000e+00	1.192161e+00	4.860408e-07	9.903562e-04	4.907737e-04
5.187000e+00	1.199347e+00	5.531187e-07	1.056343e-03	5.236165e-04
5.187000e+00	1.206533e+00	6.278200e-07	1.122913e-03	5.590993e-04
5.187000e+00	1.213719e+00	7.115268e-07	1.189562e-03	5.981416e-04
5.187000e+00	1.220905e+00	8.012031e-07	1.256911e-03	6.374381e-04
5.187000e+00	1.228090e+00	8.947114e-07	1.326500e-03	6.744901e-04
5.187000e+00	1.235276e+00	9.954855e-07	1.399607e-03	7.112607e-04
5.187000e+00	1.242462e+00	1.105283e-06	1.476190e-03	7.487402e-04
5.187000e+00	1.249648e+00	1.222844e-06	1.555592e-03	7.860959e-04
5.187000e+00	1.256834e+00	1.347310e-06	1.637140e-03	8.229656e-04
5.187000e+00	1.264020e+00	1.481752e-06	1.719897e-03	8.615349e-04
5.187000e+00	1.271206e+00	1.627847e-06	1.802928e-03	9.028909e-04
5.187000e+00	1.278392e+00	1.783588e-06	1.885961e-03	9.457187e-04
5.187000e+00	1.285578e+00	1.946181e-06	1.970129e-03	9.878441e-04
5.187000e+00	1.292764e+00	2.117908e-06	2.056650e-03	1.029785e-03
5.187000e+00	1.299950e+00	2.301402e-06	2.146097e-03	1.072366e-03
5.187000e+00	1.307136e+00	2.495183e-06	2.238292e-03	1.114771e-03
5.187000e+00	1.314322e+00	2.698213e-06	2.332988e-03	1.156548e-03
5.187000e+00	1.321508e+00	2.913061e-06	2.429436e-03	1.199069e-03
5.187000e+00	1.328693e+00	3.142233e-06	2.526563e-03	1.243679e-03
5.187000e+00	1.335879e+00	3.384494e-06	2.623557e-03	1.290040e-03
5.187000e+00	1.343065e+00	3.636966e-06	2.720929e-03	1.336663e-03
5.187000e+00	1.350251e+00	3.900518e-06	2.819669e-03	1.383325e-03
5.187000e+00	1.357437e+00	4.178494e-06	2.920541e-03	1.430726e-03
5.187000e+00	1.364623e+00	4.469650e-06	3.023719e-03	1.478196e-03
5.187000e+00	1.371809e+00	4.772663e-06	3.129242e-03	1.525182e-03
5.187000e+00	1.378995e+00	5.089090e-06	3.236785e-03	1.572267e-03
5.187000e+00	1.386181e+00	5.422116e-06	3.345365e-03	1.620785e-03
5.187000e+00	1.393367e+00	5.771404e-06	3.454023e-03	1.670922e-03
5.187000e+00	1.400553e+00	6.134296e-06	3.562641e-03	1.721839e-03
5.187000e+00	1.407739e+00	6.510573e-06	3.671931e-03	1.773065e-03
5.187000e+00	1.414925e+00	6.903268e-06	3.782570e-03	1.825021e-03
5.187000e+00	1.422111e+00	7.312259e-06	3.894940e-03	1.877374e-03
5.187000e+00	1.429296e+00	7.735795e-06	4.009248e-03	1.929488e-03
5.187000e+00	1.436482e+00	8.174490e-06	4.125544e-03	1.981433e-03
5.187000e+00	1.443668e+00	8.631513e-06	4.243129e-03	2.034233e-03
5.187000e+00	1.450854e+00	9.107540e-06	4.361109e-03	2.088354e-03
5.187000e+00	1.458040e+00	9.600377e-06	4.478952e-03	2.143443e-03
5.187000e+00	1.465226e+00	1.010920e-05	4.597001e-03	2.199087e-03
5.187000e+00	1.472412e+00	1.063598e-05	4.715716e-03	2.255432e-03
5.187000e+00	1.479598e+00	1.118189e-05	4.835471e-03	2.312472e-03
5.187000e+00	1.486784e+00	1.174523e-05	4.956522e-03	2.369652e-03
5.187000e+00	1.493970e+00	1.232595e-05	5.079079e-03	2.426808e-03
5.187000e+00	1.501156e+00	1.292618e-05	5.202889e-03	2.484423e-03
5.187000e+00	1.508342e+00	1.354720e-05	5.327334e-03	2.542960e-03
5.187000e+00	1.515528e+00	1.418784e-05	5.451880e-03	2.602376e-03
5.187000e+00	1.522714e+00	1.484720e-05	5.576508e-03	2.662455e-03
5.187000e+00	1.529899e+00	1.552619e-05	5.701430e-03	2.723210e-03
5.187000e+00	1.537085e+00	1.622624e-05	5.826853e-03	2.784735e-03
5.187000e+00	1.544271e+00	1.694635e-05	5.952991e-03	2.846696e-03
