#W	lo_pdf_xsect	error
1.011037e+00	2.975493e-12	1.027971e-11
1.080045e+00	2.434298e-12	1.158799e-11
1.146199e+00	8.689941e-10	6.614553e-11
1.210006e+00	4.243651e-09	2.562811e-10
1.271859e+00	1.039426e-08	5.789201e-10
1.332066e+00	2.000530e-08	1.013389e-09
1.390879e+00	3.480991e-08	1.586096e-09
1.448507e+00	5.597738e-08	2.442559e-09
1.505124e+00	8.528008e-08	3.616588e-09
1.560877e+00	1.233684e-07	5.202112e-09
1.615896e+00	1.734193e-07	6.489335e-09
1.670291e+00	2.358832e-07	8.148473e-09
1.724162e+00	3.118569e-07	1.009306e-08
1.777597e+00	4.046801e-07	1.250785e-08
1.830675e+00	5.140130e-07	1.519416e-08
1.883467e+00	6.424723e-07	1.803808e-08
1.936040e+00	7.911536e-07	2.407295e-08
1.988455e+00	9.642000e-07	2.617774e-08
2.040768e+00	1.155675e-06	3.000480e-08
2.093032e+00	1.373450e-06	3.058045e-08
2.145297e+00	1.617962e-06	2.904246e-08
2.197612e+00	1.889549e-06	3.560845e-08
2.250022e+00	2.196158e-06	3.450839e-08
2.302571e+00	2.522244e-06	3.818377e-08
2.355302e+00	2.883843e-06	3.974902e-08
2.408257e+00	3.281170e-06	4.304909e-08
2.461476e+00	3.705871e-06	4.565244e-08
2.515000e+00	4.166069e-06	4.622255e-08
2.568870e+00	4.652992e-06	4.972852e-08
2.623125e+00	5.175161e-06	5.367352e-08
2.677805e+00	5.740227e-06	6.231795e-08
2.732950e+00	6.330613e-06	6.222155e-08
2.788603e+00	6.949522e-06	6.587043e-08
2.844803e+00	7.608918e-06	6.986141e-08
2.901593e+00	8.300245e-06	7.659915e-08
2.959017e+00	9.051511e-06	1.717664e-07
3.017119e+00	9.746195e-06	1.675724e-07
3.075943e+00	1.060339e-05	2.658955e-07
3.135539e+00	1.137929e-05	1.216616e-07
3.195953e+00	1.223771e-05	1.369527e-07
3.257237e+00	1.309552e-05	9.426317e-08
3.319445e+00	1.403341e-05	1.591066e-07
3.382630e+00	1.497319e-05	1.635892e-07
3.446851e+00	1.591352e-05	1.531469e-07
3.512169e+00	1.693727e-05	1.765722e-07
3.578646e+00	1.796291e-05	2.279592e-07
3.646351e+00	1.899561e-05	1.714725e-07
3.715355e+00	2.011128e-05	3.313731e-07
3.785731e+00	2.115961e-05	2.358194e-07
3.857562e+00	2.229770e-05	2.927674e-07
