#W	lo_pdf_xsect	error
9.705900e-01	6.291367e-11	2.708419e-10
1.002276e+00	5.424757e-11	2.955327e-10
1.033615e+00	1.982143e-08	1.635752e-09
1.064655e+00	9.104471e-08	6.660508e-09
1.095442e+00	2.112842e-07	1.371680e-08
1.126015e+00	3.931271e-07	2.254596e-08
1.156412e+00	6.594753e-07	3.503417e-08
1.186665e+00	1.026421e-06	5.666036e-08
1.216806e+00	1.520601e-06	7.728336e-08
1.246865e+00	2.164731e-06	9.623336e-08
1.276867e+00	2.962258e-06	1.312679e-07
1.306839e+00	3.949635e-06	1.606715e-07
1.336805e+00	5.138258e-06	1.952082e-07
1.366787e+00	6.556826e-06	2.335484e-07
1.396809e+00	8.199560e-06	2.781950e-07
1.426892e+00	1.015480e-05	4.594034e-07
1.457056e+00	1.231322e-05	4.180076e-07
1.487321e+00	1.475333e-05	4.900927e-07
1.517708e+00	1.756167e-05	5.038458e-07
1.548235e+00	2.056681e-05	5.064903e-07
1.578923e+00	2.403067e-05	4.884861e-07
1.609790e+00	2.777872e-05	4.979203e-07
1.640855e+00	3.189944e-05	5.376811e-07
1.672138e+00	3.630904e-05	5.818677e-07
1.703658e+00	4.118011e-05	6.267374e-07
1.735433e+00	4.641930e-05	7.037190e-07
1.767484e+00	5.193568e-05	7.257648e-07
1.799831e+00	5.789580e-05	7.619680e-07
1.832494e+00	6.421009e-05	8.018456e-07
1.865494e+00	7.086690e-05	8.179657e-07
1.898852e+00	7.795920e-05	9.249253e-07
1.932589e+00	8.527407e-05	9.397051e-07
1.966729e+00	9.336760e-05	2.508889e-06
2.001294e+00	1.013979e-04	2.647771e-06
2.036308e+00	1.093997e-04	1.485605e-06
2.071797e+00	1.181985e-04	1.768359e-06
2.107787e+00	1.269191e-04	1.487526e-06
2.144304e+00	1.364225e-04	2.363049e-06
2.181377e+00	1.458180e-04	2.308244e-06
2.219035e+00	1.551095e-04	1.585826e-06
2.257309e+00	1.651244e-04	2.102805e-06
2.296231e+00	1.749828e-04	1.805793e-06
2.335837e+00	1.846919e-04	1.673113e-06
2.376161e+00	1.950636e-04	2.034058e-06
2.417241e+00	2.052249e-04	1.989698e-06
2.459118e+00	2.152044e-04	1.630396e-06
2.501835e+00	2.257560e-04	2.249854e-06
2.545436e+00	2.352675e-04	2.569471e-06
2.589969e+00	2.453433e-04	2.527565e-06
2.635485e+00	2.559094e-04	2.461071e-06
2.682039e+00	2.654335e-04	1.864435e-06
2.729688e+00	2.746454e-04	2.225877e-06
2.778496e+00	2.843064e-04	2.006107e-06
2.828527e+00	2.937816e-04	3.280851e-06
2.879854e+00	3.019880e-04	1.708929e-06
2.932554e+00	3.107486e-04	2.203116e-06
2.986709e+00	3.184421e-04	2.125099e-06
3.042410e+00	3.265001e-04	2.051936e-06
3.099752e+00	3.336901e-04	1.920339e-06
3.158842e+00	3.410783e-04	2.617967e-06
3.219793e+00	3.476750e-04	2.707666e-06
3.282729e+00	3.533312e-04	2.162340e-06
3.347786e+00	3.594506e-04	2.340177e-06
3.415114e+00	3.646946e-04	2.205099e-06
3.484875e+00	3.698690e-04	2.320803e-06
3.557249e+00	3.744216e-04	2.188218e-06
3.632433e+00	3.789774e-04	2.543160e-06
3.710648e+00	3.837445e-04	3.882541e-06
3.792136e+00	3.875678e-04	2.673828e-06
