#W	lo_pdf_xsect	error
9.586946e-01	3.692428e-10	1.762990e-09
9.788720e-01	3.425843e-10	1.899550e-09
9.990453e-01	1.257019e-07	1.068874e-08
1.019227e+00	5.581948e-07	4.099543e-08
1.039430e+00	1.267824e-06	8.241138e-08
1.059664e+00	2.306411e-06	1.383614e-07
1.079943e+00	3.801066e-06	2.147521e-07
1.100276e+00	5.806860e-06	3.446171e-07
1.120676e+00	8.499724e-06	4.239446e-07
1.141151e+00	1.188848e-05	5.468538e-07
1.161714e+00	1.608754e-05	7.076925e-07
1.182375e+00	2.117598e-05	8.770125e-07
1.203143e+00	2.726776e-05	1.072090e-06
1.224029e+00	3.440729e-05	1.296080e-06
1.245044e+00	4.281445e-05	1.973910e-06
1.266198e+00	5.199818e-05	2.183904e-06
1.287502e+00	6.303297e-05	2.255631e-06
1.308966e+00	7.485221e-05	2.684143e-06
1.330601e+00	8.852330e-05	2.730646e-06
1.352417e+00	1.033253e-04	2.611999e-06
1.374426e+00	1.196236e-04	2.421643e-06
1.396640e+00	1.374314e-04	2.572980e-06
1.419069e+00	1.567413e-04	2.907897e-06
1.441725e+00	1.775734e-04	3.126761e-06
1.464621e+00	2.002769e-04	3.298946e-06
1.487769e+00	2.244583e-04	3.383769e-06
1.511183e+00	2.504511e-04	3.900847e-06
1.534874e+00	2.778814e-04	4.059276e-06
1.558857e+00	3.066865e-04	4.146152e-06
1.583147e+00	3.373204e-04	4.558463e-06
1.607757e+00	3.688765e-04	3.994820e-06
1.632704e+00	4.018428e-04	6.016567e-06
1.658004e+00	4.381954e-04	7.631910e-06
1.683672e+00	4.743596e-04	8.208555e-06
1.709727e+00	5.102942e-04	8.836827e-06
1.736187e+00	5.495336e-04	6.743430e-06
1.763070e+00	5.885197e-04	1.275556e-05
1.790398e+00	6.305720e-04	7.469582e-06
1.818190e+00	6.722615e-04	7.559726e-06
1.846469e+00	7.134871e-04	1.272708e-05
1.875259e+00	7.575785e-04	8.634000e-06
1.904583e+00	8.010928e-04	9.368527e-06
1.934468e+00	8.473895e-04	1.391172e-05
1.964942e+00	8.895817e-04	8.820861e-06
1.996033e+00	9.342943e-04	9.515283e-06
2.027771e+00	9.782040e-04	1.091200e-05
2.060191e+00	1.024314e-03	1.292525e-05
2.093326e+00	1.066295e-03	9.438566e-06
2.127213e+00	1.110303e-03	9.338601e-06
2.161893e+00	1.153083e-03	1.147834e-05
2.197407e+00	1.194619e-03	1.548538e-05
2.233801e+00	1.235228e-03	1.652788e-05
2.271122e+00	1.273446e-03	1.454118e-05
2.309423e+00	1.310765e-03	1.422516e-05
2.348759e+00	1.346305e-03	1.368070e-05
2.389192e+00	1.377867e-03	1.088515e-05
2.430784e+00	1.409726e-03	9.908921e-06
2.473608e+00	1.440485e-03	1.154534e-05
2.517737e+00	1.465593e-03	1.072570e-05
2.563256e+00	1.491913e-03	1.292405e-05
2.610253e+00	1.510879e-03	1.074052e-05
2.658827e+00	1.530485e-03	8.909045e-06
2.709084e+00	1.545211e-03	1.012582e-05
2.761140e+00	1.558457e-03	9.558139e-06
2.815124e+00	1.566277e-03	9.382095e-06
2.871178e+00	1.572060e-03	1.015530e-05
2.929458e+00	1.573454e-03	9.113361e-06
2.990135e+00	1.572638e-03	1.143257e-05
3.053402e+00	1.565144e-03	8.873658e-06
3.119474e+00	1.556224e-03	8.027563e-06
3.188588e+00	1.545428e-03	1.007675e-05
3.261014e+00	1.528767e-03	8.921517e-06
3.337054e+00	1.510973e-03	1.022822e-05
3.417052e+00	1.487761e-03	8.067003e-06
3.501397e+00	1.464309e-03	8.313271e-06
3.590536e+00	1.437329e-03	8.146732e-06
3.684981e+00	1.410435e-03	8.414831e-06
3.785326e+00	1.381505e-03	8.259714e-06
3.892260e+00	1.352551e-03	8.921446e-06
4.006592e+00	1.327347e-03	1.254262e-05
