#W	lo_pdf_xsect	error
1.020979e+00	2.109487e-12	7.863654e-12
1.098778e+00	1.729700e-12	8.971706e-12
1.172872e+00	6.159773e-10	5.193544e-11
1.243965e+00	3.036165e-09	2.017478e-10
1.312588e+00	7.497261e-09	4.762857e-10
1.379151e+00	1.455813e-08	8.148773e-10
1.443982e+00	2.542192e-08	1.306140e-09
1.507344e+00	4.111052e-08	1.979147e-09
1.569458e+00	6.286952e-08	2.997120e-09
1.630509e+00	9.165715e-08	3.987109e-09
1.690654e+00	1.287869e-07	5.327702e-09
1.750029e+00	1.757194e-07	6.933148e-09
1.808753e+00	2.333720e-07	8.544816e-09
1.866932e+00	3.038164e-07	1.050346e-08
1.924659e+00	3.868100e-07	1.288090e-08
1.982019e+00	4.850237e-07	1.519165e-08
2.039091e+00	5.993981e-07	1.816066e-08
2.095943e+00	7.332568e-07	2.848108e-08
2.152642e+00	8.793919e-07	2.362031e-08
2.209249e+00	1.046599e-06	2.452041e-08
2.265821e+00	1.235194e-06	2.151551e-08
2.322413e+00	1.445342e-06	2.340108e-08
2.379076e+00	1.677165e-06	2.816417e-08
2.435860e+00	1.937363e-06	3.239589e-08
2.492813e+00	2.213145e-06	3.419982e-08
2.549981e+00	2.517259e-06	3.660078e-08
2.607411e+00	2.849675e-06	4.069422e-08
2.665146e+00	3.203833e-06	4.211115e-08
2.723232e+00	3.585567e-06	4.317560e-08
2.781713e+00	3.994806e-06	4.933218e-08
2.840632e+00	4.424715e-06	4.996871e-08
2.900033e+00	4.880895e-06	5.005385e-08
2.959963e+00	5.364358e-06	5.453928e-08
3.020465e+00	5.874011e-06	5.878767e-08
3.081585e+00	6.407483e-06	6.550056e-08
3.143371e+00	6.933281e-06	1.658588e-07
3.205871e+00	7.541186e-06	9.481792e-08
3.269134e+00	8.146051e-06	9.483956e-08
3.333210e+00	8.748775e-06	9.373120e-08
3.398154e+00	9.409478e-06	1.025260e-07
3.464019e+00	1.006608e-05	1.018756e-07
3.530862e+00	1.071845e-05	1.761384e-07
3.598744e+00	1.142477e-05	8.303560e-08
3.667726e+00	1.212702e-05	1.254576e-07
3.737873e+00	1.288286e-05	1.215692e-07
3.809253e+00	1.362873e-05	1.812987e-07
3.881940e+00	1.436571e-05	1.626784e-07
3.956010e+00	1.509494e-05	1.020116e-07
4.031542e+00	1.587366e-05	1.558856e-07
4.108623e+00	1.664280e-05	1.853758e-07
4.187343e+00	1.740228e-05	1.558234e-07
4.267800e+00	1.815212e-05	1.259437e-07
4.350096e+00	1.895211e-05	2.205174e-07
4.434342e+00	1.968381e-05	1.470118e-07
4.520657e+00	2.047132e-05	1.442748e-07
4.609167e+00	2.124900e-05	1.428205e-07
4.700009e+00	2.202069e-05	1.608846e-07
4.793331e+00	2.278890e-05	1.497236e-07
4.889292e+00	2.357027e-05	1.554964e-07
4.988064e+00	2.435699e-05	1.694171e-07
5.089835e+00	2.515205e-05	1.811460e-07
